t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20
-18285.69634424826,-16830.804144998445,-13250.019241289938,-10399.992805290427,-10362.310592513817,-12049.443562953511,-13671.393851963567,-13527.303602010124,-11033.17280031935,-8541.507906300572,-8129.962534138211,-9118.690461689965,-10054.170936569231,-9528.90119064967,-6999.242429642487,-4169.0740036627385,-2756.62276479706,-2416.7314280734945,-1994.9484880655045,-848.4114735351305
-19404.71584256878,-17308.764091346322,-13335.400343178033,-10733.081776564299,-11243.838680048297,-13378.887596382854,-15239.2082525228,-14980.57285634559,-12129.806947776326,-9404.303730890917,-8798.548248235895,-9404.534316305013,-9549.928262036767,-7830.468294613624,-4648.183307325168,-2381.3131540450213,-1929.8235622935572,-2242.327131950239,-2042.9620379713047,-838.7865188288844
-19234.447776313573,-16538.192809866647,-12400.736888335628,-10274.506138426943,-11386.35976259321,-13928.178519433928,-15996.762124990973,-15665.421671005624,-12597.416352182041,-9733.68306820709,-8873.782038107433,-8918.837207993485,-8092.119346100762,-5382.260473727956,-2253.984796373384,-986.3370325831562,-1435.3633786721916,-2215.6522956187014,-2083.080655427546,-794.0373581140819
-18087.79764697579,-14935.182078706832,-10869.890776366066,-9339.283659288163,-10989.708458513398,-13826.464578791269,-16020.219054256178,-15613.996165456325,-12441.548837529983,-9536.535277750234,-8414.795420934764,-7830.716389602126,-6076.9183557928645,-2854.536459523501,-377.0639538220564,-170.06168780331933,-1280.2618278403556,-2303.0730996905927,-2081.629750986528,-715.9684561281913
-16421.537282297842,-12999.573509351472,-9189.723810095198,-8261.41583005025,-10316.19735881861,-13307.771910535177,-15518.440077400046,-15005.71855241989,-11814.336607995612,-8957.31290887097,-7608.246325928798,-6431.6521886918845,-3978.8388364059174,-781.2431697338304,752.2062697926419,101.88172966062874,-1389.9637020629689,-2437.7701409335955,-2004.3064288968553,-610.5907615671626
-14658.776470367064,-11147.300456443776,-7699.306367712596,-7296.600425112468,-9596.591626587631,-12606.731547047259,-14723.149038242062,-14060.956143616459,-10915.90288933949,-8183.093112257891,-6667.083691422631,-5009.872380593926,-2174.481736930213,584.2871438975869,1182.1822526937606,-24.73498101371959,-1653.5560906574494,-2535.257039659162,-1826.7721724522803,-486.37128067383225
-13068.06309278591,-9613.746229468574,-6565.745018355357,-6569.187495408159,-8963.10984137636,-11874.848221689967,-13796.642218702063,-12949.16722646399,-9907.47248776273,-7361.343111421565,-5749.065700128044,-3761.391593515994,-855.0897818111855,1251.2833734427743,1107.991890514242,-373.915162503039,-1944.3548544854925,-2507.2209553307985,-1542.3482433831916,-352.50916488519374
-11723.382076235011,-8436.305521482147,-5783.501453566713,-6065.563083388485,-8425.176131654667,-11143.392432179637,-12789.301585821733,-11745.079631273133,-8867.112960944103,-6557.910505949489,-4919.662410720768,-2760.1943091922535,-31.87386020433368,1390.8342531746623,762.7584502787097,-773.6969999331027,-2128.6568783997577,-2281.5338975610944,-1166.6219694730057,-217.81555808979985
-10522.639098188221,-7484.640735496962,-5206.768405537437,-5655.344210125577,-7879.660181818519,-10330.003682873847,-11646.79397615902,-10433.012305903907,-7787.695822364703,-5753.277508571023,-4152.9104677297955,-1971.3386094512362,411.76604607845115,1238.3863763870418,365.18127724446515,-1063.4923649251414,-2082.1097854883387,-1829.9891072790685,-737.1658162128699,-90.068818703618
-9243.882134609481,-6517.755084041101,-4599.952078246288,-5132.604596594809,-7149.723142641319,-9281.660270032471,-10256.454551112667,-8945.906170583674,-6604.917438394526,-4866.558540292923,-3357.9155771462656,-1287.2147415745058,657.9207608442181,1028.904110671031,100.09437805418514,-1105.9046318874668,-1726.6782603468616,-1192.6474514596534,-305.87033728147077,24.52751977377366
-7636.099452906757,-5268.387772009522,-3710.9699410483613,-4282.558301742814,-6054.192119277746,-7850.637460633299,-8522.698477185108,-7225.889597856066,-5245.7786096400905,-3800.8122551630463,-2424.79417222398,-577.506988923147,894.1317630355946,953.748149376141,99.22863814651936,-821.0290356970855,-1078.6521743566268,-477.93764583593634,75.65081650296028,121.88854074743827
-5530.8655051760425,-3546.9529223777936,-2363.1664560571967,-2967.1736735490767,-4494.78817334012,-5983.343004042555,-6445.267701919009,-5283.428126060693,-3682.0920620836196,-2497.9906961403535,-1279.9632208923026,255.88941005703913,1258.4219606629742,1124.4022926193043,410.5632890348677,-231.89219495720812,-270.27842740700163,174.66566822189333,372.0005191565978,200.27856514480968
-2934.4725877851924,-1331.4198085010833,-536.1516360978554,-1197.5994063093353,-2523.230261521071,-3778.128889021088,-4157.055363511683,-3223.206085790041,-1964.710414702041,-981.3590275470278,68.77465008034078,1233.8640342484466,1797.6108403417475,1546.5116865034777,974.2586508279725,519.1981310470153,493.58253003927047,655.0392058258487,573.4422959649985,259.9653867581018
-47.381473011602864,1207.725108565274,1612.0470169685525,852.5293659956243,-342.88609745134704,-1469.6523996272026,-1890.6437505083964,-1217.6889941117129,-217.75109861776028,639.0420322476903,1521.9713606935547,2287.529367467275,2459.0772679506003,2125.522305619944,1637.3119957479562,1219.7361464079681,1033.9648958092498,927.3598988651344,694.259787509149,302.4096628337143
2813.619171894495,3776.38990670388,3809.1122869207247,2914.3309830582934,1768.01402562369,660.8110583215886,111.99994634566367,557.9821849444595,1406.8914575405406,2206.1014164285984,2925.4924935768067,3291.9752583724353,3127.881452866777,2714.0139521346237,2215.565987707559,1685.2919439609354,1282.2684797160482,1029.5895156346417,761.5999101159134,329.2139050100881
5344.466693356717,6080.208437547138,5782.411729627363,4731.989085866145,3564.587916684062,2392.1206378928464,1687.6080603121432,1987.1874970454955,2785.631871490113,3575.931495966062,4132.707820818867,4125.433736452778,3686.4984494552004,3175.4969612427567,2567.9634815454883,1838.626257552172,1287.790550948127,1034.9101453384296,801.3650355839311,341.23152242437163
7344.990236917268,7916.118225156526,7343.530938522772,6138.186698279239,4902.9140138501325,3618.537004843045,2783.6787951959614,3032.1321693902923,3852.904619388483,4656.986992941974,5047.827365781712,4710.757481463265,4056.489620969946,3425.7604944963223,2637.63535875475,1718.962587556496,1159.465331917112,1009.6602610079535,828.4940700355337,338.39935775219385
8733.296396833462,9190.783247239888,8405.804576004213,7066.221957106908,5744.326144479314,4341.838152265693,3437.1060402308417,3716.6771420630057,4596.825006543404,5412.59122362356,5631.650483937845,5021.86114921884,4207.877266879414,3441.2869263144853,2451.390829598506,1437.3448968658024,1002.5103366292738,992.9661954777763,844.5938847273483,320.24477564141563
9524.728574683217,9903.343551271233,8969.030067813328,7532.989657329579,6133.587077837283,4641.739830771043,3740.7664541153194,4103.030968597004,5044.560145999312,5848.979812192679,5891.148713804643,5075.0756395882545,4154.059681038092,3252.7491314332806,2098.3064922986196,1121.865018800332,886.3534817283041,996.3750273327345,840.6744053411795,286.5179852244247
9814.303566022234,10130.964982723208,9105.699633102833,7622.806203598566,6177.9323142708145,4648.49327515364,3816.6812307552204,4275.686273893337,5252.159603133644,6007.151078399478,5872.000917657158,4921.474047967523,3944.2566744168257,2932.1241623906444,1696.2350529988032,872.9046692068221,837.7117302786556,1009.8919195023033,801.9800335835685,237.81266625808166
9743.234192925222,9999.54153930931,8932.642451566391,7456.217655301896,6010.847010985247,4502.408236507333,3781.607717180891,4318.533650520949,5286.430669969143,5947.536043099507,5643.738995616545,4630.62041394476,3644.6416650441824,2564.7253204614935,1346.1504926451455,734.2019217319817,844.5737118487857,1007.5101970009121,713.8042151022297,176.17037709107368
9432.82206228822,9622.042209073177,8553.501441873877,7133.474389844921,5734.865942014856,4299.778043149535,3705.120843148039,4281.438929652031,5192.433744338664,5718.958777305405,5269.120732850084,4260.713907029859,3307.534097757575,2212.35777652451,1094.6268256169574,689.459297344629,866.4215164588373,953.2363284144839,567.4404369463575,105.27324486444354
8927.090906775795,9042.98803735935,8008.015168277803,6688.291124141687,5379.87396647154,4059.961304249865,3587.4589353003166,4158.917068731919,4968.773402271575,5333.2926294677945,4778.164143692276,3835.0092242433902,2949.7476196649855,1892.8837450952706,928.3329382154011,682.3804586311144,847.7976259957936,810.055863236603,364.9403892281193,29.980032829755615
8190.462225845323,8234.939753955565,7268.919857970527,6086.927271719546,4905.980220797642,3734.120020088853,3371.311201542459,3898.1226934212605,4572.883021533127,4769.778625951858,4168.805218375863,3342.328637952528,2554.2041008256415,1585.1864102059096,793.8720309759282,641.8951242242537,732.1676270492696,553.3689662032934,121.74797596200307,-44.461512612050214
7150.210540666805,7138.719133169518,6277.849400882454,5261.538337896547,4236.0928651522645,3237.577305907246,2972.4057227486396,3427.1978778182483,3950.3727072338093,4002.911438644801,3427.438900530113,2754.2397269960497,2085.1310351406664,1244.9376791255759,621.7055135073754,501.767868680066,477.7861815001212,187.4963040399616,-134.04114348369714,-113.03819771944293
5748.353574248115,5712.093891775847,4989.090382734259,4151.179678252056,3295.335284077951,2487.626849585955,2315.046178886744,2689.698521538694,3070.062532905237,3031.8711116209665,2550.2316991364914,2044.6725646332466,1506.0517269674892,823.5381789184131,349.9388309462899,219.11907201509433,77.35880386564044,-243.3712178489122,-367.7485685481403,-171.39525581880702
