t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11
-3445.040575638722,-3001.561710676022,-2265.5885122095574,-1355.0729525931156,-683.4537753396002,-683.8757421417249,-1267.099641742129,-1749.2202615907527,-1569.2294473932866,-873.6929927196601,-223.61059530898922
-3882.043175407817,-3210.9206576751303,-2273.4030565147737,-1284.1338238112908,-755.082590855852,-1063.2209606064202,-1868.5156629774121,-2295.7745487537372,-1877.532411292525,-978.0100856523659,-241.15233821075438
-4350.205902063349,-3410.6856320688466,-2274.6053697149964,-1277.9488286808971,-1006.0946138857954,-1683.5222265041934,-2647.704095986861,-2893.7996163213406,-2162.2745182465064,-1057.1397410580646,-253.2458450102819
-4798.611676953473,-3569.7888711974133,-2274.3811861791824,-1385.279770744409,-1502.5651514495967,-2575.9294269788875,-3580.893550702082,-3501.654096974704,-2401.980791669285,-1109.4483809872122,-262.30477690312443
-5160.236962398613,-3660.060907275683,-2296.4729054818613,-1674.1061194122624,-2307.3164891346773,-3740.179902008039,-4609.7068587115,-4062.576593671962,-2574.855486565464,-1135.349949363611,-271.3902154772182
-5362.642315281302,-3666.4448995411344,-2386.5763420965163,-2220.839390468985,-3456.880147683543,-5125.826058201884,-5638.917952265364,-4511.192405938087,-2662.8943894221306,-1138.0618625002169,-284.0738950361174
-5344.447149411859,-3596.8776646362626,-2608.715300654682,-3089.485001309575,-4934.544251280486,-6620.548956479243,-6544.095811830595,-4784.11360793485,-2655.9559294360465,-1123.8661231429717,-304.10021884123444
-5074.0461369580435,-3487.2892347726506,-3031.6724207936586,-4303.3554584477115,-6648.05104228936,-8053.179433446949,-7190.2329294238825,-4832.659306979052,-2554.799391317818,-1101.7314189445515,-334.8496940748825
-4564.425736657553,-3397.4228313237086,-3706.1518007633963,-5817.294514039315,-8422.93429829249,-9216.078809493083,-7458.4926437791855,-4634.452679764916,-2372.192625048287,-1082.2699296881062,-378.6660334853724
-3877.4047123917867,-3395.9438770799516,-4638.473654387034,-7502.127273464245,-10020.220655484922,-9904.982189766219,-7274.234761964973,-4200.37257645889,-2131.610021772458,-1076.1624940038146,-436.177703875804
-3113.3221986135964,-3538.0303337803816,-5770.800873366833,-9152.114679530445,-11179.495606911918,-9966.56803046849,-6627.526096784871,-3574.3919989655838,-1863.6764784380562,-1092.3438854178664,-505.7956355982672
-2387.635460757145,-3843.1573775566917,-6978.194934974529,-10519.215714647704,-11677.62128073592,-9338.774392177598,-5578.849560892457,-2825.9611398414845,-1601.149560910836,-1136.3411962260998,-583.5716240736497
-1801.677620307261,-4282.333603875734,-8087.7106124913225,-11367.070433134446,-11384.860709476969,-8069.600728827735,-4247.495982048456,-2036.9685509593658,-1373.6358221799928,-1209.1575849722526,-663.5374730514009
-1417.8318603473658,-4781.0591612901,-8915.87214690409,-11528.03392577129,-10298.90196312179,-6307.327945364621,-2786.1765496785442,-1286.949112376553,-1203.2608348110382,-1306.977565160449,-738.5203578436721
-1247.7158017100355,-5237.807211054787,-9312.576429404779,-10943.771559669014,-8544.86019082163,-4265.651152470082,-1349.9671389897148,-640.4526662027057,-1102.1625134219094,-1421.7680018525746,-801.2832390226519
-1256.3845260114601,-5551.199118070919,-9196.317393111376,-9675.929700928227,-6342.3502798374,-2176.053331412071,-68.80349457448165,-139.35750146428174,-1072.1055496189717,-1542.6249167397905,-845.7266129070194
-1379.0543339012777,-5645.788713407456,-8569.399682176896,-7885.264390900774,-3952.650607143255,-242.80978453936987,969.746548586493,198.9738344352678,-1105.9408702221901,-1657.5428478959634,-867.8579422893158
-1542.7267944290181,-5487.952474798492,-7510.290997826439,-5789.180184736115,-1624.2353021626213,1387.3993275142207,1725.1975219226993,378.5997938770711,-1190.2446396437563,-1755.2121728278894,-866.3033556201755
-1684.9265959690433,-5088.40666332281,-6148.819613835606,-3613.477427957999,447.8992757154178,2636.544824807237,2198.364686789746,418.9511291593578,-1308.349954433824,-1826.4911173064174,-842.276112161402
-1764.7568977086462,-4493.316010021489,-4634.573503389906,-1552.6281113792563,2141.741990825673,3489.4057738093284,2419.5166376285506,347.98950997135324,-1443.100871845704,-1865.3240914927387,-799.0722624753123
-1765.436641765487,-3769.2550806489894,-3108.4458065016347,253.50323850748364,3407.74953094812,3977.4514656995952,2435.1095389434613,196.2256934331761,-1578.910344540555,-1869.0358352964909,-741.2785561509528
