t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13
9242.008099962812,592.130452581706,-6092.063782917052,-6227.908616846656,905.1083117463409,8950.484129081646,11769.358351713781,9172.108136415232,3957.875918285019,-1417.323680065728,-4825.288196885094,-4540.9902740137195,-1606.2831960634107
8264.016247887828,590.7223899010814,-3977.5133658275704,-1772.842663261856,5902.97013652168,12213.02290733109,12804.648089134584,8896.205491422726,3257.2085082036424,-2063.0508120788904,-5088.040092286896,-4344.20950407535,-1394.0033084691463
6979.099206217182,664.7895592351576,-1842.6716870971238,2024.3079675872407,9417.81998969188,13819.336029787062,12669.462291606686,8019.981812704788,2328.507757868109,-2708.334711048911,-5210.680967922123,-4025.9266373801875,-1171.4300218478556
5654.682814790333,810.5408263502535,85.18358195944104,4941.524869320982,11523.391443043956,14141.22150955587,11773.262590794131,6820.327572480842,1317.8131011810822,-3288.118173871896,-5188.610343516477,-3624.059884468328,-957.3529753533522
4436.763885936656,988.7534690275808,1672.2408582229257,6958.381003081113,12469.845216940284,13587.286284207405,10460.63413257463,5499.450042669231,323.87278840220563,-3763.2365957887037,-5032.79301253398,-3176.6068018141914,-763.3477804221003
3382.864491918052,1156.464875356532,2872.9104819400436,8180.893509625687,12563.594261525928,12512.460203254104,8980.92869385795,4187.122160089973,-593.747353144089,-4113.991995644964,-4762.951285877422,-2715.702740288704,-594.5141430676296
2497.7502889719735,1282.1360026783154,3703.3852549154312,8768.904875762651,12088.625893224631,11181.89797579003,7492.6875574578335,2956.3572605608874,-1402.7566748756058,-4332.870372964564,-4401.5396202518305,-2264.854890670971,-451.35599017225036
1760.9792654080552,1348.4546465594788,4211.8586099548675,8884.767542197473,11269.948986987903,9771.233623404994,6084.080714489332,1842.3821075980904,-2086.5009480532653,-4418.257664164295,-3969.721897397157,-1839.0286074535193,-331.83382036989434
1144.4810783279263,1349.4931301293911,4455.885986501014,8666.55505716315,10267.352281483005,8384.643207100544,4796.693240466789,859.6158637170745,-2634.5974725955193,-4370.3219815873435,-3485.8651677103094,-1446.589714774332,-232.98950328000078
622.5983998595315,1287.3894542897806,4490.082357754746,8220.514915383974,9185.682402330136,7077.640826385348,3646.2270684340583,14.612837804491193,-3036.8156299243205,-4189.773096875769,-2966.3346009692214,-1091.9082278585163,-151.93372962189247
177.64542612514435,1170.9421273100404,4362.698586292207,7625.076554361798,8091.031693348778,5877.563722317845,2637.84186286972,-685.5675515394394,-3280.8252190863086,-3879.681146470897,-2427.6963593702076,-777.6148152906726,-86.25147738080787
-197.0669472252349,1016.1437915883403,4117.666676114055,6939.701456183183,7026.436536564327,4798.926426226813,1775.8251779904033,-1229.7167738767764,-3354.1751750779854,-3449.69629580157,-1888.968404873174,-505.90884672574316,-34.00095456950494
-496.2291757859538,847.2451008244451,3798.4661536760273,6213.84633744502,6023.904137113758,3852.9906449345444,1067.8579883760283,-1603.6304497873018,-3250.151142508235,-2920.9255231863426,-1372.5149676486249,-278.7805098263521,6.499565590375065
-704.0189067412318,696.4395620929992,3450.751867578619,5493.114910251062,5111.483281430505,3051.7569217553814,524.2954416087135,-1795.6468836749773,-2975.8038134924186,-2328.870593689657,-902.6920802112991,-97.3986672714804,36.932317857419655
-798.6558290776566,600.6329357213854,3121.7212602170866,4821.132095312812,4315.207251021751,2407.060562822816,153.34258903038247,-1804.9725069894437,-2558.882688535892,-1721.9265085485968,-502.3231451887289,38.85193176479537,59.167959029833504
-759.7970793729125,594.9383341912477,2855.649241082597,4237.067981383476,3656.7024496927584,1926.1404259805374,-46.01107323543885,-1649.6666912561996,-2049.7010983900805,-1154.4297739417161,-188.13697393516267,133.15870086359135,75.30818322987683
-577.150046741495,704.2196399291669,2686.758762391652,3770.2104419715656,3148.314985660963,1605.9534719561325,-90.34918682044659,-1370.2991029755485,-1515.1714395729186,-675.7619084473931,33.081369244462735,191.50085793623722,87.56075995553472
-257.4778462255005,935.4884566652847,2632.112995779748,3434.217938709369,2788.442831680929,1429.0895020512069,-14.224047767811768,-1026.2172025441484,-1025.5029146422728,-319.28952420195685,166.05479230023838,222.15036800487502,97.97817806892968
172.91429282693989,1274.3307771917564,2687.713465590509,3224.0204772578973,2559.748811795305,1363.7053257338555,133.45229124864431,-684.3180692786152,-637.9055593891776,-95.4899814198146,225.64247848356814,234.56774067608808,108.13942624267807
671.6477180251125,1687.267469596314,2829.931143419734,3117.3150678355246,2431.708237302356,1368.2289315304183,298.4868733413434,-403.9422656592047,-383.7024744646435,8.100920211757511,233.07298770528755,237.9995423554664,118.88146352394787
1188.6374721913262,2129.4715587685305,3022.108530472272,3080.5224488146573,2366.9149737904736,1399.3518156193852,432.7527668283347,-223.73599266426007,-263.9061399239572,20.56899599909383,211.17611590223257,240.1503924254727,130.17788836221183
1676.1830937294992,2554.933455145897,3223.876603413373,3077.032706444363,2328.8200652554747,1420.3001284058312,503.5035848527725,-155.44430277087878,-254.20699699470813,-21.985375103723598,180.1498331367592,246.23829983117562,141.21566309085267
2097.169217327873,2925.3933781079145,3399.7944955704265,3074.766727134639,2288.1446798708657,1406.4963262862584,497.56901963943113,-186.08144307539723,-316.0559759878428,-85.49859279977437,154.8864575872818,258.5945018447741,150.65290319192889
2429.1848433303458,3215.523136358907,3524.804698423593,3050.8916668741854,2226.245560123943,1347.3081518100225,419.99428511372446,-286.11637829909444,-408.65444238492864,-143.79166996317466,144.09548382175592,276.80445756456237,156.9797090702954
2664.545776546178,3413.9686883609347,3585.9000962451346,2993.2063193447025,2135.3518005647597,1244.4435358514174,288.9580273314223,-419.526079268948,-497.7906768636012,-180.60699788566353,150.82001367270897,298.2620360247707,158.87554379583963
2807.6678227642788,3521.480024590519,3580.9596797065374,2899.0526734554246,2016.7073357726665,1108.5079240029922,129.45835178573992,-552.3083593706541,-560.1134828135862,-188.8159761151802,173.67486071627246,318.9519256117797,155.47074999809334
2871.356107095896,3547.6773373487476,3516.1339428902484,2772.949837376858,1877.7741387083,955.0548040074004,-32.491891841098116,-657.9919136049572,-583.6362263985385,-168.30778399935903,208.2131723065847,334.28282672398126,146.46565973513796
2872.8764802421347,3507.413974478346,3402.7112524120985,2623.753267936649,1729.1845362084193,800.8049125795095,-174.44748921529055,-720.2201763457444,-566.0736284239981,-123.74408480712356,248.08467355634804,339.84263810676487,132.1137900551528
2830.108215251691,3417.1130942034524,3253.8769534408284,2461.7190856755037,1581.7631243029412,660.3335590380364,-280.6749959535482,-733.040766287405,-512.3512963819461,-62.75087266222845,285.90786653885243,332.00736364722843,113.11226492266874
2758.0703153126483,3291.3800245042844,3081.674199126084,2295.786855026143,1443.9346307873432,543.5565740758117,-343.6944950829102,-699.5392574267968,-432.07396426401135,5.3569239219415135,313.9451469575344,308.3847600733972,90.45274672198313
2666.352371811398,3140.403148786033,2894.6328505235997,2131.5143675267495,1319.9363631728627,454.3913250625723,-364.1726488486648,-629.462171880447,-337.3501313724714,70.44842320225143,324.73028565484606,268.1004457638916,65.2751698174344
2557.9568478914166,2968.6652757854226,2696.532313569176,1970.05008077523,1209.132393651958,390.7214913455538,-349.4939682256912,-536.5476640662254,-241.1535395182469,122.24116215415063,311.77892384712516,211.93800844859868,38.74760021815456
2429.6630262400267,2775.134322181865,2486.4546957887555,1808.2256926645668,1106.3828913231284,345.38352043169664,-311.67493266135386,-436.18806705374675,-156.21500509011292,150.95591222978052,270.44173427690475,142.33282757415287,11.97954654402561
2273.5803167332133,2554.6566315368013,2259.892505607449,1639.5240062542382,1003.1388109021366,307.67709797236637,-265.25578857147957,-343.698878538956,-94.25057903279298,148.13906882271726,198.85096000466518,63.20351554870227,-14.033371087272723
2079.4120418259427,2300.074778808218,2010.4942984494876,1455.5725089246694,888.9240475791646,265.0387453367061,-225.4389506465882,-273.063205535588,-65.22880432816662,107.75298861767712,98.77938662368823,-20.40101711207626,-38.44037337472303
1837.1012576300825,2004.6814579773636,1732.1088995923844,1247.929392361212,753.0580581484617,204.81296471739557,-206.37824807541122,-235.82562105958266,-76.43911539507897,27.475479532682137,-23.88501423617143,-102.84414362789164,-60.55188571538357
1539.6848541988845,1664.7628115350487,1420.9189356578772,1010.0501425641884,586.6010222370646,116.19115236265327,-219.44909322490366,-239.91490404467868,-131.33520760254362,-90.0704238659412,-159.37796512994097,-178.59475995867507,-79.85118561214395
1186.0825879327117,1281.9381083024564,1077.4258323307195,739.259772542812,384.39597713754284,-7.768850747902725,-271.5507171756582,-288.4625455472817,-228.40046813317696,-236.6300162339207,-295.22169906031655,-242.97083899972264,-96.00629820478824
783.2281097568275,864.7753975023796,707.8601010802911,438.3303843660754,146.80559272731034,-168.4374702574827,-363.78749723646,-378.9553727287034,-360.4928092566064,-398.69030471897725,-418.24007836481087,-292.7820256100469,-108.8781661970778
346.7126891863806,429.0059880480599,324.4516186333144,116.08793560451505,-119.46298508141612,-360.80635483121785,-491.01193443466195,-503.1648591636239,-515.1587572986858,-559.2172361717056,-516.9975305429787,-326.71334820219545,-118.51449323774854
-100.71509273453829,-4.147618960463358,-55.85952078099194,-213.4280370454247,-401.96127659230046,-574.0482774954139,-642.5824420125382,-648.1704168475305,-676.1943097683077,-700.5961185787868,-583.9745889932508,-345.3485345965787,-125.12129136668823
-532.7822030727767,-411.4098592915103,-414.1986633364031,-533.2888540953894,-684.6160795595279,-793.4976448001091,-804.3347696233415,-798.4621474558433,-826.2991633537056,-808.0621950237348,-616.798028826017,-350.8361467084209,-129.01552173141076
-924.5363180093685,-771.7547164275189,-733.2974896532264,-826.9077719785182,-950.8420767864544,-1003.5649618398825,-961.3238314430332,-938.6800180441869,-950.1766639821018,-872.5555319007146,-618.1549629420537,-346.30860826905996,-130.57252363728117
-1256.8180426511283,-1070.147046200897,-1000.6283530608338,-1081.1279020794327,-1186.657908329357,-1190.6883841650697,-1100.5526058062242,-1056.2127844296797,-1037.1291584051935,-892.0368111639568,-594.5053632536135,-335.22246567918864,-130.1811611135086
-1518.7946329283104,-1299.4002985468348,-1210.019350731443,-1288.0869355102918,-1382.7465418531372,-1345.3696395685618,-1212.8529945000066,-1142.8486620697292,-1082.3123192666249,-870.8870425466006,-554.1269209846351,-320.7761117552251,-128.208752012703
