t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16
55970.57126848401,41170.20746029525,22302.905068680953,7443.110661836869,8069.387687112392,24337.643254998584,41547.56011218732,46672.20087307222,39223.21478637635,25127.39497341005,9185.490218274354,-5478.500705839704,-15119.866163457466,-15987.040340259808,-9191.704368284298,-1986.4243883991444
49281.967736726794,33941.50946807725,17848.16443646388,9132.228710457863,15344.197835848141,31495.139103920526,43217.169098246944,42698.54513002146,32769.99363097559,18902.92476936582,4441.420927172918,-8115.365558628003,-15139.976467303291,-13834.950514893364,-6915.911052719784,-1160.540416398857
40834.94167846484,26622.917330441,14064.403252374288,10463.41623975575,19682.687043498747,33797.03590696788,40587.57338135888,36534.59411180196,25896.336476280518,13069.980038468748,348.7008035928107,-9954.038241453392,-14362.73049966547,-11340.014378065962,-4849.667176751312,-518.1146701718071
32739.995892715557,20348.001268270982,11207.057306068726,11415.112725659075,21816.187079122108,33223.30875848958,36160.53684280854,30147.401962165393,19704.104914497995,8121.812835919126,-2904.8835828684814,-10993.001077371975,-12998.976510267821,-8817.992839942748,-3120.0219058313346,-32.059636633937885
25840.268433067013,15409.284723073684,9235.584908129984,12123.038182392347,22603.04746079792,31300.77633634893,31421.19342904714,24435.45906735995,14540.12387747831,4126.8839161693895,-5345.903637498541,-11333.005327151634,-11266.171414695582,-6466.93070994711,-1733.465760371026,338.9325518011643
20272.568853224533,11703.110858375914,7999.6676970157,12715.696413000353,22667.394709596876,28922.03162208354,27040.688041540252,19642.681158993666,10367.922464737865,968.8005051320749,-7077.894442075085,-11091.512434315051,-9326.536829571689,-4363.871136191757,-632.7984913785328,629.3577777190178
15871.917224265278,8982.77211150551,7301.24813377533,13224.804348237407,22333.005596818683,26486.975917456246,23207.130862911083,15702.74785845914,7011.23684478843,-1508.1139315071237,-8193.61510883607,-10347.43952791969,-7266.8186160327405,-2505.0774630570113,250.07353944643373,859.4530504298638
12384.614338718957,6971.643140283735,6917.470412964066,13581.676954508514,21698.712869634383,24104.7595527561,19880.461322846444,12445.213100760282,4284.0524608609585,-3418.764283008244,-8725.23739012304,-9123.793423876716,-5122.645452370424,-863.6011949360175,962.1970194095738,1036.4240339195999
9561.98704001434,5413.513942458295,6627.189443026529,13662.302866302643,20742.708502729765,21749.096120068898,16942.671232438064,9699.954824639273,2054.5833643288656,-4797.255324247395,-8634.236145274175,-7418.385770620003,-2934.8252665494015,563.3886333792346,1520.7079355157052,1159.3369071486172
7204.918910223724,4108.270411749115,6251.71650857912,13350.357919244285,19413.338704476704,19358.85207737349,14279.192726088135,7348.051489353737,273.22657245972226,-5594.446670582714,-7853.907587862722,-5277.837312268255,-805.588899215229,1737.0486371394015,1920.853679565886,1224.6973548242952
5192.717926918502,2945.8019688807153,5701.525302716325,12599.428266527955,17699.79018721789,16902.98331569473,11824.02273666673,5342.793999034982,-1032.3439215175079,-5725.3344971591705,-6383.629192761905,-2876.6222740347525,1085.118517749686,2593.1869318875442,2152.0320104732305,1231.3619966571437
3496.259267105651,1924.911909344623,5006.890766053868,11474.80217330315,15676.932120978376,14417.43729495969,9577.594848232504,3700.912922541813,-1803.3608384081072,-5164.480672705235,-4391.816444013517,-537.5607293330224,2524.4339359792802,3079.5577153830473,2213.675914065271,1183.9837316257338
2160.7601194172566,1135.4309456186668,4306.559728665736,10151.984758136428,13510.112356441125,12006.840719917947,7592.327266247993,2460.2739374324733,-2029.7895735606833,-4045.957810229411,-2247.905432181587,1348.7639952097675,3352.6648930736324,3191.286999630839,2125.108766790732,1094.1645914485164
1253.8296735944368,697.0857273086948,3785.2663297609656,8861.996988951094,11412.159651200403,9807.185805762887,5928.23351600415,1618.7098641103032,-1822.731926135134,-2692.0865097946635,-426.29812619017446,2476.7787834626597,3537.824025517636,2984.8683521752,1926.5425594853448,978.6943314947313
800.2456336416844,679.8127915184206,3584.451852710915,7804.422743495015,9570.064395353767,7926.860623029076,4601.630039571865,1090.6303533108642,-1423.3349516246726,-1522.683933423899,683.715076477214,2756.5578298117643,3191.3034747727716,2565.29310137636,1671.6726981649288,855.186453591394
741.1941178633724,1050.3453255943211,3734.8051401889106,7074.7393090574005,8081.656811726961,6400.859135533423,3560.08586842347,715.2550419983886,-1125.8777528901114,-883.2293919693025,942.8630926166886,2336.50758374329,2518.944225832156,2055.9169473218026,1415.138400664976,736.793985648837
942.5294907514798,1676.0806809884648,4148.256494054041,6645.743176847706,6937.8155803311465,5185.420407442614,2700.31173345008,315.81619168987675,-1156.7012301841503,-901.0230727157455,493.9013183629743,1512.859080849887,1743.028506368187,1567.090073328802,1199.6172547382175,628.4985256643151
1243.0089808925165,2378.496901453151,4666.92950669696,6406.041983255774,6054.032783376823,4191.4475888730985,1914.8107928316756,-228.1964601108898,-1585.4512494114372,-1458.7881067973703,-344.26534488995304,596.7210514492579,1039.2692852757746,1175.5876348203808,1046.9708084735648,526.8432196567791
1509.81534085762,2999.2715543367376,5132.745718625223,6224.1123985553795,5324.746062694947,3330.9748363611498,1136.0070543573365,-939.2471436799171,-2317.2958530599726,-2284.608064174423,-1232.9989179646218,-183.02245634328597,510.5809480712304,918.0808309186868,955.9012666345031,423.11250028093764
1672.396244478687,3444.365133794598,5439.49492468705,6000.954736532785,4668.430974863974,2550.063494958449,354.98004424921993,-1747.4951882945775,-3156.1237788124104,-3084.995354477539,-1928.019287158146,-710.5555390426584,192.37818574157285,795.0823183520471,906.004269770219,308.1191555998869
1725.5405329482044,3693.4696639791446,5550.661865356255,5692.7681375322545,4047.0609188423705,1837.1788515255007,-388.02167246896084,-2531.382575244893,-3892.5734661701244,-3646.322700153596,-2316.150834228365,-964.5449237913641,72.14364580458687,779.8158914204296,866.0522285698257,176.2111116970035
1709.0655803034963,3781.660335440133,5487.41387828356,5305.420887615755,3461.3330780483648,1211.3710282888228,-1030.0634578723477,-3167.98631264144,-4373.421862408881,-3873.3179691945475,-2393.341074192774,-981.791034123867,109.07590672515369,827.9671047742586,803.4923235508985,27.027577180382252
