t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12
21266.28462605051,-496.6375034166215,8675.973975365647,19587.782004014745,17462.60259257941,-5332.255316585809,-22986.98395316355,-16568.48983206283,-2194.837255599506,4229.573221882935,3275.2192190414485,535.0576390561826
21967.86042049341,4779.533473090442,11866.657976160359,17298.74851425907,11516.445983580594,-9170.491427190951,-21934.965104786876,-13184.725696452047,194.69290198919748,5044.446429824624,3339.5544963505026,500.33211158158497
21603.669022414822,8487.614593497285,13541.532099332962,14279.244148005739,6039.429866403145,-11710.814751994625,-19861.1326950393,-9716.573654393302,2163.047984227241,5507.95198188247,3249.020801988392,436.01243186264765
20649.346149786223,10851.578368504217,13795.425047675628,10828.843175156078,1474.2008684203704,-12974.847537146252,-17195.395854853414,-6477.052246438803,3666.6293656493285,5677.082733871279,3043.59206373051,354.7213636945106
19487.904684601846,12136.531545928801,12916.699489099597,7289.440480126915,-1968.7069866509726,-13177.697045858966,-14318.890564861373,-3647.616039091551,4730.520107167757,5620.31187604172,2761.672966773308,268.58329899038347
18369.998496117736,12592.280640923793,11236.410210210513,3972.8007273085937,-4274.266371260076,-12630.50757094248,-11513.80135594583,-1296.9593793412305,5419.107691652136,5404.363062604811,2436.076883804128,187.27367092972452
17429.23931707697,12432.099779459926,9047.298057068541,1117.2389427917406,-5571.924287042894,-11654.14960797514,-8948.203225372401,588.2620118906198,5814.111506023394,5088.029098568381,2092.5309839063875,116.82550306530614
16718.211164988592,11805.154691353007,6575.844045463898,-1121.3489266997976,-6081.426391823261,-10517.453213214994,-6687.33221829545,2070.7298092981623,5999.018513754008,4718.982743361798,1748.7186005350454,59.12689143804313
16244.40205528092,10774.657103228303,3996.4699244257054,-2658.4270425152,-6066.623700754285,-9406.119260203772,-4721.336622056282,3234.1894283123265,6048.684581134785,4331.249544389842,1412.7799887869999,11.894584377163646
15996.604530763905,9320.912742759869,1475.009292338915,-3473.455738370373,-5803.462780379102,-8417.82590363007,-2996.5732105176467,4164.547391868666,6023.78206502645,3942.7612730298606,1081.385521351992,-30.91513913949278
15958.540247968891,7386.122908863005,-781.8395014697379,-3622.5419604324748,-5557.978450579286,-7572.465238750734,-1440.003086240411,4941.105484984599,5968.367470997916,3552.3817662917713,738.1379475771156,-78.04773721412175
16107.774619465785,4975.74662476493,-2501.8788826958344,-3270.7929034533227,-5566.0913838641645,-6827.716318527787,27.055510654518002,5633.98278460966,5906.948183412574,3135.638668751717,353.8069028056753,-138.7776888000409
16398.437093565663,2312.9179460974865,-3380.8439265307425,-2732.45150805391,-6009.870399865179,-6092.7792637911825,1483.7010302121064,6301.436865479046,5837.471269181288,2640.2430663989558,-108.63562196161428,-219.06933272074593
16731.515589799154,-10.611233475324482,-3211.5730826272543,-2500.4328904803056,-6981.519711344177,-5234.6131151122945,3006.2689642242303,6981.265791378316,5719.827920643357,1986.9024425855046,-680.1993083159457,-316.1793359930608
16928.337611068415,-1056.3613601319043,-2142.245389070942,-3218.633074871838,-8417.126878628575,-4080.4421405600037,4657.178637434406,7673.894914128215,5465.675841451935,1085.0154273446558,-1362.2487726567574,-413.69904030731436
16734.316240151988,-29.96137845650715,-990.9228724685122,-5492.6258161521155,-10005.065290776241,-2441.60368619674,6456.973618208536,8321.161931841127,4941.376349959024,-130.15139903428553,-2101.033450106353,-480.99466681401617
15876.848664797875,2690.964200081381,-1249.6269682157654,-9465.516440974996,-11158.606556932764,-193.19033396614475,8341.721834925233,8791.356411626704,3995.3907756418675,-1645.494063365787,-2776.948417419294,-480.00412409738533
14179.49350431884,4901.425813779279,-4272.562305183038,-14373.86630136634,-11201.91421442585,2596.15048832332,10126.044468573089,8884.41273426318,2513.962143102145,-3323.552601684504,-3221.780662681883,-377.80579543844283
11709.488944101384,3852.3885282747565,-9883.37957264799,-18635.672286344623,-9779.977827328645,5570.466894258223,11506.827100733173,8374.456920347955,502.02639507392064,-4885.061024716233,-3265.1292024595587,-160.61513194404608
8898.424437872542,-866.8121916014488,-15881.123586647924,-20755.150832931395,-7198.490172717924,8150.686520928826,12142.198948576226,7107.839921640231,-1828.8553976578542,-5950.37845887509,-2806.0547050407235,153.2579991681797
6495.8435547445415,-6295.922812707408,-19590.510147798464,-20384.340041005526,-4309.799757408783,9787.335360849725,11807.340016240485,5141.17783503604,-4033.0844724025515,-6176.593526868109,-1894.9517949513217,505.7001111428474
5207.078641706693,-9064.417409385143,-20139.39347518006,-18443.91970027828,-1948.0448477980947,10258.916141758054,10553.80717123189,2820.458670124388,-5567.374162040191,-5467.09160516511,-769.2859294139239,808.6407806780184
5154.753483163951,-8914.624338653186,-18860.55037387125,-16158.035312708775,-405.50850726229567,9787.597091912017,8738.108958536543,669.9850587611315,-6085.205290305247,-4097.268229731657,229.59089034677396,979.5601442478097
5692.290980666564,-8205.954142116943,-17483.97619515334,-14086.645984357841,585.0344846496774,8867.647617979417,6847.071442214417,-893.409603256895,-5666.835399910642,-2585.4754210490937,840.1306121779572,985.2182827265808
5922.779081957409,-8546.11210456575,-16493.580295408465,-12092.236161087887,1430.9465335147695,7942.227749900825,5229.200816928051,-1790.4383119555791,-4738.521468865586,-1368.527930691369,1022.656417752185,858.868131351194
5485.583742264576,-9269.575251554164,-15348.379625385576,-9965.796810618225,2292.0211445837576,7185.4141974760905,3952.1190720702193,-2233.63310200284,-3732.7877480838533,-568.5059632533234,935.1922194098245,675.22534273354
4763.091259639107,-9047.953151045025,-13676.132110330691,-7827.360187860584,3050.544399566601,6530.401818111362,2893.2068069098805,-2463.3503428637046,-2819.7940348830252,-48.533432072992355,777.1425715454434,503.848700699015
4292.412585487629,-7761.1160399946,-11773.953453043403,-5963.309756173838,3546.646799287971,5859.651513215071,1945.1636684388673,-2542.266475183107,-1941.006831082717,348.68573227452737,648.6394619496785,376.1729657202952
4085.0370255487765,-6406.224637502577,-10140.01390540907,-4488.486415520969,3776.9509281881524,5159.065245500361,1128.955757357942,-2388.017679680828,-1037.2031612504156,637.602595502985,529.1290746850073,284.2780085767927
3610.429412928659,-5803.601972312352,-8920.813346871933,-3268.423899719158,3886.635406083901,4518.007244661542,535.1399065376728,-1951.833854284187,-196.13344946158463,725.2418346438117,354.2464990753209,202.79777400147552
2394.404928587419,-5866.5961130644855,-7896.707394957665,-2110.8269294141155,4022.9305355404767,4019.560878206502,197.1397868517937,-1327.1775008571533,406.3057303734315,552.8126111216876,99.92020047694155,112.92811877776752
542.3706757944799,-5960.89190032742,-6825.76834220118,-960.209099759244,4215.3720791777305,3650.3168684026355,42.560415418976035,-694.1452705196674,664.9435631891167,183.60240126433564,-191.84766707033498,13.537863991239817
-1324.8625418397667,-5628.762506735763,-5682.967554335533,84.53212054781758,4376.057463801011,3312.3797931087947,-41.58060241658832,-187.0039463010706,632.2092474567085,-229.27617769564188,-445.55469303053155,-82.32110475660068
-2593.159877701965,-4911.233931366794,-4612.823564898006,893.3834808279604,4393.208679224383,2912.6018932620677,-113.98479500314895,180.9875982227288,469.1559883470637,-544.1127286113826,-602.5374050753187,-158.2201250798223
-3121.0635617921375,-4152.340044953574,-3739.7248236148316,1430.599502632628,4228.271334629263,2437.373923070737,-148.2082178887807,489.9372900723458,324.0872197583928,-711.3306403689984,-651.0141589614569,-204.03696237676314
-3284.532412878076,-3637.185730781712,-3048.9859280631954,1782.9303916577287,3938.4408853014006,1944.825262205017,-72.28514078536601,830.9946790819617,238.46839307026912,-783.680700322718,-623.4252973774386,-219.94148560119714
-3641.2750967898846,-3422.9557307554187,-2435.6366731100306,2074.4185997265777,3604.471865287116,1495.8409367874717,186.82023288643202,1230.8466530033486,135.0941599814925,-864.9614563755096,-571.5445724016238,-214.69946055049593
-4522.356677971787,-3457.5294167809866,-1872.442490271542,2323.5891773955473,3226.4899626908423,1122.1372252548915,692.4226135325474,1609.4527280702857,-117.42810930219315,-1039.481689576115,-538.0965215274153,-201.02171279134598
-5835.770748087778,-3756.11044891661,-1515.0992749912366,2377.8692278558883,2722.0047144176015,898.0709686235869,1472.9273617500971,1784.4506506430357,-607.4866953761278,-1323.685630797759,-539.7824428380735,-191.11562178199836
-7167.1822777615225,-4258.361776566127,-1512.2626979316829,2087.692958263489,2110.2222404034333,1024.2030493961379,2426.7725391903537,1546.4593729877297,-1306.928251429337,-1661.6656528646333,-568.0088465867449,-194.31222859548498
-8072.03502942662,-4430.9490558004845,-1580.2661163873508,1662.6089933798721,1716.9845620456408,1721.9854176070874,3238.0289958775406,798.6676664898234,-2069.84668135106,-1963.5554228482365,-604.2003605584487,-216.11135734759006
-8362.113908788613,-3481.270438694809,-964.380211337557,1748.5687732843564,2040.802301420019,2939.5128722897216,3491.206418220272,-334.586707420982,-2718.568904002667,-2165.9652141070665,-636.1143224119121,-255.32975957013892
-8183.851369449472,-1507.0473910232022,794.7877110418876,2884.223910074507,3265.703068937034,4252.317933220209,3000.737795389548,-1564.0157168457888,-3173.0207939016973,-2275.9661569698906,-653.7333557244406,-296.87399834433324
-7768.668356412628,118.98595130954807,3249.5867456350366,4949.015432712553,5061.709313115557,5265.85408470444,2023.2147521075342,-2662.6315908597467,-3526.9405105651767,-2353.2845577555377,-614.8862045263122,-305.84139452298757
-6993.156077467541,161.21413162371533,5694.4759568614445,7502.98062436559,7085.895899615292,6086.641609288996,1019.3536347844081,-3660.6482914799562,-3983.0528163941367,-2418.411839418899,-414.77615362522323,-238.30242649070198
-5243.225286473602,-1730.297109267027,7827.304020977333,10386.257699575654,9385.835626599031,7092.780291862795,166.93551613678363,-4776.802387160729,-4661.874194964752,-2359.7528314734354,69.34957811518922,-76.29491387120129
-2024.0538941043005,-5740.338450223688,8953.938355512135,13216.834654426244,11834.108616587295,8177.311000392545,-778.4992337101611,-6118.228895542281,-5437.447751435534,-1972.5508884908413,841.9817179192215,136.96597734884142
2077.4759215156982,-10794.580300715854,7826.2498188437885,14681.463827981757,13488.592348986163,8585.3307311904,-2085.9685006013424,-7462.2811534557495,-5979.927629834747,-1165.3636942087176,1683.2344409962989,305.40525568562043
5270.030935292983,-13221.807401692455,4721.190860357643,13619.27697386559,13295.424337583749,7706.360162294918,-3634.232372614214,-8373.118251932061,-6012.218103120548,-151.39639123315266,2234.059114538507,342.23313707956856
5853.112279122722,-10269.398668546894,2238.5013009684967,10769.245988452145,11387.37660982039,5766.010220834783,-4991.009446094745,-8549.008860357837,-5557.926932789767,623.897666676531,2252.964230291041,236.14033084097105
3835.8508045683498,-4352.278286988258,2482.9148327331254,8293.803690682777,9057.045359312217,3557.7502644012525,-5822.659667693716,-8059.881235246247,-4934.200390603043,820.5710607600174,1813.0059469969988,60.35961447564853
1170.8129616645367,-613.3292132003046,4655.220572085644,7542.811897510634,7456.892929698296,1732.867559253374,-6118.567064559154,-7267.98068732755,-4479.489431295133,504.6838196262198,1244.3476445587703,-82.2177537440121
