t1,t2,t3,t4,t5,t6,t7,t8,t9
46.50532393773247,-76.2789929589047,-183.1018232483686,-117.96967449072096,87.14870100254142,157.58493167428927,-93.96110337508436,-417.1482741806832,-404.7183745946284
33.08797244789173,-88.50817822990874,-192.2419563538098,-119.46371941984401,89.52604130755635,148.28772074805272,-115.31643292799282,-428.22314666091006,-379.5862930709068
24.23147510279321,-96.8013885959874,-197.81767410509087,-117.85123904905484,93.9295412101558,140.17537415980019,-135.1910329193583,-436.7608416400079,-351.4238254909772
18.496690605229254,-102.38793902479645,-200.8650612030146,-113.99190322649271,99.6682082441511,132.66444135535988,-154.0230944442208,-442.9111179794904,-320.51233863989313
14.555184785418405,-106.40042929537991,-202.35761630263335,-108.70413644585719,106.07662792530171,125.21451017013638,-172.1670850542408,-446.78433838076893,-287.1514459763552
11.379315718296441,-109.71583908888024,-203.06391487536513,-102.64541572149788,112.61239778517816,117.40995695856166,-189.85301884518938,-448.4439794874291,-251.65067051734667
8.381374816787437,-112.83901101334509,-203.43885431539996,-96.21985381376139,118.93190675966622,109.01668232807182,-207.16922342308314,-447.9035597970061,-214.32181907265434
5.480170272389998,-115.84642475777083,-203.56542025515446,-89.52746018274377,124.93215568412066,100.00479606721777,-224.0680170924278,-445.1280095429372,-175.47311655094413
3.0858599009692895,-118.39793171376166,-203.15551182686343,-82.36259177160001,130.75215648328825,90.53484149286784,-240.38962697793784,-440.0392860705611,-135.40570000995453
2.007703539410219,-119.81271813738991,-201.6085601566491,-74.26092293744944,136.73452277765506,80.9121347313681,-255.89717122283,-432.5258396860977,-94.41254794844656
3.302083515176985,-119.19533835255096,-198.11729845567797,-64.58631572671304,143.3547534997725,71.51960423431835,-270.31494376381045,-422.45536638618455,-52.77947319540486
8.087316662865444,-115.59009200267292,-191.8027979427883,-52.64273019063769,151.13105094322094,62.742931803544394,-283.3633846405686,-409.69014082752517,-10.787537855135643
17.355916908035585,-108.13855692917535,-181.85699871367646,-37.79287179476244,160.53030726029752,54.90220152158014,-294.78639732810126,-394.1040912823161,31.283818673417613
31.813586704957356,-96.21611908464084,-167.67095858563775,-19.565125666376424,171.8857120808395,48.201760050969526,-304.36932357806296,-375.6006440833338,73.15355559496483
51.76792876113908,-79.5283708134898,-148.93066632601386,2.2666946972579325,185.33848476011008,42.705334376628024,-311.9482085384553,-354.1302249399956,114.53615876214002
