q1,q2,q3,q4,q5,q6,q7,q8,q9,qd1,qd2,qd3,qd4,qd5,qd6,qd7,qd8,qd9,qdd1,qdd2,qdd3,qdd4,qdd5,qdd6,qdd7,qdd8,qdd9
0.4324839511230423,0.7798910707523381,0.9738805640452586,0.9762914509479018,0.7866494696564941,0.44226037185167616,0.010871256971809965,-0.42265641610218835,-0.7730404983005007,0.9016416317035288,1.2518305280840079,0.6811826647632788,-0.8658406579138276,-3.086999400263777,-5.381320236301331,-6.99958634297919,-7.25031995510335,-5.709210052798234,-0.4324839511230423,-3.1195642830093524,-8.764925076407327,-15.620663215166429,-19.66623674141235,-15.921373386660342,-0.5326915916186883,27.050010630540054,62.616280362340554
0.44148008885150897,0.7922546027935651,0.9802541444645135,0.9668527215702543,0.7548037624055735,0.38767440224042155,-0.0591057290939898,-0.4937421210541981,-0.8269352903681931,0.8972710466451393,1.220381324590655,0.5932253453294977,-1.0213388451807166,-3.2797533453690946,-5.530778252878264,-6.987762097168529,-6.95686696332492,-5.0606738749930775,-0.44148008885150897,-3.1690184111742603,-8.822287300180621,-15.469643545124068,-18.870094060139337,-13.956278480655175,2.8961807256055,31.59949574746868,66.98175851982364
0.45043206421955195,0.8043011379036121,0.9857452682132695,0.9558667184428352,0.7210708099445786,0.33169275837279755,-0.1287931188439842,-0.5616685089221443,-0.8741341963626613,0.8928107053137935,1.1884438220916538,0.5047339851410293,-1.175202563464363,-3.464306882501424,-5.660324805658207,-6.941700389269442,-6.61889893482679,-4.371160251775465,-0.45043206421955195,-3.2172045516144485,-8.871707413919426,-15.293867495085363,-18.026770248614465,-11.940939301420713,6.310862823355226,35.94678457101723,70.80486990537557
0.45933898173862553,0.8160258560225546,0.9903489920032904,0.9433510226861967,0.6855349551930076,0.27451698086826143,-0.1978494697203071,-0.6260009378383413,-0.9142550358388088,0.8882610538886204,1.1560307994212906,0.41578824699911854,-1.3271855815787437,-3.640198570162489,-5.7694935115432004,-6.8616269046952905,-6.238578432049492,-3.646252334234925,-0.45933898173862553,-3.2641034240902185,-8.913140928029614,-15.093616362979148,-17.13837387982519,-9.882611311257412,9.694624016295048,40.064060021653845,74.05465790294352
0.46819995042743373,0.8274240658558898,0.994061171412652,0.929325663418603,0.64828504888928,0.2163529093703126,-0.26593643102312076,-0.6863277626684825,-0.9469729410912887,0.8836225474826617,1.1231552256789945,0.3264682027508256,-1.477044678059934,-3.806988624183897,-5.857891350123528,-6.747933974045653,-5.818339019014826,-2.891819869237033,-0.46819995042743373,-3.309696263423559,-8.946550542713869,-14.869210614697648,-16.207126222232,-7.788704737331253,13.030885120132917,43.92497681078288,76.70480822839438
0.47701408390105715,0.8384912067516185,0.9968784646166854,0.9138130857030318,0.6094142274361691,0.15740994149913476,-0.3327204017048348,-0.7422629690131761,-0.9720229876832074,0.8788956500973453,1.0898302550401409,0.23685426120574474,-1.624540030398283,-3.964260017324725,-5.925200078598241,-6.601178650830418,-5.360869689633545,-2.1139716707298413,-0.47701408390105715,-3.353964827006474,-8.97190618155017,-14.621009371248508,-15.235355685904228,-5.666757893968851,16.303299683536906,47.50483001684327,78.7338620023398
0.4857805004596268,0.8492228505250605,0.9987983353963966,0.8968381146278787,0.5690196800307231,0.0979002789950684,-0.39787416489226873,-0.7934486432056459,-0.9892023396006044,0.8740808345760674,1.0560692214927783,0.14702709574933517,-1.7694355988312747,-4.11161952196982,-5.971177377487354,-6.422079982112704,-4.869097661588608,-1.31900615526385,-0.4857805004596268,-3.396891402100242,-8.98918501856757,-14.349409834046059,-14.225492000768078,-3.524410043822462,19.495834079721167,50.78071316516134,80.12538950764896
0.4944983231764975,0.8596147032306298,0.9998190554216511,0.8784279155789205,0.5272024056609624,0.03803816376702725,-0.46107849112872834,-0.8395572625005645,-0.9983718916624477,0.8691785825569059,1.021885633502529,0.057067571718242824,-1.9114995040822702,-4.248698693321562,-5.995657723010911,-6.211515485443492,-4.3461696458932355,-0.5133603422606902,-0.4944983231764975,-3.4384588129225193,-8.99837149879486,-14.054846649262728,-13.180060141524061,-1.3693738956129808,22.59284606530769,53.73166480003613,80.86812322465826
0.5031666799860068,0.8696626068799735,0.9999397058070761,0.8586119507659336,0.4840669605766441,-0.021960893404047575,-0.5220237024812014,-0.8802937908002798,-0.9994573958874848,0.8641893844244208,0.9872931686074377,-0.03294332639734872,-2.0505043984421714,-4.375154790627668,-5.998552982994504,-5.9705168493475576,-3.795431711969309,0.2964422680226239,-0.5031666799860068,-3.478650427519894,-8.999457352263684,-13.737791212254937,-12.101674014416103,0.7905921625457127,25.57916142157887,56.33880261121791,80.95604906688627
0.5117847037706846,0.8793625411056362,0.9991601779392701,0.8374219320737759,0.4397211968662334,-0.08188088872999727,-0.5804111898478287,-0.9153975665077463,-0.9924500626972491,0.859113739260613,0.95230566794541,-0.1229245678588895,-2.1862278295980926,-4.490671634139283,-5.979852734155607,-5.700264878430823,-3.2204078770908127,1.1038445167822912,-0.5117847037706846,-3.5174501644225447,-8.99244160145343,-13.398750913180415,-10.993029921655834,2.947711994279902,28.440148302543605,58.58544425649576,80.38845507847718
0.5203515324479998,0.8887106247696963,0.9974811735745807,0.8148917703132136,0.39427599279277004,-0.14150610305454323,-0.6359548760329352,-0.9446439704268723,-0.9774066320873154,0.8539521547949968,0.9169371307160726,-0.21279514862537344,-2.318452596628352,-4.594960395659781,-5.939624299628674,-5.402083707871137,-2.624777557187253,1.9023086814947336,-0.5203515324479998,-3.5548424990787852,-8.977330562171225,-13.038268325011417,-9.856899819819251,5.094219709963556,31.161788925613827,60.45721410731983,79.16993719907255
0.5288663090565959,0.8977031175166883,0.9949042042073553,0.7910575209527709,0.34784497556377364,-0.20062187846852594,-0.688382617419785,-0.967845863037635,-0.9544489141904569,0.8487051473538104,0.8812017085794126,-0.3024741642764928,-2.446967097593448,-4.687760320704967,-5.87801250659365,-5.077434315644075,-2.0123520232950973,2.685369413368165,-0.5288663090565959,-3.590812470066753,-8.954137837866197,-12.656920335244335,-8.696124389094342,7.222387624866934,33.730748253569466,61.94213523440864,77.310362049427
0.5373281818420156,0.9063364212701925,0.9914315897092569,0.7659573264184432,0.3005442372275206,-0.2590153911036242,-0.737437537374216,-0.9848547819492801,-0.9237628029518795,0.8433732418083667,0.8451136999934152,-0.39188088284474876,-2.5715656681668793,-4.768839380471227,-5.795239164881093,-4.727907364268163,-1.3870500143054312,3.4466860887643134,-0.5373281818420156,-3.62534568508077,-8.922884307383313,-12.25531722269509,-7.513605930688015,9.324554079730472,36.13443933133659,63.03070604475393,74.82478703910225
