t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14
-31240.16772150849,-21486.6662636569,-11631.258984046026,-6763.300119485507,-11243.498821460784,-21486.220021406847,-28452.93473190353,-27591.123539965858,-20934.03916528943,-11928.222890432526,-2652.5464662603,5092.838880817284,8515.501476767766,5790.961864962707
-28552.648871791254,-18848.652538272385,-10967.445007941418,-9730.472962030874,-16926.19951783713,-26397.893602819342,-30047.625720215972,-26242.414666689656,-18272.07346999764,-9045.474379038104,14.933805921419946,7133.592058482759,9392.127170323447,5700.718405423577
-24366.597672855696,-15800.167608691565,-10477.969915645075,-12347.712707694032,-20741.067945685823,-28292.15274412449,-28872.631759477597,-23203.56473214455,-14861.458849613055,-5952.524996471417,2549.3889426613396,8718.723283555337,9668.322331418167,5285.583457443006
-19849.850806834493,-12948.900551445518,-10151.869360044937,-14251.872505729827,-22631.977494935254,-27863.899420054204,-26066.752511729846,-19479.675720857096,-11341.480597942838,-2996.259396859222,4770.386885448852,9788.497268319303,9432.897354189208,4682.4666698494175
-15707.922303224728,-10577.941668200277,-9946.509510725895,-15417.715769404742,-23033.71357197064,-26047.43900056284,-22623.120206624895,-15761.403927999954,-8082.144463402042,-352.8020487997741,6603.160980087131,10368.95656348364,8833.757749199389,4022.584534691684
-12232.207686840069,-8752.859028593619,-9843.301729047653,-16014.204850032138,-22500.87713296253,-23618.03836759466,-19176.77576421938,-12396.188452740435,-5224.98814708477,1930.713071570442,8048.15527232157,10540.110480138621,8031.626424548459,3404.0081059119975
-9453.756698412584,-7427.3200282396665,-9837.62269215491,-16240.620828964711,-21474.34272992129,-21055.63523629713,-16024.965778798507,-9482.07453913286,-2767.4720039330323,3882.275860926379,9147.695354453681,10404.547269863753,7165.908196716064,2883.667090774405
-7281.670533148458,-6508.206031022503,-9911.990461439098,-16234.154964025696,-20215.914843467257,-18583.901910759483,-13242.05494740674,-6980.890050181661,-638.9141858961336,5560.929200926324,9959.225234000734,10063.392044592274,6338.029580771809,2483.60604567908
-5586.963116550606,-5887.009749493865,-10023.561205934508,-16053.115638181127,-18842.510847148573,-16266.730957692414,-10790.956687638112,-4801.383130125049,1249.4543566836387,7027.785294042653,10537.325510344315,9602.006817348296,5610.180400644631,2203.228246380522
-4241.298279975124,-5454.628631418102,-10109.480868445802,-15700.086124880752,-17386.55426985384,-14091.595584520286,-8595.83246412583,-2845.978656043713,2977.0767296001213,8329.225049844552,10923.856992635681,9085.167956824429,5013.527568715124,2030.876130941244
-3131.8998894267443,-5110.9413742363195,-10101.294794355867,-15152.933398439252,-15844.539192248532,-12020.646436711413,-6579.48186730083,-1032.8067314769105,4600.31601289973,9488.488527358859,11145.607811956383,8559.800632535535,4559.407850915572,1951.4143892803054
-2168.2682602718974,-4773.817997972338,-9940.60969133243,-14389.314248398216,-14206.485692631843,-10016.676885929504,-4680.128227558953,694.5480368751014,6145.950992518733,10504.373892514104,11219.133078805871,8061.924829267547,4248.522530388332,1949.291673653178
-1287.6890722486603,-4388.304863066138,-9592.617357289408,-13403.049011660234,-12472.153934193595,-8055.903919578537,-2859.084012283784,2362.8544273926655,7610.344313127715,11357.919813032026,11161.173701435795,7623.418294522848,4075.5396139057952,2008.1307463871226
-460.0801311032257,-3934.354699356386,-9056.069697733365,-12214.42649860298,-10660.278119339362,-6134.807696162726,-1103.96947648505,3969.674232094847,8965.979371549598,12027.17588111467,11000.106603133889,7274.380093076461,4028.9088913514815,2108.4858535760604
310.9413426878839,-3429.6285477742895,-8367.482897067157,-10874.73582598242,-8812.760039608944,-4272.430766943114,572.9295184014344,5490.433402944597,10176.571246829068,12505.938761677835,10781.43269833222,7038.968640017967,4087.600672722386,2225.494545933777
994.6984722311038,-2923.3556237994894,-7596.259656005007,-9462.870891257138,-6992.235924297403,-2506.4126096119685,2143.0184304058835,6892.9748438723,11217.33993937723,12817.196668400018,10561.409849536118,6926.190229462638,4217.571227811123,2328.0077707940686
1549.26326700297,-2479.5108460748697,-6828.800397935177,-8072.1110717676465,-5271.354669766624,-881.797052359902,3575.9144564505195,8155.753286563462,12091.01074578549,13011.043511541497,10388.898762394623,6920.514906812423,4370.829241099065,2380.3826023530323
1942.708428403513,-2152.8658447587195,-6144.417812708609,-6789.0744526411445,-3715.622273256917,564.5279801177328,4855.003635206671,9280.790616630857,12828.277433172165,13143.82573164823,10283.580339625649,6978.251460270129,4488.988684007645,2347.3242616696425
2170.9987362104857,-1967.1932358781876,-5591.722293920504,-5672.219561471864,-2366.354162907532,1816.905101519613,5985.845204202244,10292.154465186366,13468.4129614866,13247.886110457466,10223.072783645917,7033.298815838341,4511.40739009651,2200.978607505027
2262.9852827898217,-1906.4917626602146,-5176.533324200441,-4739.819790272037,-1232.1404418250008,2884.25233863762,6991.4368088044175,11218.029276307296,14029.272269966223,13310.282895359549,10147.777408518401,7011.304452295609,4386.048525916775,1928.2519571874009
2268.841553359293,-1924.6038297401278,-4867.888818524384,-3973.741589740673,-293.5913471007449,3791.362867145661,7896.043518882458,12065.99676054105,14486.069751185421,13275.397743585032,9982.157784631849,6847.071970285169,4079.8791367306176,1535.6904274103968
2237.9362089869155,-1968.3290782205156,-4618.951562026997,-3336.817510143599,481.4590972416555,4563.384326085476,8707.453087190985,12807.89281913362,14774.90222557185,13071.16327351479,9661.670933250942,6498.699191123838,3585.5656746076143,1049.717890366018
2198.712263875808,-2001.1395759743739,-4391.09943062356,-2793.8924829555804,1121.2766067484904,5213.128008957483,9409.297476634005,13385.546416368205,14820.598112265536,12643.220157541446,9152.371056410597,5953.936933519822,2922.499086168298,511.6188617060659
2151.3480734060786,-2015.047413286553,-4168.630377298146,-2325.5270725820083,1641.0116855895535,5738.4024845703925,9968.261456357815,13734.620054736484,14571.87001738244,11977.708518255495,8456.001461190162,5228.103616114542,2132.172139648683,-31.312784954966133
2075.173750843642,-2026.6288945077172,-3958.733888870045,-1929.4029878139374,2043.9011396898425,6129.230332366648,10350.843559924027,13811.882899379492,14023.331901969783,11103.107768782358,7602.047748809677,4356.242080006682,1269.6933217175126,-535.5775175829052
1943.9895502111922,-2062.8753583248817,-3780.695727451215,-1612.515095612724,2329.027544543106,6378.626278087722,10538.943349578414,13610.770897478667,13215.01409222946,10075.258792768413,6633.780418849746,3383.524268101234,394.03310734615854,-969.1866975545333
1739.7783360108897,-2146.5333903921064,-3652.9405521932867,-1381.3059624034267,2499.1531912014593,6489.967481448069,10536.310413380761,13159.792356146363,12214.813244428,8957.152720321836,5595.519771475645,2357.161526125866,-440.660337258135,-1315.3742600886355
1459.1335982547293,-2287.6825709054788,-3584.643013818143,-1235.3680751295065,2564.40256243541,6478.02054220047,10365.08854451284,12509.07761884794,11096.619785953872,7803.50485141763,4525.050593971567,1321.2988433011349,-1191.2516736704924,-1572.0839603838797
1112.5136556869209,-2482.5887428917895,-3573.6388824140754,-1166.1278220567385,2541.557156791051,6365.213088022191,10057.14736672461,11714.60666764723,9924.381478426172,6653.955788853733,3451.4653355867426,314.721412292602,-1828.8883767469615,-1748.4138356994763
719.8085800734076,-2716.999235757279,-3608.5915235183447,-1158.7713632407206,2451.180668619192,6176.615601342936,9645.71509021413,10827.069664595932,8745.501167487138,5533.488614788273,2396.639662391316,-629.6973240837706,-2339.634667339644,-1859.7825787043116
305.69933668281163,-2970.4952196533177,-3672.502189766421,-1194.9928636991385,2314.8817921816362,5936.300998263976,9160.450345607058,9887.364281186232,7591.6458552574,4456.631887902678,1378.1496952272,-1485.0137092999566,-2723.096752047135,-1923.3614702423727
-103.46402397837736,-3219.9488958174325,-3745.7107977230785,-1255.0776863635406,2153.849869641966,5665.986436393128,8626.319686944938,8927.220585032052,6483.245972592501,3432.4267660837713,411.9222885729329,-2230.564996797253,-2989.7311722005684,-1954.6618719792634
-481.2679952076066,-3441.771176614529,-3807.9349310643147,-1319.0411035506577,1988.6005490796183,5385.467253750981,8064.980929958492,7972.253099565769,5434.520409473031,2468.307677508976,-486.44317303081925,-2852.9725255252456,-3157.435565952809,-1965.4994033700773
-802.3435099865114,-3613.6559584504503,-3839.827290382732,-1367.359450343874,1839.134299979767,5113.6489571767725,7496.8335414309395,7045.012078596716,4457.092561756274,1572.0116000756084,-1302.1669819987806,-3347.5180163377286,-3247.8710904110867,-1963.1230218392734
-1044.2750531187262,-3716.836407713463,-3824.860463512766,-1382.1390093263967,1724.4722081275727,4868.8582054488115,6942.088190134896,6166.441986283077,3561.336983768724,751.27234042446,-2023.4848499710201,-3719.097411820885,-3282.842272292057,-1950.1500994358414
-1191.16831421184,-3739.4932780394906,-3752.0881633962936,-1349.3554931890553,1660.798609090089,4667.508516489128,6419.8867349774955,5355.134520385861,2755.4225289364144,11.614141012730158,-2644.7230849871585,-3981.723890623604,-3281.025688683563,-1925.0104416683425
-1238.6048801025652,-3680.9660680969923,-3619.5470470194837,-1262.088395262331,1658.194256586362,4521.048256892679,5945.489048750146,4624.722610526338,2042.728785243087,-646.7934491582438,-3168.7362232940354,-4155.833858535212,-3255.393923288938,-1882.753455142996
-1198.2665509865824,-3555.189349961194,-3437.06175124512,-1123.7128461354105,1716.958429855818,4432.171769048964,5526.560266946083,3980.583736974787,1418.9563379835806,-1231.617350552599,-3606.9367309882746,-4263.506598634781,-3211.7380371459903,-1816.1991108581592
-1099.5202102362377,-3391.031681388953,-3226.589610729372,-949.3013907822532,1825.3202398243943,4392.089128060629,5160.306061667753,3417.5477728087135,870.6638814565453,-1758.335943322071,-3975.8088870195584,-4322.833299212225,-3148.620664767146,-1717.4353983942424
-985.5522131924314,-3227.6827705471046,-3018.5897838600595,-763.5870674884698,1960.3894793225763,4380.756851064693,4833.27977843136,2920.2779575778163,376.7868075292,-2246.5133104552897,-4290.461288715602,-4343.437153848545,-3058.826700317106,-1579.5681244024975
-903.5755640849824,-3105.1264563261957,-2844.4070797506583,-595.0127533723149,2093.1836995388976,4371.081072756282,4524.879091055654,2467.1514090651895,-86.37642094937257,-2712.868039974282,-4557.740732353018,-4324.972307821882,-2931.9921275382376,-1398.4749068756057
-891.5970614291924,-3052.3651920984967,-2726.7828553981303,-467.3030954790516,2196.7116108701553,4336.365388035264,4213.947744041469,2036.8805569540455,-537.9916361265155,-3163.7220075216983,-4772.39191758658,-4259.241588600382,-2757.7591934414854,-1174.2041064344544
-966.6750405545191,-3077.9609350480723,-2672.1668164138823,-391.6709144255008,2254.2626801653646,4258.4434916377595,3886.160373560927,1615.4783970564672,-986.1928601683369,-3590.55806614378,-4918.668536691454,-4134.961371075348,-2528.6834069245506,-911.6634815187657
-1119.798156854673,-3167.180277419927,-2668.3226504306326,-363.0582397387843,2264.4177311722497,4133.130146472513,3539.0578213728245,1200.5479957359444,-1425.3611155518383,-3971.443500640591,-4976.97751535568,-3943.0778097129373,-2242.24547785728,-620.3729277153471
-1319.8374711826448,-3287.266059349022,-2688.515938228681,-362.2084083162247,2240.5317959982203,3970.5918562833554,3182.4662913101415,800.9369699893468,-1838.6568861054152,-4278.149557129163,-4932.316306063707,-3680.5199600462256,-1901.628990063848,-313.2760685668378
-1524.7212934667698,-3398.477751161816,-2700.4293917975556,-362.5921174379872,2205.054018011945,3790.6426177929966,2834.278443994598,432.1034587827884,-2204.5999352270896,-4485.67552311037,-4780.399259659387,-3351.2800230104,-1515.293076560045,-4.859276889374712
-1694.6185803704016,-3465.889609395691,-2675.760568110912,-338.91362721494755,2181.510097636444,3615.4103028554146,2513.862100293732,109.67694664451847,-2504.4521349935776,-4579.725949894015,-4529.006440350492,-2965.0649465288816,-1095.6776029972239,290.9673808991614
-1801.5851640880917,-3467.1622673700176,-2596.589136178597,-273.5395035901439,2187.750713875951,3462.775627904878,2236.240882365903,-155.7154383749001,-2727.125685824439,-4559.265310567907,-4194.918555086489,-2534.70227118449,-657.5288082155048,562.7069281296228
-1832.8535528828584,-3394.303126294873,-2456.8476964965957,-158.8553871020396,2232.7861505656006,3342.9632771795946,2009.2049499912425,-360.51934156905827,-2870.208988420806,-4434.30036218106,-3798.844333197808,-2073.634408846209,-216.28684583488862,802.4291274337588
