t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17
21359.77644425266,-5488.4828648470975,-28959.324233426934,-40004.46524894916,-30210.74320562067,-4430.417178971957,16111.820376146767,12653.652347331279,-11193.186603571561,-35851.98083857969,-46716.9556485414,-42361.59318820618,-28471.65716273045,-11157.464402319989,4465.010028423607,13199.030912750131,10875.524835738
-27677.278194573595,-49729.36248076427,-62180.923284028504,-57023.75502303706,-33804.285472432115,-8245.923392220138,-2627.0837407641925,-22115.677884542012,-49248.06663690326,-64283.75804751039,-61528.618358523796,-46259.47627296934,-25460.87354473136,-4233.0538336205655,12732.537334923934,19811.20581419104,13646.515530379831
-69867.07714410358,-80029.83181384733,-77850.95087335372,-59634.880335847854,-33351.08560353131,-18847.46581897327,-29466.735474869904,-55462.49110942408,-74996.01610636516,-76397.17892163414,-62578.48507825886,-41181.70312456778,-17666.406454947515,4355.176510327763,20212.189182016824,24025.958838867922,14323.404737816998
-91204.63084612116,-89009.94989185137,-75707.10031203293,-52673.067915150015,-32696.480659612174,-32194.605537047715,-52149.05359077189,-74530.14885764179,-82122.8158580963,-72741.69280311154,-53509.34332224792,-30843.975772020407,-7935.128702254584,12444.081383495071,25219.80014411037,24949.349394804372,12973.484499709542
-92164.08760971036,-81623.52609845907,-63472.4452850946,-42787.130591947855,-32755.888222355574,-42525.06871980409,-63609.769428790016,-77503.92208965603,-75041.37745772731,-60229.560239315135,-40317.16179400301,-19274.770111799535,1280.4319816166435,18545.68030062719,27063.86303276749,22874.71834758322,10365.278069796888
-81469.11982958934,-67191.54606084428,-49120.13462036223,-34089.61418054962,-32882.03369564764,-47452.753774365294,-64760.19128153707,-70311.61554141482,-61870.3737267206,-45778.428527101256,-27515.379341833705,-9015.704788286483,8650.140605148114,22120.70521157938,26060.91298896197,18933.24256233747,7466.811438592851
-67485.01724280087,-52566.11789513397,-37006.749014787296,-27953.53602492109,-32817.06401963656,-48196.169527372826,-60265.96852792343,-59665.39726055674,-48542.806033696106,-33181.54533854452,-17064.789508858004,-959.2159174881399,13855.044335090057,23375.59381644555,23146.251863902715,14447.31746184389,4988.569236421504
-54582.10140485957,-40572.78146976602,-28288.1081426874,-24374.82720364346,-32887.04503488985,-46957.94943935961,-54054.4933760251,-49426.54891297079,-37471.3478527444,-23409.65967358915,-9143.45900762364,5005.870829715088,17153.144968254193,22908.03747901412,19395.62165717605,10410.759545616977,3220.3768513723867
-43920.00605698811,-31530.796629704426,-22618.26880195289,-22887.435165249128,-33340.957326729746,-45108.091648486996,-47943.25702436691,-40777.149405018296,-28853.90754535313,-16059.868357409337,-3204.8511362633217,9359.262472384471,19014.762258422492,21413.18014488393,15677.836395142589,7299.948618432474,2128.5012504837064
-35299.874737920945,-24908.60454641452,-19276.75588539599,-22884.58901526657,-34051.26355009781,-43036.28753521511,-42335.74554898429,-33629.89596018659,-22128.823904233057,-10411.622356188664,1395.2824648332828,12610.671914227421,19925.089794208845,19497.45312702894,12505.84355701433,5164.970195991998,1540.9209141015774
-28281.38664163686,-20108.7525458728,-17571.547540602744,-23736.966084283842,-34667.84863098499,-40684.09184106864,-37144.43511829618,-27606.1409329967,-16696.567199981135,-5840.309859292623,5189.411114101495,15186.514518476006,20290.57252358099,17579.2418201825,10057.359565808458,3837.040218026323,1288.1890997044407
