t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
2289.7309254117413,737.2253091252488,1644.0628033443359,956.7198114950222,-1441.712441031506,-2059.6366874822143,-703.088025034731,983.4853669998655,565.2624901707477,153.80478045980465
2199.3671811253903,834.0828204954298,1546.1020466359707,741.017241499125,-1474.1415724922201,-1916.735803667084,-668.7365525078937,837.6581245660208,499.09066201173715,124.65142948965241
2388.9211163341865,861.0701944606278,1483.7377331461093,584.4980698149377,-1495.6600629909865,-1831.0284210632017,-639.0883335199148,767.7573752907374,470.61137896680356,103.21285006499261
2819.0898260634576,853.8946415315064,1423.2976017429282,471.02735057956227,-1536.7382847147583,-1813.4131738906183,-560.3251307089056,799.1610163060898,483.26767541557825,94.27634281032672
3435.454386849786,783.4583732188487,1367.6285010022893,411.4484282440531,-1613.527124122925,-1849.9997628162123,-373.7196095680031,933.7825739718893,536.4501092288447,100.77388763229946
4191.22236375503,584.5588667213592,1390.976416739281,457.38443093892585,-1714.4077399978355,-1899.4766929824943,-38.25730304882791,1150.907128705322,626.6081232882512,122.1064242619071
5044.112040583893,273.14451421168366,1637.7079881108582,687.8269038369581,-1798.9698956406746,-1904.5803718764075,448.31283811811954,1415.0812384341316,746.9361449376696,152.89580260157945
5925.933311091391,46.265870435609145,2249.33858247657,1162.8037238901206,-1815.4504181089962,-1815.186028639864,1041.5916843416808,1686.332693344324,884.9632515044593,183.0486543200605
6707.087555340729,224.04178975525565,3245.5136547256134,1866.7970522408943,-1728.6562200289904,-1610.9006155581278,1660.4874768709008,1927.2593873659855,1019.5676420749191,199.8693369668763
7192.100169873263,1019.3569933448417,4444.221469990636,2679.6351106612933,-1541.8716209108964,-1310.9623890514797,2209.191095254869,2105.1207173686485,1120.7761862173827,192.1031680734745
7170.62012315352,2304.268373024813,5496.740070702571,3397.890629072818,-1302.1963299563213,-969.2685657107443,2600.544147380416,2191.9408183715946,1155.2417896380884,154.4828851958112
6511.422562899153,3592.5427469589067,6040.850886059005,3802.414146895247,-1089.9455708983282,-660.7146000193351,2774.359447545318,2167.2875371183086,1096.9750950619205,90.49269276285352
5248.563384544156,4314.895621315597,5897.6981676528385,3748.7115223026276,-995.2399808509247,-462.960470030417,2710.585586415542,2025.1361838048028,938.6906536638394,11.575427985610819
3601.611471754562,4215.428017979557,5188.3726728155425,3242.333244576386,-1083.0311147972866,-432.6161436585803,2437.4045516858155,1781.0073409421357,697.3648292313837,-67.12565134442694
1907.7705673864211,3530.4760809600502,4264.72227983583,2450.4815739146866,-1356.5166778385546,-579.4005441476833,2029.5534146069351,1473.2554543838319,410.1890347728579,-132.3878894849972
498.37014959873255,2753.48618671648,3476.6093039346492,1623.1232350654464,-1743.338327013347,-852.9505342755353,1591.3091507126005,1155.1909011476266,122.48042146335533,-177.1023678397934
-415.5637999099277,2201.73852795002,2954.994641825796,962.2187100787904,-2124.0472195505486,-1157.1460839751076,1226.25502713188,880.3412201393827,-126.56041011406982,-201.3108404589672
-795.4290436585482,1818.1756268140286,2591.5322696119033,529.1235089764102,-2391.1251245862877,-1389.0717782724575,1005.9196409469441,687.2368584009788,-313.8756611016022,-210.24877433654763
-752.5092158376997,1359.6366949239546,2207.3513347207186,253.46819332285875,-2498.730491142658,-1479.947568653437,951.7944874402037,590.0937746479614,-435.02262243681633,-210.94421693334695
-477.18615650600225,705.273354443402,1734.5453331219267,22.325915672034835,-2469.717554931713,-1413.919941092565,1037.5815011988252,578.4319390156143,-499.795898524719,-209.1649965396556
-161.65688811935337,-25.64939830792104,1260.916974614486,-228.70044874732676,-2361.58952642171,-1218.4705332914186,1207.3693184650947,624.5573957191913,-524.4696795192816,-207.86428991079308
51.48945728529799,-581.8187742142044,941.6624211292883,-483.747298634517,-2222.3288988915438,-939.6340492714735,1398.9148446836816,694.9709109566103,-524.7503955125686,-207.34489042963182
85.34006941995926,-752.8107275951842,881.2402915769774,-677.1460758761116,-2066.8261715328026,-620.4243255202967,1561.9893717887362,760.8530652674805,-512.1878406922865,-206.5699589038253
-78.61656381085197,-477.09270523997685,1071.3874402202678,-747.5273926223109,-1882.2129506259269,-292.0191796396661,1666.9064847197249,803.8020692894768,-494.238321893086,-204.60818632707034
-411.5800483618129,140.17240779811056,1403.1322166074597,-675.9744711561202,-1649.0870074975771,24.3990149607466,1703.671216666269,815.6821473589109,-475.80011951204847,-201.27631235297406
-842.8752024409764,877.0073070311946,1723.879915903416,-492.0593666406532,-1360.33118333848,312.46262014373474,1675.4308446877508,794.7592910684622,-459.5640879616564,-196.67297231973646
-1267.2157492722986,1484.1373787290408,1901.3059367165606,-254.80146437472712,-1027.8448427755907,557.4764947325817,1590.837587744298,742.2248670195423,-444.5347124710623,-190.16998749797446
-1567.0033934815397,1779.8582010448552,1867.6508384474123,-25.79119017433061,-678.6779373412083,746.3977728939357,1459.0083050406763,661.9638797593509,-424.84959918872016,-179.9068599935414
-1649.9508656905741,1712.1993620754681,1634.2618942970446,150.7782892178821,-346.9654706959872,869.5544017629637,1288.5516886726757,562.6326838680563,-391.64974358604655,-163.46926738418034
-1483.8081394368521,1364.0266794009176,1277.932853240988,255.19540197246374,-66.10819531204072,922.7002566090022,1089.5510782531358,458.0913218046874,-338.19729241156585,-139.46370131181413
-1106.3804375622522,902.5083182163221,906.6543173114916,288.7933588182146,137.9117038303373,908.6817247161949,875.7003140639174,363.16918964300163,-265.0763405644349,-108.94112316102006
-605.5528036290938,498.65919155915066,617.0541687421876,266.17116625799383,251.76593554738298,837.9918408576556,663.9469249406266,286.19413271268456,-181.63279217687136,-75.71012891335154
-85.00294550510512,256.4711163771639,460.6942764731899,207.72942803016565,276.417985948586,727.2591581067818,470.98484718252223,223.5588895003236,-102.62681535912084,-45.371965205433675
362.33766452018654,186.7902840976512,435.2551541426421,132.84517159506993,223.01406221351004,595.5733841653918,308.6029969395083,160.9613730802321,-42.669378800481155,-23.673420133366616
662.6531950914793,235.13764111609825,503.1715476206682,52.011999400265495,104.88850033362166,460.5726554908417,181.40586079877954,81.15155007781853,-12.127897235090645,-14.93064760889712
758.1848001321091,337.39491726870483,621.4579773541491,-39.79903261590782,-67.93793512589325,337.4958455628945,89.36726050704212,-26.74838953019001,-16.236903523002027,-20.892139133869968
607.9878487437277,460.6370831842392,761.3305832950156,-160.6086917852403,-286.3375418801066,242.81174446387192,34.32260826406794,-162.07641404265598,-56.31664625853767,-40.00018232648717
202.88853018418837,608.5459457243921,913.4028096806954,-325.00839595892654,-533.925121089789,199.8222737015531,25.98603117774725,-314.02475471698796,-130.70988424024094,-66.99744609319885
-408.6618619566403,812.2133327108238,1092.7045746798976,-524.9422642326235,-783.1026180156517,239.86323957062305,81.9617382895955,-467.6964130484504,-233.92817461840917,-93.17676691322795
-1101.4637790059844,1131.5335130469796,1345.804706871565,-731.8184600513532,-1004.0916735031603,393.0792349202088,218.729690888493,-610.6280647305479,-354.49238077132907,-107.8621332935821
-1685.0031585944946,1638.1361337023384,1727.8440347280266,-930.1704347786123,-1183.3158154742573,668.8990499371176,436.1098507699655,-735.9899222742838,-473.5861801608534,-101.44949655757279
-1959.349734372193,2323.2034594899737,2223.4492631712133,-1151.7415885823257,-1333.0170595609366,1036.1702310017026,703.9542232136322,-840.8783892317492,-566.9171070099536,-69.38125410412923
-1801.9648056038,2980.135570264459,2670.2302665356083,-1454.900466451471,-1474.5417072674006,1419.5800785526644,962.5460877589844,-921.1364391207374,-610.7488126264129,-15.265459382453756
-1240.7362108916832,3252.1120690784514,2811.698898706568,-1840.9994272394379,-1601.9534003687434,1723.5189652357271,1142.6207280902881,-966.8469829483531,-590.3909006434649,49.01513896065134
-460.9318553091852,2919.7374661273407,2502.7436942552795,-2190.431040202368,-1661.668007517814,1875.1729727905893,1197.2152290321287,-963.1165329490434,-507.02733792006467,107.15125923135034
