t1,t2,t3,t4,t5,t6,t7,t8,t9
3574.7221382460752,1142.6935413814185,-93.83437392130139,-2912.174888687513,-3061.31680106708,-130.20046249453205,1256.1402677863832,826.7207223956985,125.04341624998101
3889.3741066118623,801.9633979500072,-348.8066701461691,-2925.908242098334,-2695.809249317806,167.505941052092,1308.3022911091784,786.3811131061418,100.23645231847394
4163.928263852002,509.7705178886265,-541.2756599726172,-2915.5711994567064,-2339.066025873701,430.96956774220416,1340.7607306688715,739.4421046289199,74.6737564929588
4402.085014882031,275.0919342137465,-684.706595193359,-2893.4331150365224,-1993.7710694811092,663.239666379806,1357.5598745734296,687.2704191455583,48.500407178327904
4608.495652479772,105.44529372465288,-796.0367714585745,-2868.761284347921,-1660.0317806903738,868.1671556226237,1362.1528803036138,630.5598738017584,21.667303835918247
4787.58371747508,5.804465625091183,-895.2507331764065,-2847.2974466064497,-1336.1793218256528,1049.8714410027242,1357.1875412448662,569.2717906934837,-6.047888316296868
4942.676634354157,-23.509627317730008,-1004.7619534792384,-2830.9940105126407,-1019.446180478921,1212.3977290238636,1344.3643921212552,502.62200941934327,-34.995546127453665
5075.229794207718,10.12630972589804,-1148.334456681506,-2817.9268874706354,-706.477660147376,1359.4924624991263,1324.3175866504062,429.11480248947254,-65.5842393378312
5183.944387323859,88.10551428575442,-1349.314557813869,-2802.338861089735,-393.70199249813453,1494.403724623636,1296.4778912351246,346.633559674129,-98.1861113608625
5263.7011531525,177.41495751372125,-1627.9942317705968,-2774.7921519882784,-77.64237046516386,1619.613179747187,1258.9010762785506,252.61578210175242,-133.01563041123694
5304.422740943313,229.1338173942656,-1997.9654900184453,-2722.4609624156587,244.69508284266487,1736.4261074694844,1208.088965452129,144.36639251523928,-169.97750779048667
5290.242514246105,180.50692169953638,-2461.43178537691,-2629.7248502822204,575.2002024319253,1844.3969327081418,1138.902589017165,19.59095950356829,-208.48218808362202
5199.699311705643,-37.02745542023496,-3003.8505887409497,-2479.419963704344,913.6950293584648,1940.6652587316437,1044.7642152410642,-122.76839708930578,-247.24433216402863
5007.989759880648,-481.8852328473006,-3589.222921481291,-2255.227956389552,1256.6788875652699,2019.4236611592894,918.428544595968,-281.3865677265803,-284.1179091722371
4692.276903460561,-1179.0825254596373,-4158.661246638393,-1945.489964643751,1596.100874511825,2071.892155359575,753.5819245419523,-451.285242694105,-316.07178109343124
4240.215990275722,-2095.726268527427,-4635.646345385693,-1548.054210191592,1918.7508979920715,2087.232924984631,547.2881505191075,-622.9129043221426,-339.4371200780977
3659.9901946439904,-3127.545493246339,-4940.210648409916,-1074.7513290279394,2206.951858661156,2054.6686425217877,302.80401431283457,-782.2722234051909,-350.51311761167244
