t1,t2,t3,t4,t5,t6,t7
-707.0835693809005,485.39379756112385,557.4841530961008,369.9444864414561,-5.661695518314218,-91.09679230052147,-292.6903252992949
-724.1018803551488,539.6665351434999,613.6212513410331,358.749892552001,-41.244270946770285,-118.19964781074613,-301.29697714497416
-727.793681386279,574.8309102824335,659.6270202926668,331.9146349458986,-79.73341494903815,-144.58725585070957,-308.3110403821342
-714.6659059663093,582.1196424698128,688.3694204977724,289.53694461281697,-118.20843898086792,-169.0508259268196,-313.6054437060881
-682.0806375551161,556.146150269658,694.3205504852846,233.95837001183503,-153.51101098991734,-190.39375377647045,-317.1006723585041
-628.766187458959,496.856663328001,674.883025697752,169.62629797357522,-182.60035509650794,-207.54347912554533,-318.78512520529955
-555.2660738275722,410.32164746203523,631.2075401914639,102.53046069876922,-202.91098634639707,-219.6692636671883,-318.7258111827393
-464.2030999163732,307.9307520566957,568.2166727702338,39.29887609623684,-212.65990754194772,-226.28802636636635,-317.0651037071217
-360.24999643577644,204.06693314005,493.75997371025096,-13.86846132379091,-211.05644767856177,-227.33854677734908,-314.00232246413674
-249.7509479387733,112.87927815890389,417.08192845214984,-52.20064746246857,-198.38367193780132,-223.20731239713228,-309.76269623349145
-140.01816917340662,45.119256832865986,346.99586507240826,-73.07660815058776,-175.9423452495989,-214.69696818292215,-304.5596050566484
-38.410726119429754,5.994216156823171,290.2435594811344,-76.32189688784251,-145.87188715178644,-202.9390360741673,-298.5578194916164
48.63825660927914,-5.375530454068198,250.45002605499036,-64.04596845658571,-110.8823670302398,-189.26346493247024,-291.845175966687
116.46460005941334,5.125299792277602,227.88537847620128,-40.094947749540665,-73.94322397045372,-175.045630105852,-284.41790928239016
162.73717909967363,28.810126078888146,219.99774008329456,-9.275418009151224,-37.97613544181644,-161.55454264491448,-276.18151063053006
187.66099819891534,56.725202696662265,222.4724138747493,23.464718288733025,-5.5919827871015855,-149.82383197825288,-266.9655975291213
193.81550529376403,81.7537219100395,230.46737750336246,53.73333653278006,21.101962544921378,-140.56081259957216,-256.5488402456574
185.69087840065643,99.80295160224101,239.69125854661706,78.16233662027597,40.61463213817892,-134.10095913245215,-244.68898752905932
169.02487147980293,109.96177574866962,247.09927644469028,94.61240041911775,52.1079692412781,-130.407754928123,-231.15340094334226
150.05360142538518,113.83457190933018,251.131321535427,102.1434307151724,55.37227069050083,-129.1126590550819,-215.7467352478296
134.77869008950753,114.42842077337069,251.5502293253707,100.82059918834868,50.75855173458382,-129.5871348199732,-198.33383047156343
128.3314263570477,114.98230869773474,249.02222996230253,91.43928170088687,39.08545219072845,-131.03756482149277,-178.85697560205736
134.49088111207993,118.02714223772752,244.60596824655204,75.24259457504853,21.533901027775073,-132.61332760459305,-157.3472310124941
