t1,t2,t3,t4,t5,t6,t7,t8
757.035868799618,-3071.8588165997558,-1245.352914109465,1078.219482026866,1148.6920667298798,51.12558381768147,-531.4505461202145,-189.1288011251997
509.9323731297276,-2894.2117230636536,-962.0232694643134,1154.9028909581923,1083.4259281470627,-50.40750579155261,-540.1408216299044,-171.46183191176115
333.11075030217916,-2634.7625894646985,-696.1885486940205,1198.1467289037678,1008.3976773030556,-135.49413599717866,-528.8036592969959,-151.02318813642867
227.1998495569112,-2338.2583645886434,-464.10737854411906,1210.5113458213546,929.023302188389,-200.11516905599044,-500.99412787414406,-129.6957801242074
180.9895777661572,-2048.119408013151,-275.01873671759154,1196.8635991941783,850.4290356748871,-242.82597535724864,-461.7822873418967,-109.26043991712011
174.3297275396778,-1797.094905715109,-130.41662300503998,1163.6064390371591,776.8741463401057,-264.74953438533794,-416.8624207612038,-91.18622864946151
182.7425366092116,-1601.901670190201,-25.104935888908727,1117.7493516178665,711.393721935172,-269.13828668266393,-371.69124129631444,-76.50829781022321
182.47647376977528,-1462.9049117593115,50.43620322572421,1065.9923228867797,655.6650592294808,-260.6796497009007,-330.8191824873399,-65.79191872863021
154.86854188806115,-1368.0737088806675,107.15786636675404,1013.9677046165579,610.045033441344,-244.72734173034894,-297.4804023634717,-59.15959998964699
89.28806816920105,-1299.2102834457155,154.83190808712607,965.7340444959768,573.7144146091761,-226.5834701778031,-273.4247408999592,-56.35232418998776
-15.639277095426323,-1238.1805828247416,200.30384316354144,923.5617265865246,544.8906026656797,-210.88496335402115,-258.9377013097883,-56.80324504422071
-152.52061899531537,-1171.4370433575332,246.840054516849,888.003423647377,521.1050686761131,-201.10687530188846,-252.9995687212659,-59.71486723945748
-307.19261692920344,-1092.088581171824,294.46752317112066,858.2055446194194,499.5571789640032,-199.1981932336996,-253.55706464462583,-64.14071982283912
-461.8501235819242,-999.6818747999889,340.983029034775,832.3882587951894,477.5394299029919,-205.3934515266453,-257.89349881042517,-69.07532019611207
-598.7466743217853,-898.4323116322486,383.22854425054214,808.4010289952452,452.8901457078016,-218.26042265553227,-263.07362000763476,-73.55204309406155
-703.7538838053047,-794.8222549588343,418.2687594192674,784.2522821590989,424.3929753170391,-235.02405667957586,-266.4136106941882,-76.74109917556032
-769.0454236913793,-695.3588922129057,444.2200866149684,758.5227715578674,392.0318262606077,-252.14843103543197,-265.90304704492604,-78.03395014715313
-794.3512580444119,-604.9973927102295,460.6219351136448,730.6057838174568,357.03395590778075,-266.085064503934,-260.50157158232037,-77.09952025114444
-786.5849022008953,-526.4147303291594,468.374994201521,700.7681557548921,321.682237776393,-274.04063051875323,-250.25510020832547,-73.9021844232309
-758.063089107128,-460.048476168928,469.3748809282467,670.0787668500585,288.9277016151228,-274.6040929083623,-236.21769777035803,-68.67979347720615
-723.864060128695,-404.63323377973245,466.03050398885347,640.2853093614516,261.8649881098226,-268.1065052628649,-220.21018614162483,-61.88861402146655
-699.0035652475394,-357.8857025030064,460.8695001634271,613.7183800887624,243.13978260972678,-256.650738793159,-204.47919784725954,-54.12790601214402
-696.0313945702097,-317.0042306092053,456.3962806020792,593.2580864416676,234.34834690904864,-243.81896931523488,-191.33165601340704,-46.05828391283869
-723.4309506025495,-278.75500302819745,455.28134834651064,582.3221935431735,235.48376375227775,-234.1222568233284,-182.80977580605352,-38.325248469514925
-784.9396334501901,-239.11052290699587,460.8272476487379,584.7528302345225,244.49685200774545,-232.2895998444714,-180.4480551471251,-31.49407040078157
-879.6833901010522,-192.6704967087826,477.49316165309153,604.4305530082063,257.0728517453653,-242.50532357070836,-185.12634531736953,-25.996904275636762
-1002.8777434398139,-132.372736581384,511.10974225111767,644.4739335564911,266.7598332854826,-267.701297784169,-197.010254278348,-22.08965594450418
-1146.7933740266153,-50.16331919152715,568.3565410911549,706.0207498625688,265.58842086159854,-309.0011633507115,-215.55624484733974,-19.815839344007408
-1301.7000930811416,60.84952631903236,655.205711680258,786.8262492859976,245.26003983107736,-365.3992673708337,-239.5545311093256,-18.977418181109744
-1456.5717472899364,202.84264967459083,774.4241569247212,880.1848072094278,198.83535618540165,-433.73402751529915,-267.1867742181997,-19.11739312851947
-1599.4472903123494,369.4292448656065,922.8203239938019,974.8466647580082,122.64636707355095,-508.9792523287249,-296.0856458960299,-19.523887773066953
-1717.4934289682906,543.6047003310438,1089.4836897415382,1056.4988176761171,17.952194573685162,-584.8268919493503,-323.3977737111342,-19.26851973958855
-1796.983255158137,699.7585857479323,1256.4059789800187,1110.913626690794,-108.2393169130389,-654.4782718278657,-345.86822709464803,-17.290692437682544
-1823.5487260894438,810.7139352469027,1402.2503408969524,1128.1209614000381,-243.66243131230337,-711.5135234764072,-359.97957502250796,-12.532399984223733
-1783.1117638637115,858.0509310362118,1508.652111435826,1106.2296740882193,-372.75044625009735,-750.6885795749953,-362.1849167472502,-4.1148927792737755
-1663.7734494037204,841.1821097458427,1566.8424636973718,1053.2355244684748,-479.74048922368183,-768.5271569167705,-349.26377163558743,8.468735810192701
-1458.6088908109461,779.8205267566449,1581.531086166398,985.619974150729,-552.1614050866065,-763.6288085412403,-318.7964160269857,25.187059096344672
-1168.836495415796,706.9880063254517,1569.660722021299,923.7253781997953,-583.7170867442036,-736.6850916378662,-269.69890530419656,45.37930237704638
-806.3805785513508,654.7824640344397,1553.8507270896048,885.3102340239292,-575.7025073886597,-690.2577719577224,-202.70340204318595,67.78096755626407
-394.670489678074,639.7955261886312,1553.049082202877,879.6339954157909,-536.5383687807566,-628.4042435206113,-120.63318565513897,90.68145825607846
33.19046345091675,656.0282673619472,1574.5636290916111,904.3520228471026,-479.6111846266132,-556.230487583419,-28.33520300643002,112.19164817792874
438.99884287677344,679.2934172394596,1611.166838038244,946.3872531604464,-420.11981257639405,-479.4235535597551,67.79480963170002,130.56352825412517
785.916547979968,680.6505746709113,1644.5304093100494,986.3153116266868,-371.86518983521086,-403.7857094578696,160.6463767373631,144.48488354565328
1045.2176141323253,641.4947979034221,1653.1989412158227,1004.4458022618339,-344.8171801982844,-334.7784338991712,243.42670010702952,153.27841031397602
1201.5086301103422,562.5096081665423,1621.326493069319,986.312128982954,-343.9340952314159,-277.0892418255034,310.6652006620662,156.96448554144828
1255.0743596868988,462.66772327155286,1544.4249805443903,925.8107246901129,-369.26562434069604,-234.2473918743184,358.9720140115018,156.18718953012063
1220.89657589156,369.9607355663611,1430.151843648444,825.3826378137261,-417.0079772777482,-208.32190483453803,387.40617541524057,152.03779115693618
1124.832918648596,309.2507523685067,1294.5561464705888,693.8059449537972,-481.0036406764703,-199.7308583762364,397.4135948709078,145.82727799303717
998.0818304444963,292.95276354774836,1155.9711228261158,542.8742655899357,-554.2001693659619,-207.17966257520584,392.38869038940203,138.85800031185468
871.2672983056451,317.8305084336201,1029.2259838849493,384.2961738146455,-629.7445335016712,-227.7379426846829,376.97211598121436,132.23099519343666
769.3287811456692,367.93659081481803,922.1518645526457,227.7010606473479,-701.6019404142542,-257.06429150493875,356.21996324413897,126.70976661499331
708.0595417186547,421.3747568436857,835.0748159818096,79.98962892173952,-764.768635035836,-289.78895156610224,334.7813893997053,122.64973643205715
692.7272276904805,457.8047632809862,762.7885555490753,-54.275771881571735,-815.247425065399,-320.0529613095227,316.21389753397517,119.99596441491428
718.7889957911277,464.1721085611142,697.8010284918482,-172.0114835714183,-849.9628748978375,-342.1693981530883,302.54792496983623,118.34659185003751
774.309640682409,437.3308963440371,633.5419174891189,-270.82801196336084,-866.7332688311249,-351.32374155865625,294.1751466177484,117.07210032495652
843.3666581017734,383.4318457251082,566.5553219846864,-348.64651374978905,-864.3288395320596,-344.1875379021839,290.07198110216734,115.47035636745201
909.5756953390035,314.84681443954355,497.2442805011926,-403.7700581787452,-842.5706032856028,-319.30950958554365,288.29080285983554,112.92786924143881
958.963143702892,245.8986411574341,429.2646927517005,-435.2525730575185,-802.3878632627275,-277.1875306341386,286.58200542400505,109.05384579657668
981.7292483903643,188.7638899179692,368.04184561590785,-443.3161425117167,-745.7614127988036,-220.0074030768143,282.97986953415335,103.75903731093833
972.8617103896443,150.66131443229685,319.03981760762827,-429.5923801833234,-675.5222782495654,-151.13113829511414,276.21028486136373,97.26554373815495
931.9062339856316,132.92701817910734,286.3570308800562,-397.06608722453154,-595.0317040224953,-74.4890115881841,265.8505129740387,90.0519777771252
862.3481083391661,131.96691633309317,272.0043081457538,-349.72744828541215,-507.8165008455262,5.955323516797371,252.26038519516575,82.75400362646224
770.9822718816847,141.5507605445253,275.9285565126386,-292.0492092507458,-417.2605493129112,86.54694276060404,236.37363692504985,76.04779560877945
667.4261914759461,155.60214242755453,296.5682652125685,-228.47067785035546,-326.450418969233,164.06368254360203,219.46161756845282,70.54166209628978
563.6875762610448,170.57680617801455,331.55106004421657,-163.0775053296471,-238.2369939570173,235.69635218399623,202.95589728745995,66.69141833180535
473.5465415647179,186.65913030646703,378.132110353866,-99.60879861605098,-155.5057675987708,299.0206240863344,188.35944048918154,64.74324761011272
411.4983772275592,207.3002746220148,433.15126273631193,-41.80222371297809,-81.5551334573708,352.0899467665233,177.2168839112097,64.69912437678124
391.11632542690666,237.09659353399803,492.6186346362698,6.077944589723447,-20.390071970507364,393.7037110312067,171.07862175409738,66.29767504848954
422.88688400367676,278.7020210759919,551.3947373452453,38.84539967609817,23.30874224972051,423.789716928502,171.3932365410981,69.00776015201167
511.7906977658997,330.2468541233468,603.6012574036687,50.51803519620109,44.73577180389003,443.73475846349316,179.295195772962,72.04029295751366
655.1043999811917,385.1265974624687,644.173902539978,35.25565502100531,40.06603418394643,456.4536549419626,195.30529381888763,74.39130776200228
841.0373293268638,435.3663994096785,671.3021607979388,-10.906234654284887,7.901274035568555,466.0363410829399,219.01142991273778,74.93126971964216
1048.8350533873024,477.77978455430116,688.6513590082318,-87.97830084091717,-49.402626334218006,476.9485800147336,248.8300948248796,72.54871483859775
1250.8146691921916,519.5993779129296,705.7728214400113,-190.42109469085634,-125.10261400766728,492.9390125221043,281.9527347223234,66.34016918716249
1416.4046170962426,579.0103160564348,735.519884247481,-306.92906788391906,-208.5891081488303,515.9534764245434,314.5512161252912,55.81671135169257
1517.679792732726,677.8280063771525,788.6980598932001,-422.11573281153886,-287.1604140512737,545.4095415063765,342.2563826587236,41.0783433042604
1535.2616947057745,828.3144708828629,867.9617527136668,-519.8706556376516,-348.6656798416131,578.1055501524382,360.8460290896242,22.90021654957415
1463.0418664227072,1021.0291520245925,964.0027996056228,-587.3613502934471,-384.2309280351585,608.8468055444629,367.00522184082973,2.6870529447295395
1310.2358100233498,1221.756250663365,1056.4589443522068,-618.2359204752563,-390.17381019674013,631.6346507478046,358.97865147762064,-17.71589500523025
1099.8925748739566,1381.1503928983723,1119.7847142993774,-613.822225582823,-368.47837961034725,641.0740499231897,336.942425119276,-36.32427320469105
864.0300561353946,1453.2095070812297,1131.7636639366597,-581.9417187256173,-325.7381316991156,633.5881853222126,302.98652368008055,-51.35975951161514
636.6598347526754,1413.2168533729446,1080.9615102488287,-533.946513682941,-271.0366312567494,608.1096596476292,260.70260092697526,-61.55348070288583
446.6568784854401,1266.260334558584,970.0549652291052,-481.2352426140003,-213.56192386653277,566.1092914542415,214.4807510060324,-66.3341841908322
312.42292924990466,1043.231486538166,814.1368734288023,-432.51261973610696,-160.71693826148595,511.0433459954072,168.69508467627415,-65.86363059367484
239.60483435623067,787.9885529657826,635.4065506013537,-392.51475766461493,-117.15870563617845,447.4623472823951,126.97588989669757,-60.927153204624375
222.07480762429378,542.7972500868233,456.84203807535823,-362.1956094622664,-84.7747461075863,380.07812417594965,91.72380048706349,-52.72496292596696
245.39651870524534,338.0386280822476,297.1683934907314,-339.84734307151626,-63.29184587654401,313.0316272855923,63.93935993859435,-42.627632908338434
291.4320454240536,188.47907738550063,168.2476168179741,-322.4901429412863,-51.11327017776382,249.48582969286716,43.351504494034536,-31.955095596670887
342.70402059694516,94.99019531930705,74.79425789279918,-307.04356306166267,-46.06700157089881,191.54350746415867,28.759301796770707,-21.818878452343384
385.5051260292942,49.0735882412272,15.632630333382085,-291.0782684030263,-45.91439867979631,140.4028342081413,18.46794495466704,-13.04242011071208
411.31724659217286,37.77006107311846,-14.382505077243394,-273.1672078426738,-48.61330240946831,96.63038388451321,10.70279406610082,-6.15293382822005
416.6458492992199,47.55926297454025,-22.41480180646066,-252.94483058748932,-52.403639202190114,60.4420000239538,3.914645989849201,-1.424872603637354
401.75284986141924,66.84674887916012,-15.99425477434546,-230.97555574770374,-55.794286239000186,31.915920094465356,-3.067047498013654,1.0501986234171938
368.93499279849533,87.22903208958174,-1.7799982284629188,-208.4950931905958,-57.5105931407078,11.100424230833045,-11.029567539865585,1.2916858240976512
320.95915843394107,103.92041366468729,15.251954162762797,-187.06670732519112,-56.4407195955138,-1.989643930882945,-20.47646637184852,-0.6243293205489926
260.0791937957873,115.6575604810111,32.223243531744046,-168.19913275291051,-51.605785216233926,-7.467764518216665,-31.759783836398597,-4.589377728775139
187.78813787074975,124.23056193351852,48.40623314219663,-152.98947460468366,-42.16963009687985,-5.7210921700824,-45.168448720814716,-10.453764879010441
105.18593174892808,133.661308247373,64.95509197523253,-141.86328135984138,-27.491625282600143,2.45197307866367,-60.9183399337197,-17.991775134451423
13.648585347442548,149.04346101617824,84.36089370025184,-134.47126821870103,-7.208278529963668,15.778732199901635,-79.0355199089727,-26.857277948697167
-84.56962568651892,175.16782065502008,109.69112245329521,-129.76427864770392,18.689194472505626,32.58173501215582,-99.1800041207742,-36.55112600164718
-186.0740828859631,215.19550472059788,143.7015793768547,-126.21298383895046,49.8251747304618,51.00667076764197,-120.49979475823228,-46.41993409298651
-286.48703268683926,269.69721222573753,187.9546553534151,-122.0865615092271,85.49661489387898,69.38004846956498,-141.61082510055206,-55.696654029243966
-380.9033182753848,336.2945122309744,242.13765738229904,-115.68323680145139,124.82982243924644,86.60616676978104,-160.75819618435514,-63.57939797432345
-464.4090230253904,409.96672189937357,303.81846756561833,-105.43821489048216,167.00736551281702,102.46873073736981,-176.13992428770692,-69.33130114640556
-532.4419831633843,483.9414349006427,368.84280993323677,-89.91928380144043,211.48984243289723,117.70370789285926,-186.29838005012553,-72.37629582095931
-580.8945815520876,551.0456109167675,432.4055786553487,-67.81641708123297,258.132693128576,133.7713668203069,-190.44394239481326,-72.3666799375461
-606.0143177815113,605.4002528401579,490.52184129702636,-38.070494081557754,307.11794225628404,152.36476215451518,-188.59278607243664,-69.20767765032915
-604.2647936311422,644.2371690594744,541.3129720476416,-0.21474382964163752,358.6910059396032,174.80712547548126,-181.4707371612557,-63.037779224581065
-572.3226808497561,669.3308821230539,585.4418998699824,45.163341843979204,412.78941227525416,201.55476762331915,-170.22588888169508,-54.176210659669735
-507.31440303344533,687.2734521553876,625.351030866724,96.09036587284189,468.7227890152566,231.99342656909477,-156.06252660941547,-43.05635111312058
-407.29203064105286,707.9698354977282,663.5883453281361,149.2749997043036,525.0608388274535,264.5966576410201,-139.92840205164572,-30.164878355505856
-271.8693404970677,741.4886052519283,701.0638699080155,200.66541039348795,579.7937896734912,297.35781272502953,-122.35336199760971,-16.001838594588847
-102.91133342806401,794.3905972525954,736.1270788753801,246.29731803858448,630.690076566095,328.2913860924568,-103.47145936370173,-1.0686695884898048
94.82839243133685,867.0955057175187,764.8080683573079,283.0332821860198,675.6695903850693,355.78541822241215,-83.19286375066416,14.11868482184688
313.2446829063513,953.269940604084,781.8312936218383,308.84313478624915,713.0068044877194,378.67963503727674,-61.45078625157915,29.0042314947921
540.7712099997011,1041.05912546614,781.6835304767557,322.5630355623294,741.2846131273532,396.09105080371114,-38.43983675621931,42.97374497707414
762.8595134071356,1115.2433364976866,759.3322091663595,323.40354938459467,759.1739737045706,407.1307904575673,-14.778238357492608,55.36468694272194
963.2474657259636,1159.6415744557812,710.7861849435262,310.62289064537504,765.2223076541027,410.6939653164899,8.446009921323032,65.51697752554729
1126.02086239668,1159.8104993334262,633.9535406556058,283.64421396932636,757.8313982930462,405.45008516363043,29.75551040650244,72.86115845091865
1238.1416540842913,1106.2839309351957,529.905003256037,242.58139086695635,735.4994000349485,390.0543246385727,47.47374504612401,77.02185810721598
1291.8045601374229,997.8831846454119,404.0163811086063,188.8616892062725,697.2583236498378,363.4988608381368,59.98524043680216,77.90244793380522
1285.886343042664,843.6996097714047,266.13502537793977,125.5608744060728,643.1382385079434,325.4726956669414,66.00910350852214,75.7186701962935
1225.9752838191541,662.26622020377,129.22181019463113,57.21177933752064,574.4773062258352,276.6087084063307,64.82510048210796,70.96546579510763
1122.9399871706069,477.5396151029411,6.6705828528131335,-10.900792069211327,493.96352111453865,218.54884731002278,56.40313599665307,64.32508973480381
