t1,t2,t3,t4,t5,t6,t7
1529.0003784901492,-444.7126213871504,-967.2298297438232,-65.31122894305179,408.8573958571791,221.98175605403998,3.223427738221293
1546.0747306669034,-505.5382389502325,-950.0070066805082,-1.260353446443439,421.6355325098874,209.77699564574522,-4.751097333930992
1557.2939647282296,-575.9487701532968,-930.3525611615173,60.90673801730391,432.3615238857105,195.75099863832025,-13.2858426685882
1561.5468534594634,-656.678747855493,-907.4417329471904,121.30497161716896,441.04798180303123,179.60380855382184,-22.396355547819905
1557.1752735823457,-747.7978385380363,-880.3058242085052,180.01017801585874,447.5824169810026,161.00601711141152,-32.06151975550594
1542.0463740841963,-848.5006572293576,-847.8516747374043,237.02535769025567,451.7193585518401,139.63747983400683,-42.20859956562301
1513.7151506413668,-956.884569043577,-808.9060337099428,292.2449970020249,453.0874284909929,115.24099883011964,-52.69962104504804
1469.6924547513638,-1069.7571054923153,-762.2971790416475,345.42335244997525,451.2162165403318,87.6881742564098,-63.32217026733799
1407.8163171034955,-1182.5383802081876,-706.9801803219275,396.15432609277036,445.58585928647454,57.05028302617623,-73.78811382217197
1326.697517012144,-1289.337428456677,-642.2013538975439,443.8705891991133,435.6985591453763,23.662558205127453,-83.74335795272265
1226.1780092803263,-1383.2731171186938,-567.6838630596847,487.86752311282487,421.16619856316834,-11.832934488007496,-92.7903252555337
1107.7122623385094,-1457.0727726401694,-483.8037339528809,527.3534599543597,401.8026820428712,-48.480850611658624,-100.52241099287345
974.568815596122,-1503.9169426302767,-391.7179771296537,561.5224035719193,377.70522246786385,-85.05363395236307,-106.56674600965243
831.7631823620677,-1518.4206595104574,-293.4073978117698,589.640195393598,349.30722695725996,-120.14297332224491,-110.6289344278692
685.6776430886824,-1497.5738300301612,-191.6073759284357,611.131426635887,317.38805009815957,-152.29352386426288,-112.53194955775918
543.3916709254712,-1441.432032554486,-89.61902855011658,625.6534425166495,283.0318903952125,-180.15984219267048,-112.24172678669461
411.8208949455736,-1353.372621785927,8.983192784130992,633.1459529433015,247.53824056984152,-202.66008648970728,-109.87431794439931
296.8189919066571,-1239.8117813738406,100.70881460470967,633.8495358237147,212.29696108698593,-219.09891114082689,-105.68323961922114
202.4152730495434,-1109.3982706930944,182.51904806428396,628.2923615436232,178.6490597889388,-229.23799685281148,-100.0298104720841
130.33276554591322,-971.8255596465663,252.14553215741276,617.2500727828783,147.7570368335836,-233.3042401808554,-93.34262430841902
79.86558540720493,-836.4975698256386,308.3085154488683,601.6874253166084,120.505229210591,-231.9392648232662,-86.07391821417936
48.112286730445376,-711.3151808459098,350.80157375546275,582.6912543838507,97.44209745747636,-226.10544167474777,-78.66013881935886
30.490108903831057,-601.8118981611001,380.43507919602575,561.4027517055963,78.76570935953109,-216.96977012319672,-71.4918312570287
21.413734179912367,-510.77176932318605,398.8560986240939,538.9539218220432,64.3443262501343,-205.78661393425287,-64.89491677898228
15.017655941764502,-438.342295154197,408.282352945742,516.4098427308855,53.75885456592914,-193.79457439839894,-59.12248429401682
5.825462483874901,-382.54626277356306,411.1983561343566,494.7162636559043,46.3541533824323,-182.1345557912298,-54.35420524062177
-10.69448571949772,-340.02754821060535,410.0617729411274,474.6518259861038,41.290914786130806,-171.78858961800105,-50.69978091902098
-37.71603907921099,-306.84879312035804,407.05908175684937,456.7856851478733,37.59660094293079,-163.53467067849445,-48.20337414134783
-76.7965088383211,-279.18762022985163,403.93533745863783,441.4437134142482,34.21970068565788,-157.9125706183669,-46.847335738132244
-127.77964215793777,-253.83482947774655,401.90719784100577,428.6885581132493,30.093912104139278,-155.198522677294,-46.55512327700867
-188.8686394091041,-228.46145874592406,401.65466079311597,418.3194707320311,24.216767718405215,-155.39087475387228,-47.19457561024751
