t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14
5556.48171125721,-24047.776109320366,402.0841783230818,20847.235673261293,22859.583462572868,19725.59636030818,12216.638336091544,-2011.51329259942,-11885.878984698473,-12284.446684931343,-6284.961422771996,2096.206506191687,3208.780932864467,386.3949119537913
9697.315731652257,-16451.349183143866,206.63284619613756,17131.73092834101,19726.691190538484,18463.880807812322,12791.996942716305,-1223.0448907733917,-11106.183754446256,-10518.465819953184,-2518.831850945975,4777.2802231591595,2880.1347776714365,-34.632088995722256
4067.759939745482,-4385.663162239052,4927.194761351927,14687.746784871333,16565.843435678373,16770.15265291909,11892.297300532444,-1933.729828974127,-10645.262174025896,-8744.5326450217,-42.13967849819571,4985.8744186164395,1518.297997392352,-540.2346557100901
-3164.667920781713,-1587.2726880323908,11400.268995646053,17083.55623408738,16699.25560317838,16032.998108476237,9006.388993276609,-4996.123274087622,-11419.13367556121,-8621.59653387641,-460.73547304616943,3531.8444354501016,597.7302519518346,-694.0705514284184
-2040.860650118866,-13546.932145570592,11094.435616960141,21524.87165377339,19845.81216413419,16309.910204550486,5180.888588070782,-8907.437493389421,-12941.939689255141,-9948.10455240023,-2135.293385223712,2778.8246613965284,878.4465041331671,-431.2353525248129
6099.997538484392,-24215.758872585502,3401.8387451500025,21108.957735428416,21028.170674490648,15571.545485674002,1783.4992096427823,-11345.372421262922,-13622.492798217385,-10608.800351708252,-2366.5124674710455,3356.942960750646,1579.5115797326143,-69.49465084183612
11505.878019343203,-20211.063918215707,-2012.145867313418,15688.477945731422,17858.752879709522,12978.199550637237,-143.70048434555216,-11067.4237805792,-12234.936646122493,-8977.120628932464,-814.0737580893932,3706.2586732323516,1614.1754497777547,93.08509023799365
9140.841748032624,-8838.313689904653,-589.9718510885749,10550.76433801631,13071.264008450915,9827.009873374847,-673.8050367761539,-8901.445847394143,-9240.712398012292,-5802.806145258828,518.8726152778108,2623.781428741371,902.7804761673726,46.69017857674942
3964.2839686083958,-1885.3239395024573,3559.9073672502227,8564.279255658388,9922.213222253977,7505.889922627287,-890.0370016876943,-6872.850040331791,-6427.967543508888,-3295.921348764308,198.58640522089382,876.5308345095758,221.49438463521312,-22.922760702816703
3966.879615265451,-1835.978242113704,6682.4231814420245,9458.314595603691,9576.181990012292,6599.275035751221,-1642.7977121821461,-6416.089835784104,-5300.879751616865,-2774.162369700303,-926.5776358334069,118.80306329959001,221.3945372386887,40.757176823788484
11056.703178637754,-6328.828898403466,7926.724063435548,12134.49979136357,11601.183090351049,7061.586748871803,-2841.185348746858,-7429.6689771553665,-5930.0560388919075,-3561.9089732866464,-947.1376222335356,982.153276752353,845.157360983227,248.05473507771634
19703.684058824554,-12142.606081614824,6760.316546809295,14717.5159060066,14301.771259122848,8081.02379905555,-3940.8990161014967,-8791.382040102177,-7219.375157123455,-3979.8998686888585,831.5753551484809,2549.6513987678013,1531.4519097526554,493.4259520282075
23362.329111199164,-14865.40285840968,3882.7339278248146,15233.001185038556,15478.148785041529,8354.455669793148,-4703.198067558876,-9532.422891253871,-8007.383636572513,-3102.5300609136243,3180.9580107734214,3471.7792862495407,1805.977812758101,661.2236458463842
20637.446563078258,-11956.263768456865,2039.3180155547361,13416.659209822064,14151.14600264877,7078.122755800281,-5324.634005055362,-9426.887640996296,-7825.439254453141,-1548.3232077812227,4346.381138840718,3267.2598818473434,1634.564068389021,704.4726941846093
15488.282058502316,-6103.316772020422,2702.708462008411,10871.48185984769,11411.157223428163,4634.266395704184,-5941.600584307819,-8668.756941700236,-6993.783041250702,-796.887809501145,3786.702868078008,2516.28773239008,1298.3216408515252,640.2461402643376
13182.497445896002,-3042.3749765107245,4462.990219799523,9661.69828478397,9238.940208596392,2169.5874931548065,-6324.498779132248,-7556.3447644219705,-6506.165594493335,-1763.9748783456903,2562.511056839863,2138.772504071174,1082.3446857092895,508.70456760227296
