t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
-1955.1459395603129,-1481.865443904254,-988.349826609522,-661.8158132959404,-722.0188563354674,-1107.4125663308328,-1384.1454732423092,-1192.3571811031802,-654.734906535792,-169.66139625269943
-2044.772293218702,-1468.1420719471914,-952.16954924355,-734.2653418402393,-997.5721804202336,-1521.7229126429584,-1748.0977017233888,-1387.0003491708403,-714.6472447827992,-178.8946498071882
-2105.5707162121207,-1448.5313392003218,-959.9452470817616,-915.0895395910852,-1411.5277378370356,-2031.8874378104547,-2131.633945070324,-1561.2110616117159,-758.8459658123454,-185.76617243152253
-2124.3781256220764,-1428.6625726437785,-1035.2005639226268,-1232.0596986249268,-1971.860273950601,-2618.352374055539,-2509.157867757231,-1703.2353541087332,-786.919217302434,-191.67804666551564
-2092.519058570028,-1421.749535102497,-1206.7206741382001,-1708.1580223321077,-2670.6418222223733,-3245.9090743492184,-2849.3538815453494,-1802.05401653892,-799.5138094711651,-198.23408333403128
-2009.3488334140045,-1448.5913753131235,-1503.718210139966,-2353.220189277539,-3477.965425217681,-3864.115274700019,-3118.53646023245,-1849.123080302061,-798.546879140719,-207.13937098294355
-1884.8638219854413,-1535.286853557413,-1948.5168074384148,-3155.2812857434906,-4338.957289321755,-4411.383522869807,-3285.3240589099923,-1839.966494199823,-787.2191404951714,-220.03596376840707
-1740.165903660425,-1708.3092276841971,-2547.863716832696,-4074.097473685931,-5175.897771225834,-4822.76497903147,-3325.8276672481875,-1775.280237795267,-769.8024058952914,-238.2883137337647
-1604.9353126776048,-1987.4967973606365,-3285.042587657899,-5039.610656543285,-5896.490922886078,-5040.303833656419,-3228.2221001406547,-1661.270194936994,-751.2141233580135,-262.74812490236457
-1511.9093503721479,-2378.5448727910425,-4115.53427338231,-5957.392738026341,-6407.590009648025,-5023.77094825807,-2995.548215749951,-1509.0946753785518,-736.4360099810248,-293.54242578986396
-1489.4576841992239,-2867.294530001922,-4968.606556561347,-6721.307716665815,-6631.724522060784,-4759.066014959962,-2645.9389376392805,-1333.480618483861,-729.8712535300244,-329.9352306077946
-1554.25350941439,-3418.0629463548294,-5755.763922520699,-7231.25094499948,-6522.373100050031,-4261.923963793377,-2210.0943505774626,-1150.773208328842,-734.7541255481323,-370.30739392193294
-1706.3075985923392,-3977.2746718941153,-6384.82956594298,-7411.777980410488,-6073.792288771422,-3575.7583435656984,-1726.5500052408167,-976.8039112120354,-752.720090238709,-412.27953707450405
-1928.034695736821,-4481.995287585955,-6776.3814829010535,-7226.66494904257,-5322.573659021534,-2764.1302287294466,-1235.8407866379644,-824.9848529297775,-783.6134426655036,-452.9724443502803
-2187.7320712056066,-4871.282547477209,-6878.227780744754,-6685.423139357021,-4340.527787991008,-1899.8321878906481,-774.8730603639309,-704.9557593181255,-825.560640053687,-489.36597394793915
-2446.3920858584784,-5097.283898438237,-6674.101494768505,-5840.220623578207,-3221.046809113355,-1053.3697254812148,-372.6318690271998,-621.9552508473593,-875.2837324286127,-518.6915059844948
-2665.760302254117,-5133.154036666052,-6184.609667233178,-4774.570079831499,-2062.7874317916976,-283.46965427894446,-47.869855128532976,-576.9128691568836,-928.583717023261,-538.7829788978916
-2815.3758166860416,-4976.043148813429,-5460.8943858274715,-3587.364611866472,-954.7782051171704,368.6897021409787,191.1542314050542,-567.1129538997855,-980.8987245466478,-548.3213045701946
-2876.966321325367,-4645.055600638144,-4573.4623502198265,-2376.611223679424,34.01980290009365,881.1002800160389,345.2996959894393,-587.199466722428,-1027.840498973079,-546.9333774548446
-2845.6374611575166,-4175.497821855057,-3599.521782089183,-1226.469085204799,859.4595727683253,1249.0820846722302,422.2017560699754,-630.2795138030294,-1065.631421605498,-535.1414829647009
-2728.3017752289466,-3611.4386234087306,-2611.824581058101,-199.5207845290383,1501.7493072507928,1481.290917637637,433.65300821106973,-688.9278467945842,-1091.3952900509644,-514.191062655182
-2540.388284365113,-2998.5146355165407,-1670.8626779001993,665.5957020117206,1961.377877057938,1594.9771166802575,393.24239120727674,-755.9685224766209,-1103.2887510809464,-485.80582079112787
-2301.9775672515907,-2378.289309058502,-820.933267134274,1352.3522172041578,2253.3274811163224,1611.5888039268252,314.5547754045722,-824.9866821171875,-1100.4889610277637,-451.9250716846335
-2034.2568478528926,-1784.701602864514,-89.56453445348298,1861.9828451955302,2401.177009627893,1553.342864238588,210.01748966821123,-890.584669458139,-1083.0722951343303,-414.47031231604524
-1756.8031228126413,-1242.5192876963438,510.717316501106,2208.214039914993,2432.1135398372776,1440.9522482980342,90.32819473538638,-948.4347386477891,-1051.8276929428537,-375.17132911381765
-1485.8521833139741,-767.3615938533871,979.3611808477975,2412.2246761634196,2373.2863013843894,1292.4040895408907,-35.677442687913484,-995.1965153568635,-1008.0478180080388,-335.4630614600121
-1233.4748521369768,-366.74752776294366,1324.3868139757483,2498.4857469965755,2249.5158372427018,1122.543464836356,-160.87555838699225,-1028.367044982305,-953.3340651069436,-296.4482697910759
-1007.460116491505,-41.66764571303389,1559.2026823717752,2491.722185960022,2082.141265656811,943.1925275928394,-279.55962942491146,-1046.1214279195146,-889.440218709372,-258.9107798665761
-811.6675304330544,211.71504654613778,1699.9825739152463,2414.9724571670163,1888.706914160531,763.5707307804348,-387.10857792949923,-1047.1878014020886,-818.1666746636929,-223.36020447036177
-646.6278644445447,400.5038178429351,1763.7317700774665,2288.5752014167774,1683.1944520397471,590.8369957224544,-479.69405153093226,-1030.784443401303,-741.3046684060093,-190.0902908649633
-510.2202405300004,533.7938358636536,1767.0262567129182,2129.8491809296297,1476.5498741106485,430.62612909839453,-554.0790821086666,-996.6298038169825,-660.6196650095891,-159.2373104486378
-398.3196106995744,621.7259942463625,1725.3129203700591,1953.222760207566,1277.3090315159723,287.4923826094614,-607.540229480674,-945.0184055990062,-577.8563514185247,-130.83015502866184
-305.374558235028,674.8294438759723,1652.6092561834107,1770.5924959449792,1092.179069501163,165.20451034917303,-637.9254432326435,-876.9375765105739,-494.7454255888053,-104.82856340985195
-224.92721272110987,703.565128194133,1561.431776105713,1591.7337236605103,926.4824380610062,66.86394291173026,-643.8366229836638,-794.1842233331872,-412.99481552056096,-81.14942708369159
-150.11442664977025,717.968846454356,1462.80417818887,1424.6390670442333,784.4148580761002,-5.154577792918076,-624.8984107431988,-699.4313008781478,-334.2544607978741,-59.683271325759634
-74.18935130067787,727.30836833037,1366.2384279061769,1275.7159569377986,669.1097488638236,-49.41000304896086,-582.0464159840038,-596.1947564803311,-260.05286649198405,-40.30398421376974
8.920736976518693,739.7059317368344,1279.633732451607,1149.826777448158,582.539880659005,-65.68757178646007,-517.7463050760307,-488.6666264399938,-191.7131423465305,-22.87497617366919
104.04199844192664,761.7245534474484,1209.0915248476508,1050.2021667697668,525.321240225454,-55.286705438999064,-436.0498128759746,-381.40812447054327,-130.26379102578304,-7.254448587509291
214.22836908880254,797.9632196391434,1158.6918924227743,978.2958623192858,496.50997650081194,-21.19867033810941,-342.41330320360413,-278.93262274896057,-76.36312389595237,6.698488997167672
340.37296092637484,850.7412582355433,1130.3108925616589,933.6728305255003,493.49365826403874,31.923824935901607,-243.25152562284316,-185.24271345237838,-30.254884546889464,19.116307033007935
481.05263219525204,919.965406336417,1123.570740317441,914.0244549900777,512.0654894415013,98.06612613126464,-145.26626478143857,-103.40683476763007,8.233162305603457,30.11479531432306
632.6766541664146,1003.2564747334733,1135.9994980161507,915.3804278747906,546.7312668370209,170.41800808287974,-54.65878968289476,-35.26064624015709,39.64459953774865,39.78556889509716
