t1,t2,t3,t4,t5,t6,t7
113.20759097240189,81.95027671547062,55.631067171751866,18.3606704808387,-5.602835704598238,-2.25669336876532,3.276025607043453
116.41301274858192,84.87867875249299,57.59133234571134,20.12353857862649,-3.9772491488551265,-0.9133331965427081,3.787340839426335
120.89855182910298,88.78103310408116,60.22691948188903,22.539448691438245,-1.7660917863754113,0.6777186387542082,4.277065223123116
126.74350927361309,93.73401392851203,63.62026504478649,25.675017528381687,1.0477736427286213,2.5265158585440997,4.750961752670819
133.97264543409688,99.77364836577713,67.82446013537127,29.56633025251885,4.454977290286474,4.634220013741079,5.216545472327798
142.5514156290662,106.89031267888919,72.85759951899743,34.21513551195377,8.42057999634976,6.993147184395946,5.682624560728982
152.38435464439132,115.02609230797752,78.69906064713695,39.58700037402893,12.886298473911426,9.586917382116816,6.158645895270906
163.3166149556105,124.0745986757821,85.28788158720785,45.61144776736646,17.773696402868513,12.39066931487521,6.6538880387071675
175.13848887895003,133.8832027194217,92.52328497363096,52.1839858983843,22.98799984034471,15.371331884041092,7.17655944151893
187.59260093636172,144.25753082685057,100.26728479585617,59.16984645871414,28.422214894438977,18.48797404807877,7.7328707294563195
200.3833485077462,154.9679767605787,108.34921814305733,66.40917895998359,33.961276627684484,21.69228236027782,8.326156690654233
213.18809719646197,165.7579139636809,116.57196664762773,73.72340221071244,39.486029515961484,24.929236216402636,8.956125438480095
225.66959970894817,176.35324474846652,124.7195721449963,80.92238866760728,44.876919037093785,28.138060572699057,9.618308669559163
237.4890984274281,186.47289310240427,132.56590658681858,87.81214964903366,50.01734900223221,31.253531459393372,10.303777540538789
248.31958578288743,195.83983233681806,139.88402553422227,94.20269507095439,54.796719819645396,34.20768939372048,10.99917330688617
257.8587261742482,204.19223377884984,146.45581570109331,99.9157564241963,59.11320175415407,36.931980213802646,11.687080819554721
265.8409822593219,211.29432517811023,152.08153864317475,104.79208279336628,62.87631091006653,39.35979467143942,12.346747204142668
272.0485320358573,216.94655574765704,156.58887426203495,108.69804451095725,66.00934456036137,41.429322385157064,12.955119212135981
276.320608159955,220.99467856233267,159.84107967409474,111.53130643909282,68.45170064574741,43.08657935456458,13.488143186344594
278.5609363826441,223.3373816113232,161.7439022646887,113.22536289040909,70.16106071364302,44.28841908543632,13.922244202272013
278.7429966975925,223.93212846140395,162.2509218322134,113.75275968013169,71.11536494269097,45.00530330201604,14.235878843387376
276.9128811161029,222.7989110830399,161.36704689627953,113.1268669719551,71.31446132925484,45.223595750265815,14.411042179253556
273.18957902308387,220.02167360253804,159.14995506854603,111.40211055725374,70.78127687279844,44.94715579523117,14.434606161963538
267.76258787193206,215.74723834412774,155.70934627383704,108.67261953216635,69.56234300722603,44.198048168872425,14.299375126299411
260.8868257178779,210.1816547445416,151.20396850348882,105.06930463706227,67.72751418806114,43.016248458303735,14.004764322223032
252.87491334496568,203.58399580069693,145.8364750812464,100.75544234979482,65.36874800984224,41.45830442289838,13.557037908325075
244.08699600895778,196.2577417371483,139.84627515201643,95.92090269434001,62.59786509238162,39.59500202070783,12.96908069893136
234.91838433249853,188.54001063280126,133.50063931497093,90.77522033847356,59.54327236995736,37.50817172986521,12.259719227251896
225.7854047735121,180.78901333098628,127.08441363605301,85.53976513284378,56.34570776280843,35.28684508442053,11.452647831972774
217.10995482530524,173.3702166801734,120.88877150361739,80.4393159430394,53.15314009677657,33.02302462238438,10.575049996516878
209.30334827430772,166.64178655307018,115.19948854052188,75.69337692531717,50.1150282088646,30.80735683074972,9.656030219242165
202.75010302575959,160.9399425245672,110.28525696352736,71.50759544057523,47.3762008972269,28.72499496064974,8.724984597956826
197.79236079075113,156.56488356133042,106.38655996054267,68.0656436582191,45.07065960883618,26.851908391015783,7.810037935741882
194.7156288202359,153.76793493927624,103.70560327957209,65.52191073088693,43.31562514511741,25.25184257707007,6.936662037987644
