t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18
-206179.99295261782,-194673.65182015824,-164025.72717201963,-115287.43801183236,-67471.75869379463,-51840.72030286257,-82921.64261757805,-134268.51147889264,-158996.0071237819,-136658.9738570854,-86893.34653826492,-41147.27019230862,-15811.70072570391,-9780.03039883471,-14094.071379163379,-19081.119911359674,-17409.221514826626,-7772.409134012994
-190320.1212224199,-150079.4655968191,-98410.18002385294,-46729.52957381788,-21103.129222706222,-42146.30074752865,-95057.89109340562,-132569.99974305436,-121045.00861298865,-72098.10288451471,-21618.74955475504,6429.3500280057415,10047.851416066484,-1235.808556999776,-16265.801887403519,-25416.315190451664,-22299.246283292563,-8982.065019399528
-116334.095191599,-63982.76165077323,-13477.354471919869,17745.34562761075,9047.159401084782,-37516.65675154192,-83984.82654197545,-87977.93689085482,-46908.20444150956,5077.925469764141,36459.572129531705,39750.80804467933,23648.462245563118,-68.1354358435442,-21232.573329501014,-31096.911974789004,-24900.875553585058,-8806.357261492156
-22700.060426091815,21799.843775431662,52945.960749883765,54678.005799692735,20367.127351570274,-27620.217601194512,-47791.634125275574,-21673.61414371066,26971.83573664432,62241.11877021731,68819.90590921303,52378.92679422828,24668.204932967772,-4473.994951352026,-26648.751805656408,-34023.90345926077,-24239.369570650008,-7371.109446396356
50662.529938889646,76441.58582733625,83732.34554551476,63008.998120171236,21578.512790142573,-9945.022162888048,-3083.5882548925006,35744.810069794614,73582.92527659585,86790.44384578509,74924.38935842806,48628.79142362802,17597.78481719279,-11106.60500341231,-30260.842616078175,-33167.45744693272,-20661.33617669581,-5311.886998374146
87750.23676540158,95070.61613437737,84766.63582762404,54699.88377166715,20370.061355372414,9234.4576096822,31968.31868409189,67878.64964645563,88833.32115560544,85406.64653382039,64772.67329416669,36704.08526819716,7663.14244251686,-17062.99565664782,-30864.103045549014,-28912.87154934978,-15508.281418405815,-3334.994233974477
95071.79569553965,89802.44606980687,70810.299598884,41427.31069627429,19292.714076823166,23377.64738304387,50459.068972197216,76552.53907364147,83438.1593694209,71295.25882995604,48891.44917532301,23215.746074869225,-1551.5999602299576,-20757.30890823683,-28480.432016181705,-22645.316435424338,-10301.326421581158,-1854.0875550347762
86780.88284903744,74847.33094939655,53577.85572230663,29392.724401260115,18432.20115677773,30907.36510332091,55729.849694922945,71778.84981316824,69811.06864220448,54576.75472692323,33648.45741877783,11589.594470062444,-8431.475517550869,-21836.804436238246,-23982.317124136607,-15979.929032058606,-6055.271856098239,-924.050467947853
73822.7164111406,59043.12611524943,38694.496849240735,20588.280145137596,17949.852114274538,33954.15213781251,54189.42770573831,62398.19376283378,55626.6025174226,40049.039749719515,21429.773758656862,2845.5563536538,-12697.142891049201,-20719.977845334462,-18539.328525497403,-10113.53094233796,-3071.874038190397,-390.4705692953376
61494.49339822904,45849.38182989386,27665.520461423854,15172.301008585186,18358.627227892543,35173.69094623123,50534.149394542954,53089.98135480329,43843.8036823038,28890.68390478929,12420.844917447539,-3189.485863157281,-14714.85142019322,-18137.899641180506,-13146.811565344224,-5553.146332959383,-1138.392129661926,-63.85014472891757
