t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19
16956.928283766807,9392.127367776475,7922.5060836443035,14976.906596910701,24934.659627482346,29113.506541107745,25760.705876837288,18458.28024556082,10434.641412800915,4189.32290894751,2854.4662906606663,7578.34598831276,13736.734246513206,15634.590586993187,13239.7621187207,9514.301914668578,6061.635201222308,3196.8717864762216,1164.1628280838486
11071.252002595777,5769.61924537056,5755.520045787613,12236.352006078698,19846.33390907194,22107.50357885564,18653.279727030582,12584.670674490997,6348.137570396896,2076.8551919879396,2211.5048121131767,6549.4700967812705,10574.762712969668,10953.729099885228,8837.263871484896,6299.116805471238,4084.0239813039566,2264.351641434539,874.39203936897
6601.46951929838,3483.9161173766797,4854.506406765275,10713.55811372019,16051.906783762844,16501.345045700164,12821.583513761789,7587.375851756655,2513.8117545634245,-705.231402867181,-252.93694311521602,3100.760150514364,5750.7365595310375,5923.7641084783045,4755.45349169068,3474.432239094181,2448.6481417964687,1605.8097897518646,674.7771770077994
3417.892781259035,2213.2400350212733,4800.9178536026375,10085.49206801366,13435.650201578275,12307.716502782014,8287.563668265617,3441.54726726422,-1121.4754735937033,-4031.8692145517757,-3756.534252885967,-1077.0294920358385,1180.2559175246924,1827.9558420412461,1631.6100121947466,1393.2490663968324,1375.886218723975,1274.5391592749938,530.4099141041618
1185.892925737195,1505.1515149106865,5039.032429607636,9795.664314437714,11537.032530025846,9173.421395724954,4803.968965265278,38.24871932744361,-4429.275915513767,-7315.291578599178,-7080.088078372493,-4478.209965100859,-2061.065496816307,-886.6224638772662,-381.15242256405304,156.3566621161159,898.445187361212,1187.7852507412792,386.2595844106014
-371.70462363672436,1056.0696800759076,5204.5742467232685,9436.382791865399,9949.202752274223,6737.203018707182,2125.932258186872,-2662.672699458962,-7134.677180409075,-9877.324510284923,-9308.71776909713,-6429.5311455273395,-3806.844761134127,-2337.1154289039473,-1402.563729579269,-313.0075386557701,885.2975932809316,1185.4945500371152,202.4493823568297
-1392.3081644838578,768.5414238432278,5195.209290020438,8865.773328935786,8478.247387400883,4787.367232483053,112.85786970558695,-4636.007726245338,-8985.08037780402,-11305.594693127672,-10158.589869324042,-7014.283967172375,-4388.683153940502,-2847.5246794176064,-1654.5196723687175,-207.44525730873613,1099.4751447115873,1109.0610697608247,-30.638632167400146
-1929.3637293716968,655.1882863483156,5060.694559381175,8122.007273409433,7099.860395056315,3242.9530133708176,-1301.7566967572186,-5865.536640899,-9881.522911464011,-11561.051509300643,-9845.997802842772,-6662.158019491869,-4236.56748176778,-2739.131566742317,-1385.1590351864477,204.30711973238857,1272.612787590037,859.7251067072611,-297.86692831619865
-2043.481069264844,715.7594810777324,4858.545329857762,7283.194915668722,5846.0672945531,2069.462022203986,-2176.7036230045155,-6398.817059944897,-9897.506032342828,-10868.992575253507,-8784.430535237721,-5811.512947885985,-3693.6714266991044,-2278.263723858734,-860.6720029050875,610.6109135052936,1180.3147859253752,418.6176848553031,-573.0397219582405
-1866.5730420372277,860.3247094319611,4563.786251047128,6371.504401295572,4716.995585964805,1208.3114424295404,-2610.159192052548,-6359.97478569678,-9225.678943229252,-9556.000968260769,-7365.2058539088,-4782.9959520444,-3006.8657819181954,-1706.7245995870198,-377.40361862825296,706.412385058577,704.4833420868327,-165.45950929680555,-830.194121536239
-1626.8719052609983,890.1375277819988,4049.0931101828287,5324.576665785717,3644.2732653615844,541.9832568158141,-2760.8820115348126,-5942.648099714322,-8122.403267309807,-7949.29193893311,-5890.686428624738,-3801.6053988894714,-2385.4408085692494,-1282.2079096879102,-246.89154414358364,273.9215118414157,-131.30314436601597,-804.526936264913,-1049.2864546042679
-1635.297475397952,529.0307161017278,3122.438232849515,4020.6473610075723,2497.8025052240696,-108.9067102081068,-2849.719413113791,-5399.822175640066,-6879.604852184004,-6351.70350973866,-4599.656149661011,-3057.915147581619,-2045.3269419114135,-1275.2944334700712,-718.58061616597,-720.169875808926,-1168.976705985987,-1403.1108984643895,-1217.7578831946735
-2223.094634459875,-494.9944157705779,1609.701371408163,2340.7077906400436,1126.2224375887795,-956.7220694124261,-3135.097899053357,-5020.430751072394,-5804.823163802382,-5042.908811560916,-3699.110609713178,-2733.0651221644157,-2193.669616047071,-1892.3107584255436,-1847.8574903896713,-2069.0508208259193,-2174.5391726244798,-1885.4594149533214,-1330.117958277643
-3626.3735657594043,-2327.0828285769426,-538.1174858748103,248.84466290823377,-576.8036666875563,-2183.0885636075673,-3850.514478603941,-5071.703607253937,-5175.51074494657,-4255.30590268034,-3350.231511881236,-2960.446415588139,-2946.118285572448,-3142.4004139176545,-3391.372946897995,-3383.167019629747,-2932.305386181968,-2212.9267745118404,-1386.6192251786765
-5854.882956423757,-4870.081182765514,-3161.3385030759164,-2144.1955992832577,-2602.894469842579,-3856.188591209627,-5114.22377995558,-5709.70954044118,-5160.537450090998,-4112.737608224876,-3609.403187972642,-3746.4563128316813,-4220.862443335381,-4740.739552610674,-4851.434607267648,-4267.824343860593,-3329.9536917205196,-2387.538577022854,-1391.274075247752
-8628.244946696535,-7757.105814426779,-5895.234815080478,-4579.217394098616,-4797.309104125128,-5874.71899832891,-6858.6783357028635,-6902.7678445376005,-5748.119954972981,-4570.668414262839,-4373.352497773331,-4914.319436057874,-5698.492519054362,-6166.447898136491,-5706.261473249229,-4518.9075854861585,-3387.344828407457,-2441.7447677953523,-1349.4758035468178
-11448.012881597062,-10459.818253694768,-8284.206024866095,-6726.574098111418,-6897.858809796547,-7986.183582494568,-8836.50067497445,-8427.861758149027,-6739.253529990836,-5415.681050134736,-5388.046460586399,-6134.1451452024085,-6915.869592454294,-6895.330923958173,-5687.771478865775,-4198.699186482097,-3218.7912069261147,-2419.9838207405455,-1265.9358685621219
-13781.86649474303,-12483.85717623243,-9949.013318843956,-8305.272884788686,-8630.470465586219,-9880.430966261973,-10713.001180321942,-9956.870024820044,-7826.861396118724,-6343.4820475884435,-6334.895030390647,-7040.838906572374,-7461.099712363214,-6663.835718773429,-4897.382330637533,-3551.7237880104135,-2962.987336257953,-2360.6474282850445,-1143.796626074863
-15250.510170044623,-13535.592513778774,-10708.451843006917,-9173.348324906801,-9805.002863231475,-11302.767202766358,-12190.057032024508,-11181.437178174328,-8714.792161125413,-7071.579005703216,-6944.680134219169,-7370.787354843054,-7147.953678028207,-5576.579604029644,-3692.7753684949303,-2850.384455253739,-2726.616652397618,-2285.1486083142486,-985.2642017432044
-15721.476086889006,-13580.707509357902,-10602.675963401376,-9349.916151340396,-10363.098305925161,-12125.521575895085,-13092.247909130805,-11905.387910427484,-9208.69921474949,-7423.1717226933315,-7075.6841473996255,-7042.164998218895,-6069.882793619895,-4007.719245439542,-2472.061979018108,-2284.9152579470583,-2563.366054903816,-2195.9446350787453,-793.2174819617699
