t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19
-14284.833245021171,-11550.682639044267,-8678.927995454444,-8141.173418292669,-9743.354927230172,-11850.589534766481,-12982.638198118986,-11763.916500761055,-9145.422068677306,-7398.550562305209,-6566.418389066358,-5348.401795023877,-3010.264508196994,-811.4074053895139,-299.7061180860388,-1002.692597334194,-1763.7700129683008,-1609.3279551900116,-554.4031865228537
-12915.679428951682,-10074.888879155887,-7459.934967689978,-7325.613373469072,-9148.17582841473,-11325.15473157184,-12425.802028219674,-11129.296993464848,-8542.76914416563,-6770.0460823497415,-5661.944596725261,-3995.5434678937677,-1523.7569988734306,112.02730093032068,-29.41376124619191,-1045.6790556863145,-1842.8338456408803,-1542.8012222231387,-473.22302608180496
-11503.387013793466,-8672.69331766827,-6362.79414177345,-6560.794483369172,-8498.359601248198,-10657.412978276727,-11661.712665744633,-10291.738146370015,-7796.183797035682,-6047.353279252741,-4725.5258276754275,-2768.6288875360374,-435.85853018445056,567.4119266024742,-42.75845771252499,-1196.596274485847,-1896.9072684442135,-1405.6933128325143,-378.53357470247863
-10208.590502356821,-7480.177869536009,-5482.926158130682,-5923.214514491081,-7878.08437951553,-9941.557645764486,-10791.656093798862,-9356.900216407328,-7002.673539573053,-5323.330811197466,-3863.151921679394,-1783.875857304047,224.42458091518424,661.2566613045401,-221.88492583464242,-1369.6018420448534,-1866.2394529861547,-1192.3439219527195,-276.30508690163106
-9065.101429356338,-6507.5136849642895,-4807.155465287836,-5399.95651492798,-7289.503945576749,-9193.01381403397,-9846.801376490383,-8370.131089385273,-6202.82681098554,-4632.327288456936,-3111.762959867716,-1061.925183955025,533.6508324891207,540.9776114550087,-447.62212822803934,-1475.394475983629,-1701.1857197611341,-912.153063094642,-172.5591849902593
-7996.222161771906,-5660.404884843082,-4234.711696382206,-4903.481576039012,-6663.062480871918,-8358.209871082714,-8798.03799823407,-7322.586090847774,-5383.465308483299,-3953.099540342705,-2446.2402427222805,-548.3322503187306,625.1563240374579,356.4181509200653,-609.1704491957105,-1432.0080554148915,-1379.7238880538766,-589.8690972015186,-72.85749766407258
-6853.3450818929405,-4778.24291291264,-3611.015730028046,-4300.701396564409,-5886.147928439632,-7345.587942360227,-7586.257630142739,-6174.560019634466,-4495.983940746132,-3226.500140407649,-1799.9466236472085,-144.4009456083976,647.3501174338953,238.72306188525425,-613.9535509060174,-1186.0358364090844,-923.2658058931847,-260.98071132223697,18.126595517379968
-5476.864370548977,-3691.156446310466,-2777.9949352172835,-3459.385059831426,-4850.568913980885,-6074.784492943852,-6166.50907610137,-4889.931188738011,-3486.8777940737295,-2385.855269510604,-1096.511764850829,255.9441045466774,728.6583126703337,282.4818415089071,-407.1562105872846,-739.9024476003781,-398.741683576737,37.68508370071129,97.02608840417088
-3768.074641205361,-2287.285519067031,-1633.9118884231225,-2303.900200537347,-3508.1107402311345,-4529.995294986927,-4551.224096743781,-3470.8038266214594,-2332.3769696953423,-1392.7234657555834,-285.56288400549647,729.8558957889372,948.641198387642,526.6674932988977,4.376417434868813,-166.70485894909456,101.52796942667169,278.7618250143281,162.01518387378786
-1741.9804178386535,-563.8334784186718,-178.9268098390857,-855.9673301690225,-1907.5327625994335,-2789.4376885621837,-2828.212385819606,-1974.368783846576,-1061.1035443702526,-262.4883842563916,631.5500031602543,1300.2978069574467,1320.5103981286118,942.7612544291683,542.677732700977,408.34542742086626,496.1186555262137,451.4430915579755,212.64737549994715
468.325725982604,1365.5007797093804,1479.0736469481312,764.4918370071408,-188.32553562249421,-1008.8290713014095,-1138.3711184223075,-500.21623816085764,248.75349792083054,934.1811714442748,1598.3372409766473,1931.9370701027958,1794.1645415740786,1443.9446663020362,1081.5563164704608,860.3133282858995,746.3934601143886,561.7213085336189,249.40613049246554
2660.5998946104373,3313.8834760081622,3165.4463325754186,2382.864882288171,1468.8848229903103,634.5918568418223,375.17923368447333,844.7569306256148,1496.6343763378675,2095.6258008565096,2524.9804335371527,2552.011055515138,2283.109736253093,1918.9277961300857,1497.562133366289,1119.8806065262595,864.2398906536134,626.4163010458365,273.2106760770765
4637.153186667394,5091.3884991637415,4704.016234132858,3832.694297691421,2905.355273526389,2002.4572816266075,1613.7922702517542,1981.0700745919225,2594.0035747747006,3124.9596634547115,3323.6144916913154,3085.041712088217,2702.082247587419,2273.43275753554,1718.1800677047654,1193.056092723581,893.680622130034,664.3537105589745,284.928833088965
6258.827660488339,6559.267967259476,5966.930448402568,4999.763878595996,4022.844182759337,3024.6156564183466,2539.2631870315763,2870.787243685366,3484.9788869129543,3955.460019104615,3935.082791999089,3479.020005678268,2992.8654109817244,2454.9927112802197,1737.4066875930657,1137.4660901302993,882.9094132103654,688.7948273239824,285.02706581887867
7456.873171387918,7644.210609216017,6887.289805179842,5830.292390451726,4786.014338388916,3693.027422932188,3161.4971802562545,3510.6409315678084,4146.494878863587,4554.688931714237,4334.112046499035,3710.87450413175,3129.2450204793186,2454.6776237617937,1599.755610090205,1023.1959657313427,865.5320266769423,704.0926075850414,273.62393534754995
8220.58532417317,8327.62934546169,7449.255386295349,6320.173243461895,5209.181143987896,4044.485084106963,3521.021021578184,3920.4738138750254,4579.821232968949,4916.765599097242,4521.547580714662,3780.7868572221364,3112.5815741086953,2299.605466237245,1375.4862915602562,906.9808499928326,856.6353569976573,706.7057547622671,250.8352932271312
8587.889292835414,8636.966924040054,7680.2107192837875,6507.184603151595,5347.277463325858,4149.338990832206,3679.3468009670714,4137.8939017974335,4805.959897692334,5057.330629229172,4519.054831361813,3709.0511120731276,2969.348899646994,2045.277982461633,1139.1963611678939,823.4532356665711,856.6419234998934,688.2568550905212,217.05980231412573
8636.435545081313,8638.633965930927,7643.624108774143,6461.93007201767,5283.6967017445,4096.687384703052,3707.5798761050955,4211.983253695188,4861.393437845287,5010.613998983776,4366.147773335774,3532.9547059290217,2745.1450622440584,1760.1631841033106,948.5530150378395,783.1680246899622,854.9331837643646,638.7044031777682,173.22385901235603
8455.425034093592,8413.415505612487,7415.048395325511,6261.467898162417,5100.634083349391,3964.475822324312,3663.416137067208,4186.0958231760205,4783.974185366637,4817.982985824323,4108.609310130253,3293.5521638135815,2486.638370619868,1499.2925664576792,826.140758068565,773.1587486125372,831.9359208523815,549.5911579235684,121.13063533780777
8103.858055822267,8017.655676471421,7045.629574711668,5953.381820469903,4843.708726397314,3788.7553416478163,3567.9337620599676,4077.066302433136,4593.043383368216,4509.155757936364,3779.3658075881967,3016.3790811628705,2220.27762251357,1283.2031574238326,756.375470605272,762.3994919406823,762.7271428470899,417.6113791872157,63.65279737252577
7588.319951355872,7460.957064617152,6542.048197244912,5538.90179805725,4509.197281161046,3557.0135366028267,3401.876861777451,3868.893475091742,4281.006851738014,4091.900694616423,3387.543711973031,2702.4633202181985,1945.4362249753271,1098.2541537826594,699.3435016135454,711.990791539135,624.0674994204448,247.5339842981801,4.428086182106439
6877.610591734518,6718.477942251185,5878.495198918968,4986.7906045215,4060.8861171666813,3227.429581797545,3123.0210393343027,3526.3748929230615,3824.6982767418285,3559.818062880156,2924.7690002891813,2336.030400232208,1644.3343371060416,912.3756491662417,609.3789163726301,586.4673595411148,403.97761553176946,53.1465138858741,-52.78563499958114
