t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17
-27234.012923522598,-28610.997354245006,-28626.80755519483,-26634.049663663183,-22271.778934546404,-15858.40107676311,-8716.310367531478,-3014.1368038456567,-793.479809163147,-2467.0035601855707,-5959.259342381722,-7768.832721788711,-5712.744993173605,-993.2713328705323,2813.9936441416967,3223.4765038870232,1182.2171799157006
-16517.11330884427,-18453.680872359015,-19436.130711682617,-18930.345231896605,-16557.717205736382,-12437.156956077162,-7496.875956218031,-3381.7000301401167,-1664.2661762166183,-2653.0236923644816,-4824.4246221364665,-5794.654707672252,-4316.284022093497,-1378.85403818261,859.5114009641266,1199.8925067209288,300.09381013566326
-10886.056092733794,-12364.784918366282,-13294.434019429618,-13323.961197883955,-12169.313753073866,-9848.218389775142,-6897.878431208244,-4314.033112870615,-3039.923417774427,-3260.032233887847,-4160.881044502127,-4559.219312536121,-3885.0432129394926,-2527.469124652897,-1270.795200401435,-569.7831255038332,-390.81931817832265
-7762.750742603461,-8659.012043765611,-9402.799752990286,-9834.64985639146,-9756.312331177978,-9022.963240814037,-7673.621155630445,-6013.61916930637,-4551.586660246312,-3773.4548128730867,-3856.586446030781,-4498.23661955001,-5019.071606247142,-4770.926658164479,-3613.841980413458,-2057.040310122205,-893.6248034932041
-5210.669166441225,-6011.5140340592325,-7119.232494022324,-8519.731947454651,-9935.311357794755,-10779.98356567851,-10374.129675857488,-8493.36335336025,-5906.169357515444,-4187.608192786795,-4536.248759198811,-6542.168550197388,-8340.449693916078,-8222.134034122591,-6067.493488042377,-3221.1971860337335,-1220.7521572832393
-2440.638707510358,-4279.947756884719,-6956.951741868972,-10426.061532610927,-13930.560519064304,-15976.810838191635,-15094.485460546468,-11304.12016528418,-6964.341854475965,-5390.987931668064,-7845.43211495096,-12061.226928662576,-14286.692843366645,-12666.85435586089,-8385.261609046627,-4017.596906609574,-1397.7409029138066
-409.0578437694621,-5174.031856107601,-11156.62433796809,-17837.810241449013,-23335.568794492705,-24904.624431918783,-21002.899763986297,-13742.504077790429,-8574.490036161642,-9852.163472121018,-16339.50695310397,-22191.500994876795,-22558.28439089916,-17402.505014016955,-10211.919393096592,-4440.62908277499,-1479.7097618450543
-2922.4648876012698,-12800.76584812149,-23516.29381274261,-33324.51892967401,-38653.29424559513,-36091.51766163509,-26305.158754417487,-16057.753769255365,-13821.174465816579,-21539.30419522507,-32120.08206539623,-36443.96656448683,-31537.211844373815,-21260.488089343497,-11221.095081141435,-4593.553441593099,-1570.4709479370163
-16721.93633978015,-32544.987638658153,-47186.0498752839,-56955.37360619966,-57006.5568300804,-45774.183886505605,-29738.398435943236,-21319.197237670523,-27933.03261652013,-43483.49779969707,-54042.8318406079,-51366.45942544954,-38309.92948472459,-22991.257598429853,-11332.475587879593,-4747.382027530037,-1826.2831130667282
-47846.09036799157,-66577.99097631837,-80051.14063540805,-82844.92320606895,-71280.72602541634,-49899.22038594168,-33256.049482043185,-35345.908418813066,-54438.41077464677,-73050.65542356181,-75415.21578598513,-60880.04847963602,-39787.62335398003,-21934.17301616801,-10889.864105427034,-5328.106008276572,-2419.521791156046
-93952.84873404804,-107588.45227741322,-110989.19786559425,-99075.76459299542,-73561.95222065454,-48253.27781061236,-42386.47147415392,-61614.868948221745,-88507.57664556672,-99023.45753287294,-85599.15437359612,-59241.94757893846,-34543.35494748704,-18563.573319467567,-10637.185153433133,-6778.438605816203,-3449.1396726737003
-138816.70504446994,-137491.17121227854,-123046.9698980926,-94332.30005302343,-61747.33697259569,-46020.90847254775,-60742.79109575949,-93576.99231329536,-114548.01827430568,-106059.81352358423,-76441.47169414899,-45051.83778103621,-24034.27957644631,-14434.15931426989,-11413.299984573992,-9307.142125098082,-4828.996754739886
-158210.76223572332,-136937.1395786283,-104794.10607409819,-67403.46780609633,-42514.81020311032,-48670.89346123772,-82510.85744671593,-113946.26714688905,-114717.01270838185,-85655.3835998896,-48848.68290812017,-22856.514809086955,-12043.893524411924,-11434.161194942832,-13685.198249735442,-12651.33189411503,-6239.362358375854
-136738.95950348157,-100286.35910008661,-60639.61493277892,-29698.81856219254,-25819.184448066564,-54665.21634056014,-93180.10979905144,-106380.76230899204,-83271.70495106876,-43843.102788363496,-13039.281460683418,-585.830079434428,-2624.484432654091,-10810.15246483855,-17206.07111403639,-16041.969260175236,-7223.941578791663
-80747.04268325961,-41486.76929328807,-8835.936617349664,3146.1359545047976,-16317.032641596468,-55615.6087588173,-81154.44869242686,-69670.52938000251,-32272.38968712742,2625.4935264654378,18149.811663845787,15070.021979249665,1904.2533466505274,-12615.335165460596,-21047.945173288852,-18474.005731808997,-7413.100166099184
-13830.23623800634,15875.66623989544,31550.4955214823,22131.097307828983,-11319.837271796543,-44752.32330738018,-48365.63201123264,-19148.298217563184,17570.083990664418,37837.70775635805,36716.31342188398,21617.608280384116,1582.1696830559335,-15870.893218552814,-24011.472243491622,-19163.235592937028,-6727.466071465496
40154.46695696409,54291.81763366611,51869.93249471687,27964.587735197958,-6105.166184262801,-23595.925627305944,-8325.807237526877,25554.945153744287,50991.06425742869,55106.93927554479,41934.45398247862,20492.672697702037,-1945.464492467679,-19197.889593730946,-25159.89775082521,-17907.824426800078,-5407.535124165024
70114.99532143526,69771.5074867238,54728.280063061655,26301.70671361296,1003.5717016117579,107.23313085284019,24812.40635146809,53015.9893091016,64530.75092216868,56866.1179840968,37817.96978700451,14906.936800837415,-6641.983763430256,-21452.577761351775,-24171.478253576854,-15130.891512078715,-3855.804938535684
78279.97412997052,68296.65988090422,47712.53408425607,22219.486316277904,8537.205650689062,19068.739419950365,44425.39510429241,62849.63100564141,63297.67322527619,49542.809119146346,29321.63100520994,7866.048200056622,-10930.925059277655,-22059.633861520862,-21364.459431807485,-11613.34029378365,-2425.1870877869933
73053.06839518524,58420.503456124046,37546.05533197868,18276.210585755296,14560.967747880923,30474.818902234376,51616.26637549346,60872.33428110579,54613.08123467773,38985.026383106146,20065.971142707676,1295.4289492842238,-13965.809031393797,-21018.205699782007,-17457.596566673143,-8121.786836040601,-1297.0882828696597
62378.73366020802,46508.443687966865,28014.47499868474,15258.996555868634,18417.054145498172,35429.541897692965,50965.72672663443,53475.34001854503,43979.04013443264,28693.17068163575,11905.266085638528,-3937.72056750783,-15517.490464907594,-18714.249701135344,-13239.64321450007,-5149.421313598154,-486.90404779763736
51097.492862601626,35772.40441075711,20521.233160429103,13302.4054839659,20616.50852471802,36472.6994332153,46804.639823327714,44909.24312560142,34222.41200251255,20083.715812029,5425.262882407413,-7656.787220599848,-15736.909355904887,-15680.575937577034,-9307.938543928729,-2857.6629987023334,80.06590861861702
