t1,t2,t3,t4,t5,t6
-1032.907146247401,-775.5015777375555,-444.3935169462864,-94.27481751996007,141.51092898321366,160.4303274386316
-916.6024675457835,-701.5822997604848,-409.14385529205583,-89.75028259784096,126.27298091276256,137.7333543580466
-808.2934473380902,-631.3242950757386,-375.0059280896212,-85.5757748308739,110.57743232189533,114.67862736070933
-708.713431466565,-565.4852944089672,-342.5700086585522,-82.04077330308402,94.43103774506083,91.39625854585367
-618.1431041821611,-504.53980434351877,-312.2891595721529,-79.39523555432879,77.83700530991884,68.00510512494648
-536.5157483784615,-448.734347850698,-284.4998176765505,-77.85207545591479,60.7972135275629,44.613653874191925
-463.5139813359136,-398.1409816600917,-259.4434069925433,-77.59046681860036,43.31438369191794,21.321077092648228
-398.6542615122129,-352.7063894884531,-237.28742109045118,-78.75942319344519,25.394168203374427,-1.781645920048387
-341.357508625678,-312.29491828628505,-218.14480918452142,-81.48117696151743,7.047128556265534,-24.61062650170783
-291.00573049951913,-276.724789498409,-202.09085395487352,-85.85396854775227,-11.709416998736039,-47.088046925013224
-246.985602416355,-245.79735464784,-189.1770240301713,-91.95395228408275,-30.84969659585433,-69.14126729044463
-208.72055059724678,-219.31968252157543,-179.44151400104056,-99.83602436791699,-50.3379652340295,-90.70208554583562
-175.6931344165519,-197.12099356940467,-172.91635443761612,-109.533477914083,-70.12719896314303,-111.70616228744824
-147.4594964817809,-179.06353733356673,-169.6310957822224,-121.0564891651868,-90.15805057961376,-132.09260970359887
-123.65744683762033,-165.04848646701845,-169.6131595283682,-134.3895370487936,-110.35812532216252,-151.8037341997477
-104.00944683612305,-155.01734061058616,-172.88502541636282,-149.48795476723035,-130.6416426758127,-170.7849147051902
-88.32142420185741,-148.94923495846848,-179.4585008710068,-166.27390525889328,-150.9095528369348,-188.98459320085902
-76.47803297227247,-146.85446520030644,-189.32641161225683,-184.63215880766893,-171.0501719706961,-206.35435043925517
-68.43470641941653,-148.7644987472612,-202.4521682147631,-204.40612546162274,-190.94038799356747,-222.84903799878697
-64.20666282584884,-154.71875978720072,-218.75780385273595,-225.3946500281614,-210.44746786020661,-238.42693760484767
-63.85492907667086,-164.74856222434363,-238.1112376900921,-247.35010465642335,-229.43146869497951,-253.04991995604362
-67.4694534284512,-178.8587200799104,-260.3136829304648,-269.97830444051806,-247.74821995337126,-266.683578012146
-75.14948660335818,-197.00757957303676,-285.0882679891608,-292.9407171266862,-265.25280437591283,-279.29731370464896
-86.98161098429725,-219.08647054797058,-312.071047733199,-315.8593335708216,-281.8034248192884,-290.8643621541941
-103.01607291717951,-244.89983677035332,-340.8056206994418,-338.3244100678701,-297.26550567893656,-301.3617434987342
-123.24239427048136,-274.147535979982,-370.7425101894597,-359.90509179260664,-311.5158453625309,-310.7701390650568
-147.56556754882018,-306.4109571969879,-401.2442904165049,-380.1626896806663,-324.4466138095633,-319.07369550185325
-175.7844267166372,-341.1446398616273,-431.5971323324603,-398.6661290827916,-335.96897950886284,-326.2597672249717
-207.57398164018335,-377.67495799461324,-461.0290113376185,-415.00884097324126,-346.01615602729726,-332.31861365416614
-242.47355722490323,-415.2071267268485,-488.7342828392241,-428.82615237342526,-354.54567963279715,-337.243072780631
-279.8824472285578,-452.8412922225333,-513.9037325505354,-439.81207932833934,-361.54076658061274,-341.028236152299
-319.06445255341157,-489.59779848721047,-535.7586042300078,-447.7343572946462,-367.0106488885657,-343.6711520197794
-359.16212394810407,-524.4509328637946,-553.5865673249709,-452.44657712037156,-370.9898473847022,-345.1705828809969
-399.22079806852923,-556.3696093462906,-566.7771828299901,-453.8964365418602,-373.5364057806412,-345.5268408833693
-438.2216627236333,-584.3626481169695,-574.8542224951241,-452.1293615107377,-374.72917415791017,-344.74171956629954
-475.1221975103114,-607.5256527950302,-577.5022412706546,-447.2870800716215,-374.6642891021352,-342.81853354254923
-508.90151338876245,-625.0860704019171,-574.5851152417747,-439.60111394459415,-373.4510458131549,-339.76226942159013
-538.6074670798752,-636.4429189954403,-566.1548237087377,-429.3815513325731,-371.2073909089695,-335.5798422466188
