t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12
2358.8245592937396,2528.4344824639684,2178.14527641708,1602.4734410649673,1028.9262226556912,388.8151647707212,-97.85454551333068,-122.16780636462174,96.66305280101977,258.3395363102922,206.78987744378213,48.9085448253992
2253.9286608325524,2387.2631057434487,2035.5570078856542,1492.684892123064,950.8498115902739,346.41264098643234,-82.59411266372786,-76.31770131462147,125.37362997891266,248.3670319371928,168.41434077731418,30.560012766036124
2134.8067746051356,2232.5881327834845,1886.0505975011915,1381.8294626469644,876.6803132319998,313.89639712619896,-59.43070871523753,-34.12841582983701,141.88441094826018,222.45196099074946,121.78268458099592,12.072854995993623
1998.3159320604368,2062.494073738252,1727.5846237597582,1266.700494620568,802.2181114350994,285.5911456312683,-35.870926374392596,-2.094908858533014,141.7342098018276,179.21207505299037,68.84970535609007,-5.99148334124517
1840.1357307140372,1874.0804183569346,1557.2067425331018,1143.1924625128404,722.3451997664113,255.08223355801,-19.27551446160393,14.092963203769216,121.46710107828315,118.81306168880727,12.206261628828457,-23.13553379683712
1656.112321207832,1664.6780951904636,1372.0635163389557,1007.1964591091336,631.8867017103751,216.06884546293568,-16.161395593051694,10.001377938379806,79.15451356737904,43.30980658417558,-45.115315879154394,-38.936199287977544
1443.5351758942322,1432.982743546387,1170.3528536911558,855.4670493660147,526.4363740427724,163.14688933387907,-31.582510519110823,-17.080165553140105,14.921844058764371,-43.23303018009632,-99.9201115270173,-53.050126508245086
1202.2203449397737,1179.9635107681756,952.1109287584806,686.3994294172657,403.13604384446734,92.55902697015296,-68.54258359155067,-67.6781996762114,-68.65011979556094,-134.96817823171762,-149.19179062352273,-65.21786825406657
935.3004238906167,909.4516923552637,719.7594556941021,500.66037716231506,261.3716947240321,2.8786963472905107,-127.49635767594906,-139.79473509181324,-166.42298847523864,-224.90337518485256,-190.44909335279718,-75.27021529080001
649.5769215581267,628.3011448589081,478.318654145874,301.5630078670498,103.25977771862219,-104.51806241126462,-206.09182293202562,-228.8523238238006,-271.05435331078917,-305.89311747166124,-222.0513614023179,-83.13645718858994
355.2510070498603,345.9985164022032,235.16798391208255,95.0275739986232,-66.27031126203985,-225.39791830137938,-299.3245051169428,-328.0669768235333,-373.86512618142274,-371.79044467338736,-243.38366019095488,-88.8494082870676
64.9073631501242,73.66079988428255,-0.7212521380016383,-110.99848202750903,-239.9594576333703,-353.1797485427265,-400.1922316794427,-429.28669571737066,-466.115276358909,-418.46849193388925,-254.87199246078734,-92.53977307019996
-208.18074001680796,-177.4809740311481,-220.0221516689121,-307.65046865327105,-409.277707232462,-479.98831477210064,-500.7829963109645,-524.1777064733253,-540.411654557362,-444.423391066787,-257.81995703509756,-94.41565657521436
-452.0885654199958,-397.8006042710929,-414.5106597854436,-486.57414393570224,-565.8515817811717,-598.0263530814545,-593.5632282029552,-605.4928299381684,-591.8731438231756,-450.78725899915264,-254.10699817638516,-94.73042208560842
-658.0723034986569,-580.7333034007232,-578.3541562139662,-641.2896183927468,-702.8732554510416,-700.8917875936085,-672.5322813989891,-668.0858994258808,-618.7172488728243,-440.7722944524573,-245.8257866807669,-93.74845148953989
-821.6328237243225,-723.5182094353039,-708.8303414006057,-768.0725456987565,-816.0628184170067,-784.4549566361239,-733.9257022230393,-709.3913111678829,-622.1157074410314,-418.7518708809102,-234.946288165881,-91.7186305408131
-942.4772636613336,-826.9904771802078,-806.2444671076443,-866.0744713889095,-903.8919664035923,-847.0553716141075,-776.2943285628241,-729.2657462917844,-605.4258855400136,-389.28035788425706,-223.07325858601666,-88.85918782110973
-1023.4490381612196,-894.5328288726128,-873.1038157362333,-936.6814232055461,-967.0500429043051,-889.0278460824179,-800.010154450828,-729.3232100494896,-573.1202268276876,-356.32434757256,-211.32360906236846,-85.34982382459955
-1068.8960753800488,-930.6190354845176,-912.8948871495593,-982.4046339723598,-1007.4248640428384,-911.8184108480873,-806.4594651272542,-712.0773016951212,-529.8018034181218,-322.8510983501985,-200.3098232040573,-81.324056007323
-1083.1459439081793,-939.5210733349368,-928.9513632675018,-1005.7696854281328,-1027.0456997755184,-917.0875897966348,-797.2808651147687,-680.2421848711011,-479.58203655205915,-290.76526314099823,-190.1920317389912,-76.8585271654621
-1069.6502408935503,-924.6320157314707,-923.8239992444087,-1008.6332597886374,-1027.4093932393987,-906.1573650188296,-773.9401778834533,-636.4130942898396,-425.87700565103825,-261.07331342763604,-180.76004905544417,-71.96317874882206
-1030.9988730255923,-888.5340634819597,-899.301512401197,-992.1262532987972,-1009.3961590244177,-879.9592121492259,-737.7362415429131,-583.1175004187764,-371.4769588167896,-234.12282143176776,-171.52146694640913,-66.58076413249164
-969.570344074859,-833.577371553424,-856.9143805684247,-957.1127547556467,-973.6864211645521,-839.3833230459313,-690.1018512528002,-523.0255805990012,-318.66266614926315,-209.80233865855013,-161.79050045668862,-60.60267892833532
-888.2951213226432,-762.5118803785765,-798.538529676285,-904.8194616307571,-921.3598580802119,-785.7409984080182,-632.9205156771671,-459.04366139268114,-269.20336238549277,-187.65887799125193,-150.7838190479464,-53.90165597918997
-791.002606036021,-678.7352845755609,-726.7043207459898,-837.2404949109554,-854.3004794909642,-721.0219170228518,-568.5931822138193,-394.1155433072917,-224.21184787577053,-166.95256560669583,-137.7295643736073,-46.37460384009019
-682.0850952540038,-585.960827198862,-644.4024144852707,-757.0713852306917,-775.1633068972554,-647.760741377091,-499.7453397998333,-330.75645300664655,-183.95723263059043,-146.69761140166557,-121.98665038503489,-37.98446680768723
-565.596689135067,-487.435650083399,-554.4584930143593,-667.1874689433965,-686.9011086974599,-568.546629415629,-428.6751940979652,-270.52317199619534,-147.7779169312779,-125.73402580774685,-103.15994629573267,-28.789755409035756
-444.2142338378939,-385.08816278644036,-458.781305136349,-569.9218298280394,-592.07793750499,-485.4009091893469,-356.79617935762104,-213.68308834398456,-114.19066331480454,-102.84992822089012,-81.18982552115081,-18.95356128658707
-318.5770490909539,-279.03798087801675,-357.86559045871195,-466.5037721874977,-492.3026479991906,-399.32158840378395,-284.34745932900427,-159.26132080594988,-81.1997389185474,-76.94766398009016,-56.39549846399151,-8.729047959076162
-187.3655482589243,-167.75244688795243,-250.82799266067767,-356.951218005325,-388.06060894300145,-310.22253982809707,-210.5320207874574,-105.47530450835217,-46.72953713398415,-47.22968337203911,-29.46013829754414,1.5754680453088499
-48.16456234968006,-48.861755525167425,-136.02879530136065,-240.51229619478437,-279.0435159049685,-217.32350103795375,-134.05679094887606,-50.404707389842166,-9.069843963797407,-13.374047111875868,-1.3586739970309551,11.642671008595531
101.16702709701597,79.62409080908753,-12.089749859398166,-116.51738167180997,-164.86305408592514,-119.85761332099764,-53.88258497809042,7.33353554180668,32.763828236132944,24.330336636843008,26.758155443992386,21.190115904442667
261.0999046843257,218.11137243718662,121.0431721217114,14.669100468073838,-45.87544650808423,-17.835970814474834,30.086697468666447,68.11009826907852,78.81435341860006,64.91761804807382,53.70116127769528,29.997949622620077
429.5037173327189,364.645926516842,261.37012284847253,150.95663172495625,76.20254565999757,87.41308451106711,116.61511909719422,131.11843165598546,128.13441888945096,106.77616983644265,78.37678091068501,37.91194088519042
601.5147572517674,514.835937028263,404.713943588498,288.37370625815805,198.1330562648496,193.1317080252123,203.17195023444913,194.52304853088714,178.90605763993887,147.7996299897917,99.89751006449549,44.82352030310926
770.273840181796,662.525635559251,545.2851761451734,421.5517192222211,315.5428303858198,295.50493955266944,286.3780734888617,255.84689355304815,228.71715500685877,185.66255812808868,117.6573881602213,50.639665444467234
928.3364087375596,801.0454841110399,676.8049901472413,544.7413638072387,423.7636920184984,390.41959838296714,362.7231985206637,312.4898472284902,274.967916174363,218.19183559064706,131.3709835798417,55.261494267933976
1069.3554624388858,924.6954672946266,793.8818042039641,653.0790272073955,518.8849855045778,474.39089641510327,429.3469930415975,362.2659512776975,315.35053601618915,243.76301046566772,141.08033762632053,58.58679166734024
1189.5529521586814,1030.0446132760649,893.2479830496598,743.7267909036208,598.6982394019665,545.3830847998194,484.6693878264027,403.852833779656,348.3068600441651,261.6191380590403,147.13431343128536,60.53879250424547
1288.5429242580701,1116.6667083357395,974.48217821943,816.5263646219221,663.2328338901942,603.2733345766954,528.700292659154,437.05610250386536,373.34235695205945,272.0098619592466,150.14044681203774,61.107706061884876
1369.2375483543594,1187.0725213604999,1039.9708169287005,873.9346643271523,714.6917453793147,649.8026621662107,562.9419274350454,462.8128046753178,391.0852785806037,276.09132531648106,150.88571836682,60.38186552565291
1436.8169881718306,1245.8138432969745,1094.0719988550768,920.215973237707,756.7698944072627,688.0010655561929,589.9003200313426,482.90455051211825,403.03999347084516,275.60260596878777,150.22473337605484,58.548366685677856
1497.014945034761,1297.973438999987,1141.6832022907734,960.0947714052014,793.5256191719338,721.2289347607622,612.325588010612,499.42435898537514,411.0809735138823,272.4116626695527,148.9430011431958,55.85764686030188
1554.1889260402156,1347.4514100490842,1186.610378295665,997.2529302131016,828.1212238887588,752.0988030687276,632.3793899419799,514.1236951674181,416.8328681854837,268.0682728673359,147.6156503837779,52.56451058251841
1609.7377735505765,1395.5476890767154,1230.223066579739,1033.1224658963192,861.8029348690429,781.5909957155783,650.9588506563564,527.8248615309818,421.1380947146781,263.49274630268474,146.49130073061062,48.869391989599336
1661.357637447408,1440.2824227715082,1270.8192029406448,1066.3505813593877,893.431539331043,808.6328889246619,667.3743917533936,540.0875307482241,423.7956591889232,258.8730220750731,145.4312786782221,44.882312097215966
1703.3995537949102,1476.6955485465953,1303.9227491349482,1093.1148218827186,919.7164871335168,830.2822495421075,679.4864814368373,549.2542884403998,423.6636827916178,253.76681733685712,143.92444251069878,40.619959312905394
1728.2693157004155,1498.0786672956924,1323.4555876938643,1108.2050346063938,936.0964202618387,842.477638955293,684.2763583436391,552.8842543226918,419.0870727373264,247.34315719543085,141.18063632824794,36.03134654527124
1728.493072116839,1497.8063876215863,1323.4531068742967,1106.5515926452636,938.0148430285783,841.1486727045678,678.6970821917013,548.4557592622729,408.4941128446612,238.67048829592136,136.2868741152227,31.037747831158523
1698.863641107406,1471.245104370089,1299.8216368921728,1084.7449516426325,922.2234944674263,823.3710587056569,660.5656514218069,534.1262956132142,390.94984655833974,226.96852316757125,128.39542828329962,25.57179764326846
1638.0526903765035,1417.1887368889866,1251.6229909763733,1042.102921860972,887.7441183342813,788.2405789845517,629.2436475371137,509.31611316557394,366.48135876801723,211.7741331648371,116.90599115662276,19.606709176264495
1549.2328212556738,1338.4129438495295,1181.5197143312034,980.9911124315271,836.2293258851676,737.2285430866971,585.9179742751136,474.93952868379915,336.08558023870415,193.0092202790276,101.60640185846736,13.174183997049226
1439.5481449607348,1241.2037825415514,1095.272361441331,906.3348950232174,771.6461927773358,673.9377794471618,533.4133697711926,433.2237343500981,301.45111062885906,170.96649783124155,82.74680237092936,6.373930731990824
1318.605982565283,1134.01650387117,1000.460879253995,824.499485236896,699.4017877398561,603.3510450164479,475.60475328399957,387.186389359353,264.52162423548975,146.24212166697328,61.03691530688877,-0.6228400857974792
1196.4311616689859,1025.660509233961,904.8168577672492,741.883972242811,625.1778013017954,530.7988861562161,416.60682631280775,339.9447901946922,227.06495191165965,119.64399851406509,37.570766216096544,-7.577209574296174
1081.4500657245587,923.5174295259002,814.6402183520827,663.6293704071214,553.8013334263327,460.9336114530188,359.96889376664296,294.0688200974407,190.38298300610793,92.09673131753763,13.69385837399173,-14.198026915627475
979.0260370390876,832.2562672399895,733.7161149571255,592.7742639824608,488.4407694492629,396.96908800810724,308.0838903371884,251.15900804989366,155.22460938307432,64.55419198501178,-9.166578815350341,-20.173013756061465
890.8771601017771,753.3370600014754,662.9745355745346,530.0358009000223,430.29977068597515,340.34882613992966,261.94368228990453,211.74599694665392,121.88246522907876,37.92278167498802,-29.685454805528483,-25.21453153366173
815.4390440908744,685.3536045523698,600.9072410506722,474.2029163277729,378.82947797537497,290.8725614587113,221.26553327399927,175.50066196443652,90.39611385910372,12.994557666434577,-46.81357261400649,-29.111494247899095
748.9728506289124,625.0318177033465,544.5451120904471,422.96079782243976,332.33599704231045,247.18563526625263,184.910648322663,141.6507130880696,60.7655732325869,-9.610458031847877,-59.915395510435296,-31.772483619721395
687.0368395691703,568.5395523440402,490.6627613989995,373.86569341888645,288.76631982333794,207.45063282720568,151.4439324692867,109.44742663636995,33.097080379488986,-29.49075727312689,-68.84506435174671,-33.24383279979493
625.8827362970605,512.7153674608284,436.8484140334522,325.17851697291314,246.43276637373793,169.99618302962094,119.66166046392658,78.52733596745887,7.64272105618857,-46.49315582090438,-73.94072696673572,-33.69246425563637
563.4113539904043,455.8917599331549,382.15453324730635,276.33912550933064,204.48397349474817,133.7738438798666,88.94272033125667,49.06330069721332,-15.26100770497833,-60.71787513645363,-75.93144258727291,-33.35539591972166
499.4925359234619,398.14313228744885,327.19760420351935,227.99281815003192,163.0295923652344,98.53381001564362,59.347221494093255,21.678411007120445,-35.31706919044392,-72.49016655676597,-75.77182469050261,-32.47139743782153
