t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15
812.1276731399712,871.949462560233,4379.548976242342,9326.245889558431,11301.874869376958,9143.91165478867,4925.457376615422,342.80391049743076,-3532.078253814835,-5039.9551302933105,-3247.8547793234675,-229.4838167021668,1396.33657866541,1472.2018711024996,995.677672204711
111.19215142217499,460.56872167806284,3860.975418236972,8228.103289762064,9659.262688664236,7493.028055404687,3684.8598159254934,-299.28427108644723,-3349.9582866573082,-3896.792488963246,-1699.476528776369,821.0202204773236,1775.0319257157491,1525.3617679224026,958.4672257713146
-256.582053291925,299.5683233411278,3474.7427094526906,7209.081394458256,8168.182787457602,6093.891486644314,2756.3704383676622,-587.2674589286243,-2826.0385575620553,-2631.25689713624,-405.76769501215244,1480.4290574002873,1909.4558300948916,1487.4236093677905,896.8968080774628
-281.2539270604916,435.6311059272182,3309.6010284395975,6377.936103394433,6911.449714707567,4977.493130317326,2121.734565042747,-599.515639345525,-2138.6709030727307,-1504.5125153817955,455.24851724974064,1737.0465173705595,1844.5133374785337,1387.0173819605668,820.5847987030004
-5.211906046564067,855.6763441472368,3394.6225209189115,5789.57404735092,5925.480331571675,4133.095225191963,1716.4718188575152,-470.2182892940517,-1504.631799461605,-731.9255329583443,823.828416902022,1659.7539023538648,1648.4125682623694,1256.3099612325582,737.937012976595
477.45402632604004,1482.4569993297039,3688.5073399457783,5431.819190400268,5190.867417570819,3507.0746501007748,1442.2406847587733,-351.97436243450886,-1105.8101012998727,-408.7595890352479,767.5867969008727,1368.507708603273,1395.0058858573934,1124.5606815677265,654.129383942744
1045.48109663575,2198.074540328848,4098.172332256081,5239.137587601923,4645.665455571379,3021.142686784475,1196.7785005567027,-366.2274733453553,-1028.8718214876926,-491.32648147662303,438.5143614256031,992.5402769558548,1147.5377327788558,1012.5816314442279,570.1874778860704
1584.7457040804334,2881.332427755133,4514.506949047209,5123.644553824757,4212.486464933682,2599.0371902548422,904.9977035413478,-567.6433270397297,-1248.6274771571993,-836.9168205142495,8.119845684908853,636.6953328280927,948.9367684117857,929.6681224810866,483.57315335543325
2015.4699575482293,3440.0877201531716,4846.484451457644,5006.55626179896,3824.846803800774,2188.0349410537538,536.5540251107491,-937.4371442090699,-1656.5132909095332,-1271.5027039337424,-384.80355649305596,366.1720283179857,819.5275953650896,873.5387863030912,389.9738982669367
2303.3027392112976,3827.2355112377304,5040.803784863603,4837.748300069168,3442.56497382186,1767.7250145513326,105.41443660584781,-1402.6713061737878,-2111.6224921062994,-1648.1758892406895,-657.2405458782148,207.73525745212078,759.9615890126281,832.8372338398449,285.46353409500034
2455.043757126212,4039.746290523058,5084.845043424105,4600.474568946725,3054.194005106925,1346.4350664094966,-343.91145454650075,-1867.9103667417198,-2488.198342328892,-1876.9698158079607,-779.6087717693105,159.3766729425913,756.3713444724002,791.142245573392,168.16044958610868
2504.6919768112666,4106.2596325099075,4997.503254784371,4304.804028630883,2669.9306050688656,949.9818118030009,-755.6779791498448,-2245.6387624809026,-2704.5093080856445,-1927.1140099410432,-760.737910374626,201.12968257796456,785.5996229814593,731.3033615969382,38.904359706675905
2495.903469618976,4069.6948298196185,4814.077483851204,3975.235407241979,2309.9840237366725,608.0436973606593,-1080.9279547949786,-2476.9078671955085,-2730.5291994187946,-1812.8205807288966,-631.1919297773774,303.3348339329359,819.6404568978571,639.1555634000839,-99.00551629445954
2465.941501604159,3970.4331368725066,4570.745688220314,3637.5463917098878,1992.9512113419007,342.53463492194885,-1289.6488508385364,-2539.1544201274196,-2579.696423594359,-1574.1919319482508,-430.62107074683934,431.71071599931895,829.3710126997826,506.0796557749344,-240.62735883534623
2434.7110083092957,3834.1881677806496,4292.826392462517,3308.6853954960498,1727.4226616351675,160.6174544499312,-1375.367684968391,-2442.9934795428444,-2293.275256542496,-1261.1468149182845,-200.52049843357133,550.1539056226036,788.0568460941677,330.2761670822399,-380.3132419564014
2400.172754522702,3666.41332677003,3988.9061328577727,2991.5361614455746,1508.04982360171,52.67966349040273,-1353.549994599074,-2223.031918702651,-1925.1905908637323,-923.6855604608922,18.696763283765108,622.7530334287077,675.0684433392074,116.87554447319562,-512.4761701709385
2339.3060033294205,3452.777167346215,3650.6453061658553,2674.37916178504,1315.5379638865702,-6.08944599249304,-1256.7314006488307,-1927.8511029579715,-1531.583192393399,-607.8888505221399,188.57082294195664,616.5532675444995,479.83942703698665,-122.92323160594421,-632.0902835986655
2213.243358159202,3164.30170174248,3256.9773295779346,2333.9814811790034,1119.5233662757398,-51.935477878186816,-1128.6015178386272,-1611.7754519693808,-1165.139353275525,-354.82754653461154,273.8754746737835,506.1692417757092,205.4087354062657,-373.53452669608737,-734.9613593500172
1975.9211231350832,2766.1312415304474,2781.567604957578,1941.4764322178335,883.8067662684244,-127.05374545829031,-1017.5954762795636,-1328.342467440605,-871.8602974537023,-199.3388701787058,246.1229325040818,280.2231703629926,-129.82369015480495,-617.3443693726188,-817.854276542922
1585.862161507979,2229.0472580475866,2202.5314515052996,1470.4037974195821,573.7325980297003,-272.322419771274,-969.6735567106635,-1124.2868616428773,-687.8493259268394,-166.812309278234,89.67918434192086,-52.14468337095903,-493.7265159847127,-837.4730071079744,-878.5468871414121
1019.5394540963423,1541.7874051587048,1512.6286403030408,905.6616324315474,164.89894049816982,-518.7351793112521,-1020.3474125340358,-1033.3093240708836,-635.0281922150133,-267.97760261025707,-191.10734740686019,-458.0606915129689,-846.2809377915936,-1020.4508280137503,-915.8345231361925
