t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
-3293.646108694286,-2087.12864347367,-157.21741558098518,950.3931308873159,1027.8428362731142,1014.4828318373719,-45.1200285812576,-541.733361032999,-382.59737716213067,-279.7936938304427
-3179.2949458968806,-1925.7466378846027,-100.09399249798861,919.0204870689477,1116.2707290802173,1011.2112421072572,-175.31268388260793,-570.4947393557671,-393.9801609524884,-310.1097252076121
-2983.2913419023266,-1697.7106975356448,8.0251090915485,935.3826421186138,1226.6646167166243,990.7821615328485,-265.74303294814985,-569.2339237612254,-386.1860040116978,-331.1040681033803
-2806.9557022966815,-1395.239900429439,185.0828523820826,1004.9521230446733,1368.3683010504033,989.7428886021661,-325.1345331282339,-565.5947709464849,-370.06856653156524,-343.1080122659072
-2736.5005485425263,-994.7578677787218,460.8685709071326,1153.9062096390996,1586.204086092424,1033.185967388626,-393.48680438907485,-593.8656069219433,-357.4119071412146,-346.5073344955826
-2814.774291872731,-427.1694680205946,917.1734662200325,1460.0742589112936,1950.9186308165608,1104.7646543672843,-531.171858811528,-685.1376265831404,-356.4068130363516,-340.7807105868186
-3017.0290011357115,369.48205591672684,1681.7895926964743,2042.7174362675196,2510.7414934645394,1131.9937699233797,-795.4678676574372,-856.7421701922578,-366.7650533801758,-323.9160759987081
-3237.954840838263,1292.7922272102908,2828.4494705051447,2983.653354874003,3225.927951409585,1006.0282645862006,-1212.6515291737119,-1103.168264797958,-376.40490296766217,-292.9155348852115
-3304.2660874103385,1959.5763649434532,4229.41525723388,4215.946836127914,3938.361604106525,635.3751300295706,-1757.713293801495,-1391.2864044753524,-362.5941181688015,-245.77968300033163
-3026.7696146431026,1850.1531014975599,5506.548547806638,5475.63083011372,4418.96195693968,6.561163232421563,-2352.1988652457712,-1663.2242146598683,-299.73296350412,-184.41358463239328
-2287.528682941416,715.4981871914374,6192.248540413338,6391.408363245515,4480.461404044116,-787.3430067834432,-2883.648387808454,-1849.24855109079,-172.53824045838712,-116.77599681926392
