t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13
4836.597464377982,-6858.056227680914,-12815.234667881476,-8487.432717098263,2847.7173403065276,7517.132373731892,3507.108890137231,-3216.030603272178,-2073.529020537711,1785.2659980563983,1041.7942491657732,-23.791574634309313,103.80077344706183
2099.023889971567,-7155.252437642664,-11306.315982498098,-6203.3254916702745,3885.0686664400237,7227.273417799551,2862.5005598856073,-2889.699606479195,-833.754987811087,1717.2730949787192,250.95063073814288,-475.8710657599128,-31.506624594556826
132.7097676803707,-6352.59819682348,-9656.800388797852,-4291.504892600623,4615.248842374961,6856.599756768434,2196.5154699895584,-2578.2906370208198,39.38942874920443,1428.978356754772,-318.46718786756537,-726.6188933523831,-124.60548709199202
-790.2621287415353,-5247.947328675923,-8201.545603656876,-2821.3440028051336,4985.728957956638,6313.6721494871,1471.9447690299658,-2203.224852904278,795.6367120373881,1190.905173999629,-630.1895651786851,-788.4854028885742,-163.93221457083166
-1578.0704414994557,-4616.170680866339,-6957.660782399857,-1531.099579336861,5217.572111118893,5734.7294796127935,828.5457328514649,-1593.809368865084,1556.7570803871417,944.7480475375665,-870.9260794778014,-769.9397487862321,-164.54814828758197
-3220.529332244379,-4410.369164334634,-5640.884249171754,-91.99890171247381,5579.02357903942,5256.712930293356,351.6689923681462,-687.1621939912407,2189.159532828662,464.7667011989571,-1231.7662845538057,-776.2864311807493,-152.7932236670769
-5761.140405741011,-4161.943741689436,-4119.489981136879,1517.7521871448625,6054.262152308062,4764.2748556280985,20.72899209025566,457.8335577147426,2429.9907609197053,-363.8736299503552,-1742.2985011246697,-838.2230254252935,-147.76322089940064
-8276.986073414515,-3861.7886235367237,-2791.528695530878,2832.579051323414,6224.134274564385,3975.8998550328474,-93.83303601541635,1688.7361737376357,2103.3771676475762,-1401.828336051798,-2259.7467279661446,-903.33106791331,-152.13121221964045
-9664.076204485547,-4034.920814808825,-2315.856271475251,3211.765277565925,5626.838429257978,2873.416962591652,235.8778347571627,2742.2406801309676,1292.0286819135385,-2328.636116203079,-2575.479411172581,-878.368059475433,-156.21346769269567
-9444.8455557605,-4667.4449908959505,-2697.457318573421,2588.626556669724,4368.146666673859,1902.870416235629,1094.783781538798,3361.6139153979266,340.9382614191245,-2861.8590725565036,-2550.6097368550145,-695.4018060272975,-151.6765074668266
-8077.483344411147,-4750.4296191077565,-2966.5674447585043,1740.3380343591962,3138.121640799938,1528.2905999135617,2246.651252468437,3557.3267384572587,-412.8380206645027,-2979.9713567318436,-2217.168091527081,-373.610611979377,-143.4787447095237
-6732.446803032438,-3463.4431061174773,-2108.5898703526545,1573.750136362985,2558.02453302364,1910.475584425422,3568.503271412926,3530.550695990015,-1053.8201218346749,-3008.1903242237386,-1810.8848722375021,-31.28533031895313,-142.35933814738905
-6591.952612541829,-671.4285885726277,719.4490120844775,3008.3893969141277,3302.13313902257,3524.0853086785596,5316.530540915484,3059.8850419644964,-2203.4538453659316,-3484.82350681709,-1680.2583398844718,212.14720610894193,-132.32026503270384
-7711.094266966567,2101.1665042805394,6207.7858938697655,7589.972434164867,6749.688330066509,7238.760595493725,7254.707109725967,1252.5758181104884,-4514.711136297832,-4809.856710779255,-2009.787093645438,415.0965651071785,-51.258808117959006
-8262.330177140657,-843.4869231223194,11666.653432002928,15207.66254861293,13214.123752729354,12431.87378648564,7954.563327668398,-2457.614312860179,-7870.3158212140215,-6808.998223471899,-2492.493822337821,843.4706638284688,153.53269247761375
-5826.6898925753385,-12304.358117699772,11042.98053242669,21122.77054364671,19313.503832919378,16103.326019910646,6196.8928540075685,-7053.311249710527,-11098.039533808464,-8565.32322628116,-2400.485682635226,1647.0184185043768,419.0693040328714
-510.85751723315786,-22046.485759840834,4127.821359758102,20435.148051678963,20591.583023919204,15851.280096529206,2867.9410034393786,-10327.172094853247,-12664.460735357825,-8915.737223214079,-1287.5029271447331,2482.921972199785,556.5687450687907
3969.2978097254054,-19345.441576050984,-1121.3442933500835,14941.8047634258,16992.54115734593,12708.7241715639,203.85327384070646,-10822.839995087017,-11858.847083983619,-7441.690618978211,352.59375998729524,2699.8101379648433,413.27393140897277
3929.7246938871376,-9190.456647822673,-81.06778977230653,10310.336125689904,12440.446329490314,9482.880891053557,-688.1871100270391,-9103.28640531052,-9415.176157630785,-4999.174635134486,1445.8699922152957,2040.1806119457328,44.19835287459182
252.76294664641443,-2241.7704733284145,4024.385283364916,9095.297290802158,9965.785771385827,7722.2437732492335,-562.2773652575145,-7051.665057414795,-6982.79029653155,-3047.1772291209536,1485.8249200227012,1006.4397236190321,-316.6109660573565
-2168.68423320296,-1593.737801715509,7462.669523771293,10508.470690727225,10010.677971207557,7381.376400969917,-649.7226938211322,-6232.032865552287,-5894.549737078248,-2340.650923754925,1088.4585488502,388.62195557060784,-459.34839168930694
265.3510474025535,-5561.683236996798,9165.484660569975,13156.931887578714,11723.225339758968,7838.309832199517,-1466.8085517811157,-6919.649911923022,-6274.32706062538,-2360.983613485312,1247.2978173769466,504.7559727930611,-359.0707073035999
6120.736041509039,-11377.705880780764,8459.69228015484,15219.28134060983,13586.916154018028,8235.555997941216,-2807.8841039861736,-8296.936804589262,-7178.026749061643,-2065.873128860543,2199.360526258155,997.4975662461417,-151.43495074731152
