t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18
5669.594025044151,-1138.9249773138408,8308.170996909532,21324.89832712842,20275.12491023685,15489.920368356808,13927.013761083546,11592.923563143297,623.0324216535203,-12370.924927768969,-12385.740313855318,2481.6063103597385,7724.615539871358,-6669.84238795278,-7029.853469854854,-714.0778049681261,251.70798815743535,-281.9110892367076
47202.57147665438,-33930.25781949027,5241.606068397018,35470.409117621595,29536.98522678809,21734.450636991474,16060.905574597227,3684.683132802051,-13878.09663730916,-23365.874345187327,-16798.21011963983,-103.64489148191453,-931.3858830728789,-6314.253875864244,2600.1226809768305,6635.753733695223,3507.0011304123823,309.96917880166086
60629.91701080537,-41834.18115625316,-1266.247017970136,30835.436445494714,32544.709211423822,30081.55818115947,24189.647710551362,4786.796718791411,-19070.35086057385,-26924.02658430574,-17291.85212633575,-2259.530350296414,503.2261067845301,3687.066604784941,8777.625362155579,8389.848642164687,4231.871029533758,732.7849895083027
26686.036370981175,-13036.230532230518,-863.650432742729,18292.71051599084,24911.59954108578,25168.898816666497,20781.532504075858,4392.608476970888,-15303.60924416676,-20813.630933277625,-12294.252766764741,930.1856975415757,3000.9021143115056,1501.6055653361122,3047.9327436748517,3055.2798469775344,1093.9718632769543,309.3799776491392
5695.268161617103,-6612.556726670951,1013.2806344641891,13969.309934550975,18218.039172273526,16418.612192721284,9256.664438784055,-3266.0527149200043,-12946.084420930096,-12364.692537542844,-3585.6283877943665,-567.8334651747522,-9624.478694508807,-6818.953494116216,-321.43217105297964,-764.9358920017023,-2669.749690276171,-611.8752104491616
35946.78873532563,-36546.815579520124,1256.1835771541898,23801.001703432743,19737.771762326887,12025.118883792942,-22.295020331789836,-10655.332271509815,-11719.272227946241,-7481.694420609244,-7517.65438408602,-19015.583058147426,-16091.231784204365,3131.189926482318,8985.621889015505,2803.922122165396,-2999.6467810651693,-983.2887437443278
91082.73878731157,-34478.85632347064,-21230.649123551975,4096.293350086377,21252.02557179542,16122.15160561222,-13517.32861856993,-40327.04725532588,-40900.30697385969,-35428.96280379648,-35010.41083641398,-21595.739839148566,11539.740730800362,27586.85164956672,24157.529373142712,12429.144680298055,338.70654451465293,-811.2617142755747
95159.0164805811,-102397.37594741935,-22404.8830802628,69813.08081196611,93841.97445573116,80537.47977938873,24025.09387767367,-47044.70479958918,-68762.59134631288,-60722.75513818367,-37256.49259543373,7662.545060155244,37452.886869368,36859.3525796686,29672.17946623109,15636.043766272656,109.1585874566112,-1338.8074398602166
24397.52230709068,-32948.88264483774,44845.804426040915,80275.68514876567,77058.4658125406,73168.92238160517,36870.30938630129,-25561.495588268765,-50211.57174954491,-42944.314026185246,-17541.966593668327,13824.562845373763,25479.7481686276,23371.489891401205,17345.673506380972,4140.379070607711,-4019.2917636578304,-1430.7113071334315
-24528.33585562511,-5567.043916340192,38705.37807159229,51123.7106742814,48923.75090410433,46001.753000883014,12299.266197335224,-33286.62487998198,-43908.88614197411,-37334.8269582544,-24003.551596737958,-3457.56812151573,12418.268863112096,14268.110493836088,3412.8024085476395,-8182.089337753612,-5437.479246492743,-437.59091069094995
957.5151758757986,-22164.155334993775,-5322.652380535153,13374.615459668517,25147.3715769939,22846.171749882942,-9625.720485370057,-47953.127621312575,-55923.695890207535,-54029.735770898245,-38219.57491174376,2655.0696010435527,29026.541994515726,25535.23547065367,3339.2112830088004,-12493.326423690085,-5149.456896226422,386.28088311442235
40322.323108944816,-131341.2747559547,-47339.82869337562,55703.94161613472,77470.90093563519,36977.012688020695,-39411.34860313455,-78250.76193902367,-75626.44547385974,-69757.4667413895,-34055.17989883283,28404.97948747803,50710.30003829697,39756.29059510105,9894.018735297095,-12101.496251567482,-5317.179426225101,448.01455735169856
23903.475421887404,-88979.27286515274,50621.57565589281,125613.59707014303,125468.76736341788,88212.62292986695,-12563.706887914366,-78939.70588319277,-79283.00833705632,-63788.155624265506,-13566.963078764076,41782.05964896184,50200.93716577495,39066.48819335823,11956.69119927406,-10752.835062887692,-6310.024379877413,-446.18074631090485
-10525.443234428933,7854.226994345138,51103.98208479679,57426.03164585991,58417.835895052754,60416.66923290436,11723.188576610597,-42871.14155569267,-51544.59539705102,-37308.084281384276,2354.117437353492,32272.19395240285,32130.944927555778,25789.00305785477,7672.532883060411,-8611.509551495687,-5754.602563221324,-1061.31794217999
-15046.53822475838,369.20260991198575,6600.1442235042905,13308.32757930708,18079.868833704288,19067.668279730977,-13.139375023321321,-24859.645455728256,-30285.750174320616,-21643.9145467845,1797.3995161303633,17366.405778705335,16907.577103640127,12775.727218061527,2418.5251230177455,-5247.502765816777,-3424.99474144561,-852.5095604015587
-2785.285179759774,-29090.290874665203,-14375.937614768201,11869.020972290195,17338.35612763168,1780.1382115300744,-20083.861801966104,-29950.98595210634,-30715.49093152167,-24899.89382563619,-2890.9202965048416,14936.880600514747,14707.812690636076,6604.368178604354,-1443.0535683479184,-2944.950634366855,-1552.0094041042187,-525.8306277245308
-7206.398834090548,-74950.58744172956,887.6779715522839,56595.9331358009,54092.748036766076,8507.079927375833,-40019.09303808178,-48352.58025365755,-44867.52735386236,-32521.495102799425,3287.4063220880184,25341.581584436793,21306.395434955317,7071.68004860004,-3464.0130713578005,-3691.7083897742573,-1801.3223867009003,-550.1506360140766
-41692.17278246081,-34706.59157359305,72320.64387949603,105078.18064629288,93724.12552773562,43463.8996377475,-34405.672888536006,-61757.89598118935,-57572.5418911548,-30484.757670408424,18854.356966712166,36677.848799162195,28871.884387583676,10866.94296374893,-7547.294274926947,-8795.160598907309,-4308.983252057105,-1168.199179222331
-56155.46361935449,16107.19412582211,61094.433185887785,63207.096190125994,65078.44621115658,52379.65542827406,-13579.194419908737,-55105.064937980926,-53204.696279408876,-16436.78673173143,30937.475554374618,38766.001085902724,31380.885240673917,11183.043686784016,-12838.953401764058,-11876.609685749472,-5553.210490664905,-1645.424440054489
-42504.49462075618,-18114.35973519597,2424.1435929291174,19515.946144482885,28528.97129359102,28772.380641708576,-12347.0001323133,-43671.60128656955,-39625.534257843305,-1617.9870174231648,33300.68409631425,33223.347645690454,28497.279703860033,8984.714224093312,-12859.780313159123,-10605.25840729847,-5091.349285016539,-1550.571802899713
-28604.437120776012,-40855.93684039965,-1534.641516853507,28858.02169458761,30206.19973545776,11611.867747293625,-24434.04780828091,-40121.20354704663,-31481.201785440644,3504.5934700797325,27861.583378621894,25567.087575744034,23294.319314763063,7477.788581354949,-9466.761981565298,-8310.484902212118,-4063.4345032407005,-1025.3491294143391
-32882.38938488875,-35751.01252111656,19245.339949586883,47661.76122300127,41343.55131617395,3992.889684581819,-34806.81862136363,-40513.84662341203,-29867.818015515153,932.4353873354513,20883.894910969502,19838.282794338753,19193.188852774096,6746.317826396227,-7088.6533942162705,-6839.897817537741,-2573.040414331069,-277.91787948043907
-76967.21212833347,-28847.38140450272,43916.655533071615,65658.326945338,46947.594442522655,-3640.2354218939236,-38800.53378580993,-39810.775747891996,-28990.318616991033,3691.7745321699244,25893.042016324616,26912.98823680035,21122.05338026818,-2293.9155539472586,-14586.717042618102,-10922.49436156658,-4264.733752193565,-510.9352895177324
-138576.74831685208,-6258.178865537831,50357.14856885036,59451.609319814226,59318.15346290554,28209.44025117107,-34000.88967841775,-56001.23541278997,-37882.14664049386,20296.707069517117,54498.75990354983,50832.66062035464,16329.750612389624,-29580.805612962693,-30884.073842834594,-21076.537955709504,-10118.000818408727,-1417.5618950490048
-143897.80137161197,57098.62263570078,121169.129001973,123117.69817856171,132039.04867934913,51274.9160550492,-80380.91298259566,-109859.42975615272,-65975.18167580882,37449.40234715601,85953.55971582145,70944.76971454007,3876.742613961033,-52692.28079120168,-44033.91312035651,-29871.472605937797,-10724.686902487403,166.44410604755103
-46080.66767839512,-51892.81740726954,125754.72260408454,174126.28411980675,142300.7143532953,-5087.903948328717,-131029.20461355823,-138826.92711841385,-70221.09041484553,59368.633689444156,104359.94060071076,82975.11941935193,5652.804005847086,-53760.75247780038,-46174.25957281767,-25298.467588548054,431.4422725372359,3740.338694088588
52648.44617983148,-125333.78144552148,44044.850191215235,118278.8920423286,75234.84796256194,-49444.11395457764,-118167.7281536643,-111999.43276991228,-41715.12850138628,70267.56728453962,96658.90229997975,79428.32790412584,14664.145549719731,-37381.70828492975,-31820.00203553044,-6902.699691887703,10546.12407205589,4068.952643991523
