t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15
-19105.98601977895,-17416.502297041527,-15352.472481550962,-12889.605105425155,-10221.878669101243,-7792.058898744544,-6151.767590892923,-5593.328979685035,-5725.10642991566,-5442.585502614656,-3674.1970074812552,-546.8853696802339,2252.591832146982,2841.585564879891,1273.5821635792154
-17288.029427034715,-16263.998664636705,-14631.735263207887,-12251.423189615918,-9264.86394688226,-6207.848332377832,-3911.276343590529,-3049.014536134652,-3500.0005475133726,-4124.869357892285,-3521.8845606037085,-1391.0286679849485,927.3692043176911,1715.9968949424315,826.1454655494061
-13430.841575968017,-13353.369666515133,-12608.87350887859,-10968.032785899124,-8462.29909724028,-5560.723760470688,-3142.22557461363,-2056.7811624023575,-2413.0021891983206,-3245.863092162299,-3193.9825228403324,-1800.3596116999609,-28.68828365898105,789.7274107931021,444.83691868538614
-9605.01054779849,-10283.782652427832,-10359.779602164686,-9551.665746542778,-7769.922881902889,-5336.968268486614,-3044.694745378562,-1796.188465271388,-1908.707971378862,-2700.9258739050065,-2997.0914337346576,-2228.248728139006,-928.9876849695398,-35.46059182926683,126.91531664038531
-6589.342370584462,-7843.63057445513,-8608.979425204623,-8563.576929674331,-7483.440030317163,-5505.634477160451,-3300.178293486915,-1834.998321116331,-1694.2523725867036,-2508.045700955207,-3205.318656178479,-2975.906317187675,-1928.6188650291774,-786.8196167382144,-125.10913864381541
-4538.1380734693485,-6359.608597763384,-7790.565916185423,-8438.42223027681,-7904.343117121453,-6131.214912753912,-3749.2461708037827,-1958.668061832545,-1722.0317506994525,-2863.0015183052847,-4111.927983528285,-4235.068448670223,-3074.034003080772,-1456.4835346007137,-310.7150615002239
-3589.093296002128,-6134.129421195981,-8301.467595885513,-9549.769718804653,-9246.66655086569,-7201.640458332497,-4253.2875358844685,-2137.9947435224403,-2231.4083120879486,-4167.408973187748,-6018.384920042591,-6085.334236110152,-4326.885364578284,-2020.1178263124748,-433.85836096829627
-4224.219831861426,-7705.028139710416,-10637.593617085884,-12215.667145628271,-11551.824667718312,-8548.742795060638,-4714.109664498607,-2634.6924790544936,-3815.4629814613445,-6977.120497230513,-9136.139256759367,-8452.297920413226,-5576.072860302382,-2450.316270409362,-505.3569872054201
-7397.852726705227,-11864.558570431635,-15304.04897057549,-16538.95111451436,-14559.818041012755,-9871.350234982174,-5260.6348842120415,-4176.675162317426,-7387.061975974309,-11790.394525156471,-13405.561719878244,-11060.50078530683,-6658.041559757292,-2731.97953261537,-546.2591548138944
-14339.992425374045,-19352.913591685745,-22454.197174745605,-22111.600047158423,-17637.514243670095,-10947.959436861944,-6550.342214778452,-8001.270526476123,-13859.398378392914,-18647.805930603794,-18303.707746149805,-13435.19556534751,-7399.550591309139,-2880.3359971675427,-590.928126837163
-25878.897591920173,-30185.479552236317,-31347.815705276567,-27781.689180326266,-19958.03904808881,-12045.910287754714,-9931.905900684074,-15454.24781095598,-23454.363234924716,-26683.744102012024,-22786.69416962069,-15000.719192437946,-7681.861118832826,-2956.1992966210437,-686.9068183142782
-41346.28624752229,-42845.14046639428,-39978.58669110088,-31815.60406983039,-21026.38951101447,-14252.218682417843,-17031.711048104677,-26986.083480159214,-34893.183932524735,-33967.903660475386,-25511.763378540243,-15275.806815348067,-7505.6945233478955,-3068.882663326006,-887.8203561008045
-57655.27397339233,-53966.419057710445,-45392.04857012152,-32652.14066243312,-21275.608851717807,-19185.57061127426,-28535.129507536774,-40956.538449942156,-45122.870027980236,-37978.19493654928,-25342.408003389282,-14092.828412496305,-7023.3668262471865,-3357.304990741929,-1236.9625695523478
-69547.8268504014,-59202.91062923725,-44924.46974304168,-29925.721075491387,-22090.96340563956,-27787.840214704214,-42725.425314543674,-53285.83557702297,-50200.4606284203,-36682.59549570904,-21912.120941851234,-11720.793637604982,-6510.224727947203,-3946.7861737921526,-1744.104568734446
-71584.97645102584,-55267.83495182383,-37795.04573753544,-24925.249609832623,-24841.641277333292,-38818.415271859885,-55127.780589727576,-58835.75025329085,-47189.16443438124,-29661.547454780517,-15897.732410875287,-8802.598912849106,-6274.591055490928,-4892.458563052343,-2365.344430071187
-61077.00421682759,-41988.482154396144,-25858.056976366268,-19869.231381734702,-29458.539333587523,-48484.60227783679,-60242.00058029298,-54105.508284013995,-35918.081437397304,-18493.0801744065,-8790.490570241083,-6120.704452315094,-6540.569855550275,-6133.819866234337,-3000.338214350533
-39955.175458758386,-22781.51147816628,-12738.872388763306,-16412.06078512726,-33875.39679591007,-52100.69412397485,-54615.54293938472,-39421.68482846632,-19282.447901738917,-6072.6025082735505,-2281.1289845527,-4310.029514861044,-7357.9840529403255,-7487.983445525519,-3516.441527185465
-14036.864386556013,-3007.361562197488,-1895.1009227936636,-14625.583107975213,-35110.61161822116,-46854.63875910682,-39012.4593608296,-18904.62268696527,-1807.505334602521,4689.6066738272075,2376.8067142083614,-3662.1537392777195,-8582.47468054044,-8694.502751281658,-3794.2162783845138
9874.485313439774,12644.487501517733,4952.725136093058,-13286.949505950513,-31223.28090525581,-33541.295002339015,-17980.545458823068,1747.587125084272,12477.625764965598,11961.311413815536,4694.780505735195,-4096.619489894986,-9932.138702603615,-9497.659848258323,-3772.8049523968093
26990.22605958624,21944.14319152264,8042.356700257746,-11054.968568822862,-22528.01760312463,-15969.609359754017,2707.446240042998,17952.621710847474,21470.95145708274,15331.646122048782,4887.510236456418,-5273.6907500201705,-11089.19564695529,-9730.033915232656,-3470.6062688153957
35839.17753568683,25219.914393834846,8691.7316863766,-7431.6622634237465,-11229.00765179572,1249.5039926575992,18727.348342965925,27704.732073394585,25138.201421170663,15463.56457168241,3574.4460274137027,-6761.8903478181865,-11799.210603416177,-9359.896016982846,-2971.0912464204507
37659.62285830853,24267.938512758006,8257.745905327012,-2870.496456760384,-41.80436295182044,14780.882519106799,28398.46507935812,31392.59576950883,24746.051853949608,13477.229448075117,1459.9384838789297,-8178.361023488957,-11931.291632069711,-8485.316773214527,-2384.699197219675
34903.47377202927,21113.888558654602,7593.630701251597,1746.5244377919248,9054.393192386984,23369.074620670675,32282.3009506609,30704.940379602212,21926.79237735303,10446.54481721074,-874.6009040934982,-9263.59343778849,-11487.50837930535,-7285.263757719215,-1809.257034452714
29945.983723811456,17286.817155675068,7040.12677293193,5680.519369228392,15279.592059478533,27442.722982095907,32051.184478162864,27541.288554852814,18058.6043021087,7153.794609756243,-3045.6166281132582,-9893.984105531361,-10571.80191373653,-5955.258686724079,-1306.7399333731596
24463.27650905058,13659.032916777047,6649.785938383732,8597.649026286184,18820.401965234476,28239.42038182456,29482.672535150014,23390.62153341562,14045.511107008477,4056.961761544537,-4852.594437373222,-10055.429840755081,-9339.211147250351,-4655.119708479793,-900.5766530946063
19372.678248936096,10595.391019568086,6385.4662815578895,10523.408511896301,20332.842634898232,27068.19524329649,25933.136077339812,19171.406177077268,10357.55626885813,1363.1314576550303,-6225.366614251552,-9801.398419806083,-7946.013240197445,-3483.6808301418346,-586.5688496708684
15036.897348323731,8165.196701448501,6208.928278784985,11664.273374375904,20526.79526861509,24934.019064206743,22229.0968035169,15329.220562403856,7167.531254939636,-874.8022628185524,-7167.166338590142,-9211.428172782835,-6515.095931382527,-2480.2562355444998,-347.45367640864
11501.6940699858,6299.457849863081,6090.511455533651,12247.530283613305,19952.8111723746,22461.9659303486,18773.4621543305,12007.003805070946,4485.068829332831,-2676.9947484993418,-7707.764539180154,-8359.449496256719,-5122.74124947422,-1642.826843566338,-164.28472770059088
8668.86261221578,4878.177236953026,5994.023787923623,12437.731843587437,18955.74394112965,19972.18037451188,15702.877857998617,9191.839408824779,2253.6991068711795,-4079.719232633725,-7871.06391449591,-7297.773787699683,-3805.3703220538973,-950.6963007890969,-22.446495401484356
6395.942061183841,3772.6542705202673,5869.334070497507,12321.42098969154,17714.42504928312,17591.102541295924,13017.83426420392,6813.203120179501,411.4957617238438,-5100.078652867551,-7659.992353091689,-6059.780260374243,-2578.8864852572488,-382.5150667715321,86.82899302852418
4547.321915184518,2868.853102526838,5661.103448586249,11930.41018714701,16305.706119970728,15345.614118616964,10668.598002718993,4800.383419596209,-1074.9708554417166,-5720.943751618988,-7062.553056213796,-4679.231522345757,-1460.0011253161288,74.4239693654913,167.6116833970922
