t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17
-27493.070423629826,-28896.278908957054,-28929.995323105668,-26944.756225494733,-22579.94761855466,-16156.89341971748,-9002.79017461276,-3291.3692276109114,-1067.4287309312067,-2742.243874749629,-6231.8947156256445,-8020.1756034526015,-5911.171351389532,-1109.0273564251916,2790.3531844905556,3279.673406245255,1307.0960518766947
-16695.57019792142,-18682.075256612687,-19703.936224157813,-19222.665199116735,-16857.127262262184,-12726.953813121401,-7765.411778407563,-3626.2136613052103,-1891.0971854333047,-2870.9673498308493,-5032.049350766719,-5970.438770369537,-4423.925069759196,-1388.5443995477108,952.85109418161,1382.4569302516743,564.4196523919643
-11007.597910078404,-12545.248619500533,-13522.532341311071,-13582.910038048116,-12438.472378645907,-10107.072617342772,-7132.038940165281,-4520.276021367016,-3224.9919655880467,-3429.9799619900105,-4306.393727456251,-4650.86101556328,-3887.3154439612435,-2420.9103361230527,-1059.3921681910942,-265.868365200911,5.057396838116535
-7863.182198168073,-8815.060121856292,-9601.383884319634,-10056.841872776236,-9980.371348605944,-9230.395650950166,-7856.081172985689,-6174.693315634119,-4697.939472612051,-3898.8176813452183,-3933.4107494578784,-4489.221729987619,-4900.170177057301,-4542.303895995452,-3288.195825101748,-1640.248233624169,-377.7225047046263
-5315.628486950837,-6155.979937490709,-7286.840067686801,-8689.57049403666,-10088.928524985282,-10910.574598204716,-10490.50362821233,-8609.498781267353,-6018.468564848787,-4260.82575331516,-4519.155866408549,-6402.732600186073,-8083.5142611557785,-7871.644305275208,-5636.916543264385,-2703.3961634176194,-599.6742278229309
-2552.3274777955885,-4396.283841654927,-7059.603308472979,-10498.05636094127,-13969.505599498883,-16003.932310991167,-15143.854810014589,-11387.43425203951,-7039.173903064288,-5375.785655456037,-7680.317642949177,-11751.892416093504,-13882.80568331566,-12205.935593936165,-7865.279348719167,-3413.337682540397,-688.9371380313562
-475.91557554321537,-5189.601853355786,-11109.98619504436,-17733.893354657317,-23211.719805112058,-24824.997889681545,-21012.33877472561,-13805.023016702828,-8569.386552452313,-9662.556076462988,-15950.829038104046,-21687.02240166948,-22024.475285645975,-16858.90960373909,-9622.978338632181,-3765.3171275697005,-702.1206909928846
-2799.7176800721386,-12571.3272335328,-23198.187180211386,-32973.9019068702,-38367.86523733787,-35962.01571348152,-26322.162286341198,-16066.129346430174,-13618.968922937242,-21054.17784148294,-31462.935432411217,-35778.58961223255,-30933.041966402518,-20676.622085255553,-10583.88932461928,-3860.7790624007257,-743.3103208431663
-16187.0909416391,-31911.264310314902,-46526.36197391862,-56395.06058468208,-56680.531848852304,-45713.38115852819,-29770.1014783245,-21141.81896806634,-27369.729576103924,-42645.75601895807,-53195.726216118936,-50670.145404328534,-37732.00102650533,-22410.810616760882,-10660.843283103568,-3966.6763184156944,-968.3759489694281
-46757.99674922385,-65540.42884158318,-79192.85924593343,-82320.80614593475,-71154.85847297085,-49999.71036898034,-33191.02830241745,-34795.7657208648,-53464.6468026872,-72023.77818448622,-74634.99469691454,-60351.47501660312,-39328.77326861551,-21380.747385206643,-10185.374818637843,-4505.328662690806,-1550.1383058606802
