t1,t2,t3,t4,t5
104.49071280232008,73.21531935074161,54.9140593492586,29.488000222407216,8.032175897626056
108.75667295481823,76.00132159457087,57.37087879829857,31.087344567178423,8.680822593842624
112.92055900508545,78.77919191762713,59.79541975043883,32.59212132592707,9.29470838682176
116.9805148164376,81.54012590241685,62.16878704407604,33.987868952982154,9.870317943785889
120.93083189522646,84.27195959284334,64.47099105380805,35.261512230453725,10.404501263748056
124.76206179847549,86.95952923180172,66.68146249371588,36.40176576158638,10.894542290590245
128.46130276088368,89.5851553241514,68.77962178761187,37.3994924622372,11.338211204193144
132.01265756948337,92.12923949368223,70.7454864461057,38.24800144393698,11.73379852770697
135.39785047801558,94.57095662227925,72.56029639229092,38.943271672531054,12.080130154300932
138.59698214716508,96.88901935081957,74.20713439624743,39.48409061808978,12.376563427937494
141.58939363467766,99.06248742486022,75.67151691798354,39.872100643850075,12.622965442045677
144.3546037333222,101.07159081734336,76.94192989879649,40.111749919321724,12.8196756768317
146.8732788215962,102.89853327141185,78.01028452245924,40.21014894926023,12.967455912813012
149.12819115649606,104.52824206357815,78.87226977517467,40.17683812598547,13.067430976281326
151.10512043224796,105.94903052736962,79.52758178272943,40.02347577326836,13.121024247180078
152.79365459450514,107.15314227096717,79.980014330263,39.76345970744184,13.129891964963402
154.1878493672466,108.13715005843896,80.23740052356102,39.41149818228121,13.095860197879293
155.28671162710987,108.9021878984586,80.31140199345218,38.98314804644611,13.020867911861028
156.09447942476967,109.45400179289813,80.2171490606326,38.49433892649631,12.906918923206842
156.6206807552585,109.80281253906995,79.9727424876646,37.96090222422416,12.756044698050966
156.87996365412536,109.96299256618157,79.5986344280107,37.39812272292443,12.570279037306985
156.89170128792355,109.95256756525615,79.11691250680477,36.820328735476025,12.351644730954959
156.67938680101196,109.7925621509167,78.55051622289207,36.24053415295357,12.102151353188209
156.26984314271928,109.50621647738053,77.92241868788106,35.67014265970025,11.823802567041628
155.6922823215747,109.11810715651957,77.25480884051903,35.11872098499529,11.518610669290652
154.97725597778847,108.65321059785603,76.56830952688141,34.593844582682294,11.188615673606755
154.15554440173744,108.13594971358982,75.88126517655938,34.10101577642019,10.835906023921034
153.2570338659961,107.58926563468845,75.20912932084009,33.64365136152015,10.462638053397253
152.30963225412071,107.03375463299082,74.5639771049398,33.2231340597623,10.071051542005945
151.3382705027764,106.48690694574954,73.95416156634528,32.8389201827563,9.663479146557268
150.36403252992758,105.96247889082514,73.38412519313006,32.48869442785393,9.242348038544616
149.4034494497429,105.47002289182971,72.85437059949804,32.16856191913273,8.810172737314673
148.46798543792232,105.01459223466708,72.36158653641775,31.873267385205118,8.369538816367903
147.56373314909072,104.59662903040483,71.89891834823075,31.596431673164336,7.9230778383545575
146.6913266750432,104.21203545634242,71.45636579299277,31.33079654691589,7.473434494644728
145.8460702358279,103.85242035586134,71.02128618547567,31.068469806101156,7.023227451929281
145.01827163550243,103.50550611113165,70.5789773174053,30.8011640797487,6.575005815271975
144.19376143312937,103.1556746936686,70.11331266970862,30.5204240887968,6.131203389570274
143.35457211744946,102.78462718161398,69.60740105581743,30.21783863330957,5.694093055328988
142.47974655536458,102.37212793995904,69.04424392076402,29.88523495537737,5.265743575225853
141.5462417152782,101.89680311704618,68.4073658786928,29.51485438443389,4.847981027861012
140.52989213821778,101.33696304825399,67.68139744659496,29.099509231932007,4.442356842312682
139.4063977338932,100.67141942560556,66.8525930278207,28.63272172800334,4.050124102626915
138.152302025548,99.88027047811276,65.90927170123115,28.108846361390263,3.672223426984899
136.74592970813575,98.94563065944773,64.84217297269959,27.523177288416882,3.309279322975431
135.16825603572235,97.85228518552391,63.64472406326951,26.87204252374201,2.9616074969771065
133.40368482132874,96.58825393460155,62.31321930321892,26.152886434135166,2.6292331680840304
131.44071643024935,95.14525346522012,60.84691558788653,25.36434165642,2.31192001817044
129.27249181754223,93.51905000400959,59.24805050387043,24.506290991441922,2.009209009630262
126.89720318287186,91.7097000301756,57.52179158942248,23.579919135025573,1.7204659288311288
124.3183660204521,89.72167840842025,55.67612624622332,22.587753348810345,1.4449361727038956
121.54495110973522,87.56389681931478,53.72170212033094,21.533691408220218,1.1818049938349453
118.59137825691892,85.24961747582644,51.67162741190509,20.42301445455123,0.9302611617754988
115.47737633937417,82.79626881003959,49.54123968470549,19.262381786970547,0.6895617915844781
112.22771644720477,80.22517101442166,47.347850478790605,18.059804219698307,0.4590959424448535
108.8718267131533,77.5611801037711,45.11047154601096,16.824592455679714,0.23844450804706918
105.44329885123143,74.83225962149139,42.84952699041308,15.567277037012996,0.02743391535853812
101.9792975745492,72.06898934894043,40.5865541563431,14.299496856976939,-0.1738187718084756
98.51988502387181,69.30402048948591,38.34389489762152,13.033853973909524,-0.3648715758239631
95.10727319183115,66.57148687922742,36.14437798559317,11.7837335477284,-0.5449361166225528
91.78501813807667,63.906381896108314,34.0109929426029,10.563089096614089,-0.7128705048325821
