t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14
26213.284661468606,8552.906199562907,-476.6747451810389,-5829.889639221554,-13373.79156040038,-16426.742841642535,-1071.0986747381621,15333.823622074682,19871.36911888759,14027.841234681675,2158.2856132759516,-6649.423981975183,-5765.345024490752,-978.4517969756777
24672.414033210593,18132.45069789047,5533.437351320863,-11945.028616739468,-25259.243573992986,-18187.523947919646,5551.545813943505,21338.578429309426,22080.27133504317,11489.242736422913,-3658.8471629199676,-10688.422892190296,-6109.542303832775,-518.3025774596523
21454.43025408796,30987.584289227074,3740.5330782995625,-26977.15037005209,-36691.84537386921,-15557.425180123844,13560.145576786263,26439.481143585355,22159.821333791006,6129.355814975681,-10565.930013726058,-13102.991104723274,-4799.84504125264,313.7105141820161
17337.700676543867,30792.10718476982,-9323.795686095995,-43129.08388699112,-41803.14295087116,-9233.858103133827,20632.273233735104,28943.368802957106,19042.631594244296,-1612.9329240617185,-16421.66420472429,-12481.729393928961,-2008.818265638039,1278.852120368796
14009.66197352619,18270.3495766578,-23122.227471495265,-51339.25451088582,-39938.76542617165,-2422.3788948572865,24520.513208162323,27771.87909985584,12766.337511575108,-9774.648014497863,-18832.09111396955,-8702.924780491574,1250.5008846773235,2025.3137708279166
12767.641859162111,8210.699980351097,-28808.451724765517,-50957.03696763861,-34566.11421283658,2477.735799877741,24754.16011512497,23407.51831683737,5025.785588701192,-15560.52055414364,-16807.393003974084,-3406.1971779455926,3597.7187175835606,2258.8594177324417
12988.688221154353,3897.1341241210125,-29113.517429287094,-46543.04755211287,-28221.43331081202,5646.468930374405,22840.105390759203,17835.025310199384,-1658.5501726399777,-17381.780719646624,-11905.700709327803,965.8545308545167,4239.396869037035,1947.81723611272
12901.866826047679,77.37863042147,-28176.060891171266,-40791.78825008644,-21627.90569705703,8118.099476871195,20561.104229819404,12903.704167814984,-6040.4527086262815,-16205.910340416383,-6843.25847377722,3241.548774123073,3616.0959770981126,1379.9495400524183
12292.43095001568,-2347.230182003792,-25776.222493411802,-34729.48306561888,-15745.36258539381,9860.501067692145,18370.91979041269,8884.78222935625,-8751.022283354252,-13872.203197782164,-2812.2466083191857,4112.764417401861,2746.658542886556,905.1594789225716
12257.739307382983,-1816.3285483178915,-22449.503140537014,-29563.96356911287,-11502.862147693975,10364.77830835612,15861.16084415483,5260.4297598650965,-10440.059677441872,-10877.522140581757,551.2500100172688,4405.807672776481,2055.886504235141,630.5866786759627
12216.92869799155,-1859.8884665513729,-20249.827020272525,-25567.071523688093,-8483.057554179011,9985.808209918054,13176.448193248754,2202.9956508765545,-10779.39723964335,-7126.0494507303465,3146.238473629321,3992.1860668190106,1305.9056736243488,439.8054920663618
10394.814798987898,-4335.5704051577895,-19216.066724329197,-21894.473723864838,-5681.27540825478,9625.7545804788,11006.342861861665,223.53922961678208,-9732.718153319964,-3435.2481048991845,4280.195441011814,2742.6560386275232,389.64071363890776,233.2085655509337
7143.543114010586,-6499.27168826015,-17889.484806695804,-18204.373045947785,-2955.1797605210686,9562.808005783238,9511.606051219733,-908.7164141913081,-8156.422044592066,-758.1081132352416,4086.463270630933,1275.5905503229108,-399.08811093200006,38.693797535982156
4608.549476269688,-6405.311239803379,-15955.263062667544,-14980.491977855067,-836.7840379305276,9382.840370051526,8218.299341255459,-1817.6729535917266,-6665.238686924609,1015.9278994362153,3485.4688555916564,253.42814928815483,-800.9766473332119,-75.83309743494326
3285.362962592651,-5562.654990701032,-14183.674488279394,-12413.319750154425,562.4764074838638,8889.121664680086,6910.753940519726,-2586.597804718145,-5068.028648306108,2477.8418590076803,2940.9948634490293,-354.64014620435614,-899.402912988912,-102.53912812025911
1414.7195132402587,-5785.742117654218,-12807.984784390814,-9979.143262061181,1811.1543701836736,8506.362970689595,5903.87238936629,-2933.014086725231,-3123.900365658615,3649.6400773322116,2144.5207974126333,-991.2367955380906,-952.3859987853518,-92.1968394990709
-2168.048647927003,-6553.904607084547,-11204.74023638214,-7113.015342665388,3491.1550347080965,8697.513930393123,5325.1588391934665,-2907.0411239033906,-1047.9697116303237,4084.8568801533957,792.1038601813158,-1852.456192536727,-1096.3495404630864,-94.36528537397726
-6294.754809822102,-6228.117225639547,-8891.28480579589,-3853.998144013194,5554.2398786876,9233.156030851647,4665.64006082834,-2769.5257088389226,817.4209019039902,3592.6947017860634,-860.5020839101644,-2706.7326224792064,-1257.5074943994427,-116.43107179547879
-8918.953690014818,-4580.774410924488,-6319.386201636645,-878.8462468080128,7273.756056408798,9261.194899612132,3402.14720573142,-2418.665131711069,2325.0640573978626,2523.4932128251344,-2239.6618558596115,-3198.5736373199966,-1262.5255712834542,-126.28411537205139
-9354.30588118098,-3157.2359321304584,-4480.812769374397,1054.100571199735,7888.660059772817,8223.361633467535,1767.385753152636,-1502.1518532033183,3528.6446069010344,1456.1601246713135,-3011.4290212470496,-3175.0785242614074,-979.5674723754154,-81.70123078053689
-8603.63359791406,-3203.759645258653,-3725.295248085035,1860.453406072061,7365.404266662756,6391.312626407051,388.33849722533233,140.404749087619,4650.149881337032,658.5369035242551,-3339.0897498833083,-2746.3076563811032,-390.69883832439507,33.60490867445827
-7981.664308972009,-4560.80229489143,-3789.1568556100056,1772.5787324017938,5965.966052847327,4125.423791601041,-334.02609441962574,2683.1735943257177,5713.239328563787,-229.85571664101798,-3667.04829080323,-2146.422287145493,378.68980401978786,178.91589621255036
-8133.1195821631745,-5369.8076391291215,-3979.499505408211,861.1861356701968,3773.182690615539,1934.5934185931578,514.1098461227386,6128.770447688857,5811.077928481956,-1891.4777248261835,-4322.0028656699415,-1643.6815994332765,1038.203646735821,259.15413809297456
-9338.38799308407,-1482.436441851793,-819.8635157440649,1778.4524982928783,3064.2580364502796,2294.676355286458,4199.438823073639,8831.20377653048,3424.5020060315746,-4578.943856209424,-5379.0126276032,-1565.722040323145,1256.2420170316504,211.1028722792588
-11279.399019851728,3569.895783013831,7197.619258850661,8809.733346152223,8001.447349590937,7640.563784582727,9358.051523214757,7942.625746273369,-1660.5935848575982,-7783.251799211448,-6801.732842635444,-2064.167324817108,1084.982907322705,127.32324127605023
-11287.034715878595,-3445.9464260219856,11297.34115579571,18575.789592083685,17025.954011614984,15074.593501007532,12238.780075659044,3378.272021640202,-7345.122044626369,-10653.867303255542,-8258.602224898714,-2458.995215817384,1200.7213726520008,195.18516503002388
