t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14
1327.1337400043417,1604.7191844711263,1380.1558502386033,809.4411639173967,236.14459619404408,-258.98716856999135,-532.4129858180672,-383.5046340691655,-51.010898976202895,97.65979923993893,-96.98812772574118,-513.9264304504414,-806.5743441909246,-822.3023262159921
788.8482642225965,1018.1643222844649,836.91909138333,366.6783709113132,-104.1653461970709,-480.41811241797814,-621.6125712051717,-427.27913937443043,-164.3507557801006,-127.77668070893736,-396.3086787686093,-760.0900445292589,-929.5252162328377,-838.9209314198956
174.12449285587866,381.33043046640984,258.7305140441734,-118.5584827170606,-499.942594977833,-763.5213741801102,-777.3347801663062,-543.0641927478756,-342.92029649841345,-396.2426456229435,-691.2373961300095,-963.2285769835601,-1019.3511043087384,-837.209309950231
-478.5047510741902,-267.90893398243117,-323.8612655933087,-622.4258704236694,-930.8822523409561,-1091.128952601042,-984.4276679086597,-712.7708630974485,-562.7898001263765,-675.5297912705098,-948.1934751667583,-1110.7716084620151,-1076.5604620137542,-817.8284250715406
-1121.506227907101,-885.8961353299275,-875.6127971577226,-1114.7274891071013,-1368.6000588100421,-1437.167492423049,-1218.9020008734897,-910.6694556743824,-794.2111501841497,-931.2257759322274,-1141.089156837471,-1200.102540987173,-1104.4543740524296,-781.8594101231088
-1708.079869528,-1432.1778000513698,-1363.9135182209352,-1565.2651800243934,-1782.630301959629,-1772.2634978508227,-1453.203974062866,-1108.6934117708272,-1007.4745348533188,-1134.1152496573425,-1257.135286163011,-1237.6941952240552,-1108.0211816974129,-730.7054294268571
-2201.16426262292,-1877.1768859898618,-1765.031947047333,-1949.8244834120042,-2146.5790308608584,-2069.8052667480506,-1662.00074216489,-1282.008688690559,-1178.578538807438,-1266.015878349544,-1298.3069554921021,-1235.911351667647,-1092.721706168536,-665.992369896236
-2578.46348830561,-2205.7813828058825,-2067.0124828686253,-2253.613643333445,-2442.221756000652,-2310.3372860307486,-1826.4829188864376,-1412.9116474525172,-1292.683856751368,-1321.9259778111154,-1278.23401074124,-1208.9047691286464,-1063.4453149680462,-589.4680457551373
-2832.3162806538503,-2416.1853584090563,-2268.6738152268886,-2471.292299015161,-2660.3953656102417,-2482.9987129946135,-1935.9039517379333,-1491.9380220343337,-1344.4586690805768,-1308.2395686022776,-1216.4323610747158,-1169.127599360444,-1023.8179567595579,-502.91097731022046
-2965.9340018749876,-2515.7572297747924,-2376.1674098859166,-2604.5262979002523,-2799.238965402991,-2584.2816134739705,-1986.5500991943525,-1516.5723854180499,-1336.0948715859015,-1238.7077243866124,-1132.6478368930077,-1125.4025016776345,-975.9294840774479,-408.07112583333316
-2989.0836365423984,-2516.8696272791776,-2399.52544856864,-2659.10591718744,-2861.5834906768164,-2615.6754414470024,-1979.5932362638064,-1489.095332212516,-1274.7774674150555,-1130.4292048121472,-1043.2497095931276,-1082.6015588444238,-920.4396384785555,-306.65663640696073
-2915.625511649753,-2434.728298125917,-2350.904066428709,-2643.3025039767685,-2853.2125887964303,-2581.8834332674105,-1919.4204212847985,-1415.0559209702683,-1170.9980242493107,-1001.1604720551107,-959.9543451941952,-1042.364086307504,-856.936545857474,-200.35816480111328
-2763.047073554374,-2287.056037274238,-2244.4185547724214,-2567.6432104915543,-2782.4428985790405,-2490.2257697759974,-1813.0260120854186,-1302.7331056680819,-1037.7532354582115,-867.7040898423604,-889.9572877913779,-1004.1097410207251,-784.38660090408,-90.88903870601914
-2552.1411118937563,-2093.7892053907904,-2096.024372174917,-2444.8809553605406,-2660.075906601517,-2350.516796527851,-1669.7998106514426,-1162.765687899966,-889.6068706464471,-744.4314033001804,-836.4167845133215,-965.8301601627297,-701.5488364475437,19.97470747652821
-2304.8596564445743,-1875.050302619299,-1921.9431899932263,-2288.7552868188122,-2498.4016498510828,-2174.2260855751924,-1500.613000717826,-1006.9035071809577,-740.7410550748585,-641.5202573275943,-798.8230842313912,-924.5148896839337,-607.3095846916419,130.35948199059928
-2040.1255213961406,-1647.3660685548573,-1735.5442495803538,-2111.2735093289334,-2308.8402595671414,-1972.443632843684,-1315.7957803268541,-845.6955166147387,-602.2509572331948,-563.4493164217894,-773.3775101843817,-876.3598874527715,-500.968357224648,238.27025369537043
-1769.4552084111667,-1419.9150104293954,-1544.1517095085328,-1919.7049312464703,-2099.172891504708,-1753.3888246220981,-1122.742629088609,-686.0601165631261,-479.93676653814407,-508.6443405731037,-753.6682783074255,-817.0176550099883,-382.52293820024664,341.5936425086171
-1494.9194765483319,-1193.032384106643,-1347.6987952397715,-1715.072034066076,-1871.9867705652716,-1520.8724669582577,-924.4673480748909,-530.0785376321294,-373.8044527773276,-470.64149953572894,-731.7433822253931,-742.0948826582814,-252.95601172682154,438.1466107392453
-1210.753231064491,-959.9898062546201,-1140.188163019525,-1493.199419898356,-1625.4118403105404,-1274.7055869480293,-719.9913054713486,-375.7020359865627,-279.4849952302051,-440.3025423554282,-699.4489792035413,-647.9595631781335,-114.45966625839179,525.7731108292385
-907.8290764695936,-711.2012075798284,-913.331627329099,-1247.9324295765962,-1355.9087684431008,-1012.908334398274,-506.37395426547994,-218.93523925449074,-190.7097024628519,-408.2098632626273,-649.8161689869845,-532.752325359826,29.499929801138947,602.4637961579092
-578.7679075884445,-438.83790560465474,-660.6685552182304,-975.0065145944699,-1061.7440499155207,-734.5690866461554,-281.31100039951235,-56.32470405582126,-101.64998925112556,-366.5786085067021,-578.312062376044,-397.3465481301139,174.35526415058882,666.4574943876489
-221.5182281651338,-140.00576450444584,-380.4990607953712,-674.9032083884559,-745.551165764499,-441.97949321013573,-45.09502727128324,113.31627751767917,-8.407657317534145,-310.4880716058992,-483.7946866755317,-245.90127941141753,314.8662830423697,716.2950210273824
