t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13
4488.939358870495,1058.9005119918565,1723.46912491625,6952.169296511612,12374.758411737197,13383.016202560946,10147.221420646769,5106.470467942767,-90.80948048491433,-4123.7743931764035,-5258.954342373086,-3197.8617152377296,-536.1520402401251
3434.079220814141,1225.3194747789487,2921.8413354092977,8170.301628800659,12460.704894392968,12297.750637677593,8659.106711584402,3794.648215936125,-992.5184597535426,-4438.986611805869,-4933.225896138406,-2665.078323115343,-290.21262535767454
2548.016469815905,1349.8104718847085,3749.8721547907,8753.218116940156,11976.972833855301,10956.450370230594,7163.438806182916,2566.65062742443,-1782.499788006642,-4619.1127147817,-4513.794670042422,-2143.0107017569944,-75.0992116963219
1810.397368375155,1414.9974566621406,4255.637287688123,8863.298880607354,11148.865301395057,9535.164615444064,5748.703002433389,1457.8248497447048,-2444.2079231609937,-4662.915225880979,-4022.5368943632952,-1647.6843276060195,110.00524509190842
1193.17164490268,1414.9031522888624,4496.66488182121,8638.744519300206,10136.476192796315,8138.399010375664,4456.69145251225,482.6227719141381,-2967.4335419448876,-4570.981581161064,-3478.5509035710534,-1188.4894424401957,266.95053859599864
670.6597168908204,1351.625796696109,4527.585285741046,8185.948988535071,9044.903710919223,6821.894772472611,3303.217155277806,-352.44007602899785,-3342.1668255981645,-4344.4631792078935,-2898.932021628058,-770.7681520695464,397.64754070578937
225.12588444723787,1233.9221849489738,4396.668366586053,7583.460475652649,7940.41593363861,5613.124123758226,2293.4767668924615,-1040.3933995534217,-3556.322290706067,-3986.8720028640537,-2300.9607801479156,-398.0597289304273,503.676692353318
-150.1865945520641,1077.732922979246,4147.846702129709,6890.813342272764,6866.153199153818,4526.667018786301,1431.7465236083592,-1570.14235822454,-3597.689819988501,-3508.282936221778,-1704.3474710752741,-73.40110886940857,586.3014138763009
-450.0414118439689,907.2481314428475,3824.5785994767516,6157.49500376545,5854.173784959922,3573.8087229245207,725.6759069966624,-1927.591487427592,-3459.766836944618,-2930.205860201953,-1132.1288313287046,200.45718903028336,646.6918840267615
-658.6768128292965,754.6063875560073,3472.489111634226,5429.116493696898,4932.551418974117,2766.5609724427736,185.59718094636833,-2101.1557020401883,-3149.7745884814244,-2288.5369502229696,-609.320534147917,421.6699990051842,686.1942056116104
