t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20
-2870.561765128016,20029.123486409586,18841.286533147966,8401.844799097156,-4888.353383897588,-15866.08888884571,-21640.568684889317,-21529.834692822893,-17170.100692060383,-12269.230569552192,-10805.215723520416,-13955.813421792896,-18452.23041242775,-18969.00633721567,-13139.544650730586,-4077.5736620131815,2584.6374948280086,3949.83380067263,1796.4097164887846,-236.14156747604852
-15605.602356315436,10205.622991489812,5357.622867049593,-3399.729507448692,-10107.587811433736,-11514.904974836256,-7751.173255258652,-2192.0871926372865,169.48768030310973,-3575.1338876453387,-10780.862149405664,-14400.20286801991,-9555.970619569853,803.2314403878833,8282.678956453457,7468.61873673163,844.8728266262356,-4774.782439946984,-5275.97732935646,-2363.8790611051045
-67307.70158924462,4425.552336711599,479.6022335774886,602.362771331407,5722.509939144168,11967.695170942594,12718.655700816189,4089.280018307712,-8978.497174360054,-13444.776557519172,50.62688772768337,24091.666550339647,37518.52074426482,25789.04736186634,-3657.924863099352,-29191.939027481014,-35693.835920412355,-25130.22956332431,-10187.95900438835,-1816.447598554427
-52774.97747664222,19521.498940995894,23835.387956114726,22608.565232247904,7100.07876211312,-28143.148294607403,-73116.77827983175,-96618.93278203433,-64159.290850535355,23542.71303798313,111802.0885709336,130937.9559753804,63666.53967323375,-36625.37037104877,-99547.5654762542,-98667.30104985961,-58141.88368215143,-16836.641095013598,3129.852989164549,3153.688006355546
57134.28753334904,320147.2257843072,288291.42101202445,205910.80809157304,52187.820020299536,-149698.04177852502,-307253.72739336995,-299643.40537523926,-93134.06140089277,178523.19845837596,303407.00463332335,194039.47658610632,-31886.78277067981,-189006.78570478977,-199085.72165699865,-115018.70016386212,-26240.42515784163,18963.23679394335,22024.915542540282,7499.033482339381
153552.42885195257,561976.7058494376,562760.2604382554,459467.67728443537,187962.76369477887,-203558.09829457526,-498748.29341876786,-444128.4931199065,-35810.85476357551,380369.45272224286,433571.3856389387,126091.33149728173,-215179.6093979764,-328795.41443861317,-226750.95517226707,-67704.48220409386,32979.04598317321,56916.28240227682,37528.898284923605,10814.74045527557
160030.93826464124,410715.1937149987,409355.3925443675,322498.4015289763,83283.06029175594,-266827.6238885814,-498154.6398765266,-344626.0730851833,138390.99967919063,498252.97211665043,373148.1618766092,-69310.72357462985,-382054.68088721327,-365284.5203266524,-161232.28010883622,20259.95101969056,94728.82768139063,86986.67518479055,48173.34515300097,12865.685644010386
129576.37245828741,348205.4449072002,232938.09162290258,37717.197863860325,-198435.0625787459,-366936.3006282655,-332390.3274256577,-48208.72022857832,311698.9655157171,416943.240325472,135762.48443995893,-259139.5502357827,-411301.75792853447,-272437.7927845613,-45539.36908153645,97749.73707973375,128998.95844598665,96702.90943460863,48821.09540292297,12048.904348095992
162255.55090744095,185807.06607649277,64950.19220651542,-138514.84493298252,-333529.30869240995,-346856.7354785151,-109423.70026626963,204930.64622979058,339202.6666737572,197514.52440641864,-100551.1630344082,-320115.51420151815,-309706.9734497476,-131805.9621803946,46605.28014449002,130536.11075177422,128912.60879102301,87459.32153539296,41079.10226416528,8935.899260926346
251933.63639086063,-760.6934844246941,-105221.04297809272,-233025.14453134462,-306317.21100140916,-201860.41240870053,78803.10172125367,293120.2081844629,230105.01647647054,-14250.563861162926,-216981.44061090364,-265467.6675749437,-170582.15057080096,-20373.736064756544,90282.90573495498,126689.32702756759,108790.24416125736,68574.96055057494,29148.304029132312,4789.38009099356
331642.5225274025,-110840.34034303555,-192161.64234807095,-244779.89305419754,-206636.16539871422,-40638.144457116745,180044.2851377886,249183.55866874353,79859.66676204119,-137989.66904193934,-218820.37969688018,-167202.65212083937,-59469.25748513239,41678.62442951086,98393.7687381464,106187.04807632482,82478.78619312991,47218.430085414664,16436.747595618854,964.054014376443
357169.8787290167,-156414.24413738705,-201953.125883038,-194005.4606115228,-95486.60821348778,68066.69023224716,194139.85044510697,150511.77771176046,-37168.24060785811,-171597.24564228207,-162108.91314762703,-78871.99135840009,6619.1906577621285,65446.90506987061,88813.49993746668,81865.23924998837,56981.66957600053,27434.551202343366,5690.78084447309,-1434.3294281169751
331880.9960598844,-158863.80051446034,-169412.3291774691,-121234.75011308743,-9203.677472482339,113911.42553738502,156495.7225980513,55016.610560256915,-97724.43499798038,-148936.14270121438,-96329.3192427075,-20951.836610211092,36542.37953518946,67697.28102175645,73060.8487368727,59089.597270131235,35080.72130424536,11733.71357584903,-1149.3210268682478,-2035.7232818575671
283455.4437305846,-138090.54592946367,-120941.34140899972,-55795.99447936135,40154.547962035256,117395.4876339524,103415.47168481472,-13863.859404034167,-111456.47423419019,-105646.05664667902,-46611.46591465362,8977.693580846968,45752.259702430245,60930.79811244796,56755.19387000423,39666.12648982155,18095.147785196183,1675.1000908352094,-3564.146162307624,-1302.6074578928121
232475.54697863912,-105587.76019276163,-72263.18872558125,-11554.311919991469,60205.63557869671,102509.60052993266,52199.12985286687,-53629.43141067011,-96396.47170219194,-64977.63141687261,-17210.07037165849,21980.414866547708,45970.06752699252,51582.42703820119,42125.683453642465,24456.153168584373,7000.821480090509,-2404.5344542144544,-2653.5094704103008,-156.74066975358647
183722.46864745146,-68087.79901882815,-34803.80559686636,11257.384707255038,65935.89943058342,79888.58228365667,7913.833941380595,-66841.7278760614,-69166.70685200476,-36044.57512325782,-1798.2217027669822,27133.673026790184,42816.567915763604,42477.07207008942,30782.37653442539,14799.670219935742,2232.1248168513553,-2240.72182008319,-1093.8801077033972,390.21057578365185
133455.61126137277,-35651.99826864033,-13868.62558549113,23490.419897769327,66708.60614550654,48460.86538965953,-26464.89161337215,-57634.82095965563,-39884.25474793918,-17984.0367655763,6223.425686693634,29452.90960504292,40344.3078596389,37521.50276906186,25901.711846531856,11407.560844353528,271.5007113236529,-3963.2146771701805,-2920.9210332112702,-310.5103057787371
87161.64149635946,-13161.424640699974,11059.332797520377,44359.13028868852,51503.35598790243,810.9550766701332,-40241.15191091918,-30720.41905724645,-19214.716632708416,-9198.65605846076,15251.552174992192,38962.48350966057,48498.60478149548,43765.10396406512,27466.10281436598,4860.388074788957,-12752.753440670442,-16097.084141854091,-8478.757978833288,-865.4168967116069
83651.84741807928,41062.93312728651,42285.109846978936,38563.60334385786,17867.89381275475,-20719.11919110922,-37086.51372512788,-34214.28086218832,-24568.7919931676,8263.402341047757,50494.10201835998,76330.68370894832,78376.00438670177,55849.5849361323,11666.812531384328,-32875.557271616686,-47218.32614759811,-28623.12270407217,-4984.152627127353,2662.9484270226703
154176.01351704964,-9352.372742988302,52685.465082735995,126607.0753912102,95533.80721199575,-49477.00364163072,-145310.32423292164,-116838.12310139085,-19855.145303167086,76740.90821704926,132899.91075975055,141402.1110701969,103799.47784590375,22895.472941065615,-66824.30971648773,-100754.57463329677,-60396.761721358416,-2887.4864073205076,19520.116392481814,9940.375707087787
195716.4580024866,207889.3012771236,355748.15632538544,354145.1945868745,68237.66485738929,-269238.55169189814,-330613.7849567196,-150740.6659730681,58454.96449575478,184619.4344275677,217811.35894923567,172747.95950775692,56286.16413691242,-90230.83410349044,-163062.8469819432,-104181.78124137632,2243.1340047072754,50505.92922240994,36620.755157905936,10502.562445575777
137478.2816644939,375697.077770971,408591.09641533595,233923.74126295384,-151443.50778152386,-405872.3637862994,-313009.43579827243,-50051.23463758735,161863.93886461176,255335.4188672575,243502.79301007747,136082.81330178332,-44835.339531304606,-189203.4724248577,-165418.46557692325,-21949.65477595994,70438.37531653141,63029.446004968435,22897.41564289314,3198.1808834755557
76099.59077941667,307736.86082962935,321787.7474752111,138822.57414001497,-184021.98356034796,-333120.06967299717,-199258.74487552905,30271.484576007308,192350.88379909014,250034.5753100948,211346.90894703296,73662.62318921651,-116711.25921240954,-203399.8422609811,-98140.86633517365,48071.50198991053,82746.17679398273,40901.014217780445,5401.14305444785,-1069.4081191158648
37814.14302358124,317607.5796596153,285892.3377986627,72089.62112697006,-213589.55195454435,-297790.3150126107,-150503.85472081724,47352.477075179704,172881.37200912533,207593.73922216496,157161.63482378874,16257.051278103498,-149163.79444410364,-174181.36897813715,-33107.69043209417,80851.16314523418,73356.1872338767,23558.866771216897,41.419621957374716,-282.28281944994944
1761.5387059979944,253399.83274168597,206865.74642221755,3619.465072399857,-222184.90725158408,-252670.98620093387,-106600.22499247822,57298.73806459393,147273.08073187465,156424.72198485123,92626.12177561688,-38231.82443038872,-154779.89132392954,-120067.66494003334,23650.37496054768,89844.30391665726,52863.35118057984,7647.641400052922,-4070.2911085491824,-253.90011695082524
-14985.94625855465,238624.1045435892,170090.98137378992,-24439.1333207255,-202287.24566107246,-199752.04839391029,-63962.50900802071,68655.24669791845,128069.1858738391,113335.54073393394,37354.09844332346,-74424.50181226218,-136737.4709988762,-63597.62783567411,57333.166422058384,81070.8603917963,32881.678761920084,-936.6137734559395,-4670.043851550423,-120.14810949160051
-23310.155076798375,196522.4667209294,126308.77183753614,-42161.957771364636,-174461.65027273676,-153929.12658929476,-35686.56072121487,67828.20536461829,102609.10519224327,70900.83374619223,-6393.003199617122,-87522.64194997592,-100976.68794726994,-12422.63321938189,71670.90550086636,59558.11742101539,10627.235675977445,-10100.396185817615,-6609.128595099604,-406.1206152526888
