t1,t2,t3,t4,t5,t6,t7,t8,t9
-8.295128345222327,-41.28132085462449,-61.558668786281245,-88.94728289115575,-109.5032102845999,-115.45263478869617,-95.66673647900778,-52.46076829018703,-18.482410443682568
-10.836339087182994,-42.95955247021035,-63.51539598291415,-90.54242897069693,-108.6768933832129,-112.0707607184917,-89.61719724562332,-48.839262412482285,-16.711933685526354
-13.293145575477455,-44.56129599604174,-65.3585652824102,-91.88522487991786,-107.60258091147884,-108.51335746472324,-83.72874543515324,-45.54601751452425,-15.024552190880923
-15.299669977740932,-45.78454273604236,-66.83239612116668,-92.78509141583574,-106.15086123720445,-104.68164541721646,-77.96293299321738,-42.51154873967275,-13.421806525844694
-16.08061274213719,-45.97811194524845,-67.36175936625624,-92.7872785214718,-103.98565878560866,-100.3298338653554,-72.19756663669867,-39.61555233469737,-11.886343139111833
-14.59801743023236,-44.26329733978871,-66.15375283133375,-91.25620172274877,-100.63213056992495,-95.13037361836567,-66.26430995251947,-36.699400166354856,-10.38524680390919
-9.73386343810239,-39.686000650723116,-62.330324539967044,-87.48530546814297,-95.5653142021549,-88.74823618985671,-59.98354650499895,-33.58137915051931,-8.874921871491733
-0.47815139661979256,-31.374437751953856,-55.070497638083474,-80.81543956129707,-88.30411885117238,-80.90999829856972,-53.191947245842044,-30.07385333602724,-7.3067948168322046
13.90699797481185,-18.67810587888486,-43.74037376841458,-70.74327116271006,-78.4951462991868,-71.45574388882554,-45.76081519739184,-26.001392971851338,-5.633189633274533
33.7708820542146,-1.2683570469311802,-27.992373848375895,-57.00393819255859,-65.97351893266213,-60.36626360332453,-37.60564412139089,-21.218775257506866,-3.8128917288715023
59.019649760895376,20.811504977179183,-7.821266484647866,-39.61727950927559,-50.79267501721836,-47.76359178852725,-28.688937793510362,-15.627627576924194,-1.8160786549833103
89.1268879360165,47.14977810943172,16.427863859447456,-18.893447614667146,-33.220906837206385,-33.88828710308317,-19.018997332486336,-9.190384254152855,0.3716045812636981
123.20207951677827,77.01816670049509,44.0968955565984,4.59973108912631,-13.708094359360182,-19.06091498043697,-8.64717194068532,-1.9402012712303787,2.7460315078959923
160.1013536366607,109.45963815000351,74.28797055714212,30.099773071380202,7.169400880127987,-3.6372168185006633,2.334753613594609,6.01443868115069,5.282890870078002
198.56007576763207,143.39606433933952,105.95936714286688,56.73141213005271,28.7750627543657,12.033733803430536,13.796450647139206,14.491460160490648,7.9375933284372575
237.32582768810548,177.7384108187948,138.02889132160658,83.59441779663675,50.4786148792665,27.641162460172836,25.570662606459237,23.243885182603815,10.647081013460564
275.2729211716187,211.48414431047289,169.47067357548,109.84523569273865,71.71274963502411,42.93006099887379,37.45571399257959,31.975507132821214,13.333719993980566
311.48491035235986,243.79062721470484,199.39423436309605,134.76287264432602,92.01333572578963,57.70415307433527,49.220362151789956,40.36283274755621,15.911218227937717
345.29839402009486,274.0185865591535,227.09891206040936,157.79307917663604,111.03988748002712,71.81716517468905,60.61225795282955,48.0817422177721,18.29217273264599
376.30840889907944,301.745237379383,252.10134974313257,178.56884900935214,128.5767513647825,85.15729188951512,71.37070162683494,54.8364969514092,20.3964741828318
404.3417206880792,326.75136950435297,274.1378993346965,196.90887312975505,144.5185387314695,97.63048178964897,81.24353893998418,60.388060856398475,22.159478659562268
429.4084443605646,348.9899830863627,293.1469054332094,212.79833428006714,158.8453678249571,109.14760169788433,90.00710771917814,64.57835461768077,23.53869529889496
451.64420413454917,368.5455194606763,309.2375283527891,226.3580075001763,171.59426489581645,119.6189557344283,97.48728609590968,67.34717497166635,24.517814035099892
471.254449230962,385.5923620259441,322.6519978138447,237.80797773501334,182.83263645394337,128.95748541722372,103.57906172877333,68.73916064300792,25.10723960770116
