t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20
-20000.548526124465,-27147.143817629254,-46470.74093138287,-79937.4657268309,-121016.68866746388,-152484.2368364058,-154490.51495878704,-123160.53906978211,-82348.9102017631,-67760.1597490125,-92767.62652332654,-134484.0437357725,-157358.66666902247,-145226.01152213116,-108231.71977689274,-66720.53484992399,-34891.795126775854,-16280.633202750925,-7464.758817035637,-3231.630360467313
-18614.973107231097,-65738.07066417982,-122365.65848415186,-181522.0199000375,-223846.6121527697,-225777.6212549013,-181768.82411482956,-122258.18406819613,-97360.57440041984,-129935.41021793432,-190051.16051951618,-225152.7375304002,-209283.8121166611,-156597.93978162334,-97494.04405324055,-53063.20061508824,-28150.921333686114,-17240.140360190184,-11892.868442316038,-6001.111501784709
-90299.28955960876,-168130.2054693575,-239074.6641957126,-284816.7515498955,-282186.49954127014,-225177.15561196383,-147477.46889409304,-110222.53048505697,-147208.60886994237,-224881.89357020592,-273555.41804202076,-254955.17272023388,-186692.40393144908,-110882.73408831513,-56821.12007246895,-30583.943151663934,-23814.817544951118,-24113.151487343966,-20922.813258187656,-10180.816055748586
-212301.21153174702,-274140.5607697603,-307596.3196925424,-292834.73744070256,-224365.41973559675,-133731.254908168,-84607.32016999982,-119937.16768588424,-209213.3196315946,-271043.674044591,-253558.23449595072,-174601.80849200953,-87147.78293725871,-29205.62113626043,-8258.77090298875,-13066.878067476706,-27590.94657756117,-37341.28512578039,-32513.866706941608,-14127.80835323431
-279575.7003631152,-281407.42957331653,-246999.9971957169,-170486.74772906819,-75685.63109933432,-18223.876571696757,-44689.39942114468,-135172.00828968265,-207696.9358513162,-198047.8162229705,-117851.12124472544,-26274.440272651915,30468.46809678757,42534.00565293217,23042.922633948492,-9712.291758520023,-39361.77034872544,-52327.79581303414,-41557.02818599369,-15598.938041057972
-223210.97997554846,-167214.6492299988,-87842.95643997511,1778.639873915213,61759.20822557978,49379.47479127643,-30304.434807366306,-108383.27213734048,-113725.26435191747,-43946.46039406384,44259.97785404782,98318.22814855748,103994.84809207145,74226.55202764593,27886.123042637955,-19118.401598527358,-52962.17912474446,-61771.05639420148,-43135.8374457009,-13613.084571918356
-90476.43651403413,-14970.976817921244,62427.253844091014,118728.8738093482,121169.5076108478,61845.77702080646,-13737.54065876996,-37628.9345465962,11114.779467576675,89347.71121256602,142186.49347993475,148388.03695912886,117651.52216107756,68077.14041352802,14088.71866594595,-32854.08788401733,-60868.46849201746,-60687.296384342866,-36345.10790787909,-9354.898539051106
25876.292965279947,87507.55129172035,135631.1342862092,149178.12636945787,113931.9772693547,50094.32221946658,10734.803962427435,31986.627099485213,93801.25945219754,146336.33748593944,159903.09959101555,137103.9647466862,93820.21715603351,43417.76391918649,-5111.42240795659,-42740.41380891727,-59118.8582403179,-49621.04716888696,-24792.20863345365,-5027.381622214162
83617.34073656079,121589.37150863082,140469.64606226792,126421.11663346874,81082.34061808509,35510.56659502068,29571.017316589816,68786.34791333189,118245.80586069994,142325.31906526894,132885.29734446487,101133.57391518897,59887.91012529576,17238.123153501394,-20453.276872216986,-44970.97958928703,-48744.30757671571,-33559.64910560146,-13505.92252859702,-2079.8888729221167
96919.94093403425,115773.30293330258,115770.21420008902,90012.36551740495,49190.83463779387,23870.07177303165,37138.09677012348,76756.97093827985,109294.82140952718,114931.71133878382,96587.5890736121,65681.65142430295,30851.514704001132,-2529.3909205519885,-28554.070580225893,-39980.32884400424,-33950.786679245815,-18246.711824030826,-5611.045576016176,-622.3164467856118
92921.74445590308,98914.99086043959,88186.25689269067,59077.624537071344,26673.71043168349,16887.69287080001,39119.752773280445,73084.4270415553,92080.59948715803,87610.77535774698,66868.89088897071,39201.090052283595,10528.85069022528,-14491.233647740302,-29822.448932576153,-30494.341928080998,-19331.16461218637,-7145.637352566011,-1421.1676382294036,-33.33101181109697
86595.43603066543,83544.36525640007,66424.60910793433,37629.94797263984,14149.68507681782,15881.031471131339,41670.54048842227,68517.01072496329,77335.22916203461,67069.03658306957,46041.32763774569,21455.743009293,-2140.885145902799,-19923.651302006914,-26231.27734014688,-19679.975714924247,-7857.211187630471,-705.4798756801647,398.67461727873643,297.4745062568296
