t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18
772.163106903031,1975.4113813334063,5282.770560543463,8509.395948255498,8749.279134571832,6174.943137714951,2585.2342938595384,-1103.4559547416907,-4351.704280234456,-5930.50719502599,-5028.078061331561,-2928.6495408959818,-1309.5418751413965,-400.81674199883923,260.15541653886555,889.4018696114954,1085.1094905462683,376.2422343759137
14.303967842073028,1969.401631276768,5520.551212224748,8137.6739562020875,7467.553257726376,4401.8098687768925,705.6377184823696,-3013.5091307192356,-6286.785511709354,-7745.985484641992,-6597.0011746920145,-4271.492262771624,-2412.5619211532085,-1188.8300188769877,-138.95643183964432,828.3277276698836,1062.2684680268333,216.58164150522424
-516.3100565443452,1927.4053542192748,5543.93625666917,7620.398252535798,6310.0795425206925,2970.6699332019834,-760.5845970018875,-4485.364134883042,-7667.495199275329,-8777.457638212423,-7228.699357239674,-4727.070949256249,-2790.2323414171747,-1412.1390843732763,-128.223853449977,950.4760638588128,1005.5901559677718,21.634728712221317
-799.0728416962576,1903.8579617826583,5414.005981889966,6993.08627737665,5268.134665328757,1854.3994892484516,-1803.3734213950697,-5431.005518912861,-8348.9841127759,-8956.760498168049,-7049.20207366375,-4537.618949918902,-2666.0413602458784,-1239.940549848351,134.10577373899298,1094.2717774011223,842.0697240658367,-200.75185430824325
-828.4993597667897,1944.7887663676565,5202.535721127517,6319.321702030965,4362.688388769947,1039.9694759006195,-2431.852217781763,-5838.35460551533,-8346.782307539233,-8429.046493576014,-6325.303422279523,-3967.865129458204,-2245.2859867125226,-845.1508529775857,464.35953030936207,1107.7807107669619,542.4885196655636,-433.8820470902708
-656.3433939940496,2034.2761042327916,4930.52655350029,5630.427261676384,3593.7552012580054,490.4536594786998,-2698.7752024955785,-5774.640217536983,-7791.648738107227,-7431.347361678473,-5324.71300446205,-3233.273870168895,-1702.454125782329,-406.03912082590773,671.308229591865,883.4646127798433,121.4453815665886,-659.1740550270354
-406.76327743240563,2077.288100521929,4547.060045702163,4900.44626587506,2915.7398838446716,126.66005323364482,-2706.3172677587027,-5369.209915431144,-6873.12516961713,-6206.905335195822,-4263.632897564284,-2501.587149395185,-1199.449781498946,-109.76511754338185,586.489595629613,385.97275413800406,-373.9390238187601,-860.5109181295568
-268.7617197255508,1913.1033188101005,3942.6062459495,4052.2294494473344,2236.6211219461134,-174.461677698963,-2601.4228094451746,-4794.813588638415,-5802.688798017571,-4973.442152733578,-3312.9867268528183,-1918.90134448857,-900.0534664485632,-135.1351178113428,111.63690801837464,-334.7488958465297,-880.4686306417649,-1026.0605361100706
-465.27682325028303,1355.4843249324906,2988.8546937443184,2986.4538408616863,1436.297895609299,-566.2553278505932,-2561.926216922937,-4249.89037492376,-4794.93211054089,-3921.4453760070737,-2617.5151596443866,-1622.6066333152062,-956.8835806705303,-602.5286242265734,-730.5345072201219,-1154.7141914817917,-1336.088906745446,-1148.6115491230298
-1194.8057481465048,257.35436321074735,1597.4209801096697,1626.434991042152,401.9490435572406,-1200.8476447184028,-2766.9335569744026,-3931.396909598757,-4047.698494188596,-3209.7961519326655,-2295.266684120038,-1722.7131207512605,-1462.9312208703523,-1504.0136882337868,-1776.347735840865,-1915.4515952128506,-1694.5669099805289,-1225.2216561340979
