t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11
1943.295677965208,1890.2772612041995,1449.7060815380403,954.9763601012763,551.839876578234,259.1085735518584,276.89110869248344,516.7807390332922,587.1466612620344,280.1336608218038,-232.637275116127
1855.2903876038688,1783.5081009943206,1351.2596036844102,882.9025039651975,507.780475798648,253.41893767243684,305.5632881017367,533.2344625551772,555.3635396932767,205.0681767270979,-296.16032794371125
1758.1518608206554,1669.0408559120892,1248.966841651201,809.9265082983627,465.93671977688456,251.86110881960528,332.96214198682947,541.1936143901648,512.1341540964391,124.4637805204122,-355.87477610098557
1650.781261993077,1546.2811611207069,1141.9338292535447,734.5218654287418,424.1969322254986,251.32726291198674,355.6757530217745,538.3608680501576,456.8716529133722,39.78821833066321,-410.9045410086969
1531.482730638353,1414.1203553091564,1028.798333875975,654.7227753009449,380.0449425266897,248.54391505754367,370.58154481718435,522.8849908871639,389.62828781368705,-47.167900746274675,-460.45231832639564
1398.647320530253,1271.529330426414,908.235476862467,568.6010478863078,331.0337797407177,240.50781444289873,375.1360475849559,493.5847044082783,311.2628468847006,-134.36660191295644,-503.8151443930307
1251.41636259006,1118.1389689271605,779.4515893077671,474.71641132983007,275.1982363875237,224.82983584465435,367.6056090377563,450.15841654286356,223.54942024481466,-219.63272549062785,-540.3955490972158
1090.1926821403629,954.6817381232918,642.5658687477458,372.4655952474327,211.36359368968778,199.9856364770293,347.2447770996157,393.35111276137246,129.18078927927561,-300.7935083943996,-569.7079485654049
916.9221403229645,783.218100149858,498.8217060647569,262.2950425182836,139.34461553471525,165.48672545267004,314.4162457819064,325.0355334641065,31.627042982191284,-375.83596923688435,-591.3818511031086
735.1191417716022,607.1223182374684,350.6092793623349,145.76935537183553,60.04037579263385,121.97203046631492,270.6253625440591,248.15907287271787,-65.16580703555587,-443.064219486625,-605.164612708492
549.6439873455547,430.8402250790276,201.30683552601172,25.496672548317974,-24.580244491700867,71.19562438851167,218.43006370567966,166.52005782494945,-157.21278626332085,-501.2342058571849,-610.9258930703638
366.26121759768716,259.4569016680144,54.96292524213939,-95.0876102202625,-111.62183297710897,15.87462150183336,161.19670953110986,84.37097925799327,-240.9925445200023,-549.6424034807512,-608.6636242288822
191.0296408865163,98.13385294771025,-84.1438382746972,-212.0706846836181,-197.55123647507386,-40.62235555814459,102.70604791539182,5.895922765581588,-313.9107142532202,-588.1493445289901,-598.5084389399992
29.605506573580683,-48.50045691335599,-212.00969669159454,-321.5149157207735,-278.6197227110408,-94.72264189783672,46.66157402164151,-65.34095617843974,-374.6120602004337,-617.129130536809,-580.721983204148
-113.4245974136108,-176.89976248421206,-325.3922231060708,-419.9471912559982,-351.3593896459583,-143.15676575764283,-3.8037938175892805,-126.85046954163457,-423.0592355767202,-637.3507532731267,-555.6856757465459
-235.04338771799223,-284.9737105889221,-422.17890682759054,-504.78761945414715,-413.0513275104211,-183.411669810785,-46.507692715338464,-177.46114765034008,-460.35711333958756,-649.8124505498952,-523.8800194436805
-334.0118129625001,-372.1930792325607,-501.5470506052074,-574.6127942447165,-462.0477175284942,-214.01421333564338,-80.38842504558971,-217.28603876478456,-488.37394394346984,-655.5615421273847,-485.8586330633676
-410.7248664035882,-439.3916377490754,-563.8663609273926,-629.1786831743608,-497.85732338886464,-234.56997877426477,-105.4240763789386,-247.43073970070228,-509.2670440400021,-655.5350537460236,-442.22335700577275
-466.74858913863017,-488.3127215715813,-610.3646798633639,-669.1922963840972,-520.9699269738004,-245.55489993331247,-122.33547447573619,-269.54060147421546,-525.0399436750106,-650.4495160294505,-393.60575457979394
-504.17344698160963,-521.028914786013,-642.6511898274775,-695.8993732076838,-532.4779648615307,-247.93602442554635,-132.17710123981357,-285.33316921959226,-537.2341112062419,-640.7538415456065,-340.6567246882743
-524.983498093617,-539.4080863593076,-662.2408002141553,-710.6171689590795,-533.6209045068867,-242.75253922961747,-135.95492945829443,-296.256111372403,-546.8035758669598,-626.642189561747,-284.0419707654963
-530.6372107156081,-544.7854659153246,-670.225029419711,-714.3601988599371,-525.4017368454585,-230.79652917707142,-134.39451741888325,-303.3524484656706,-554.158338141053,-608.109946962938,-224.4390420957162
-521.9792755899786,-537.9289168779609,-667.1832284842856,-707.6718622735475,-508.39411672890213,-212.49017018607685,-127.92046767435318,-307.3284821725688,-559.3158189421991,-585.029432782452,-162.53252850613282
-499.4791454861872,-519.277627633411,-653.340365957216,-690.6977555016022,-482.78430734188123,-187.97818181718566,-116.82329528995479,-308.74251783136185,-562.0824240361276,-557.2236603511408,-99.00688026139352
-463.66866036589226,-489.3336219512259,-628.8868574478659,-663.4467174983027,-448.6033224151264,-157.37178182575673,-101.51602772798941,-308.1961762220741,-562.1996660178544,-524.5244489190766,-34.53928357154081
-415.57681534577307,-449.03027917824045,-594.3174697310371,-626.1183052556221,-406.03622615563967,-121.02525998987306,-82.75034242873201,-306.42673756871926,-559.4204037241495,-486.81152988685335,30.20371671874434
-356.9639046785028,-399.9140873448037,-550.6428757341855,-579.3561893337095,-355.6731371665828,-79.71919630142992,-61.68323672987228,-304.2562134765074,-553.5155697586929,-444.0379851236593,94.56321522072383
-290.23776702803275,-344.05006053320807,-499.3797335562948,-524.3218745621241,-298.5966154143859,-34.66623542737011,-39.75007228144051,-302.42195045498545,-544.2375701009718,-396.25148300388275,157.87866999072304
-218.05968422870654,-283.66862942784076,-442.3123216303769,-462.556852940501,-236.26861632928592,12.671956964534843,-18.380738757880636,-301.36428988903623,-531.2769748793396,-343.61939214112266,219.4755244458761
-142.7688351681463,-220.67185575149864,-381.1074391488928,-395.6844221690569,-170.25921351479863,60.893329356520866,1.3401095792734168,-301.06105565078724,-514.2446043866534,-286.4600828840605,278.654986984245
-65.82776493830738,-156.17363005405025,-316.92214137268866,-325.06384205822894,-101.91908369344529,108.97772494069821,18.944370445773018,-300.97634369139166,-492.6968141000932,-225.27526996505168,334.69155738756393
12.507448016274884,-90.24369425012955,-250.1514868713213,-251.52816760058107,-32.117992304209565,156.50425219316432,34.68277530335273,-300.1468472921231,-466.20450842642805,-160.77237783967814,386.8423276482315
93.15737767103826,-21.963016168571592,-180.42014557234717,-175.30864932397668,38.852280925663536,203.6805318625448,49.4164423839657,-297.38289605443094,-434.45191748668367,-93.86428412244118,434.36903489784237
