q1,q2,q3,q4,q5,q6,q7,q8,qd1,qd2,qd3,qd4,qd5,qd6,qd7,qd8,qdd1,qdd2,qdd3,qdd4,qdd5,qdd6,qdd7,qdd8
0.4078152454893723,0.7447232215906601,0.9521453810704422,0.9940170130039416,0.8630578523248916,0.582037907236305,0.1998184137273122,-0.2171437193655936,0.9130644695455207,1.3347469021857719,0.916936508028774,-0.43690141421097095,-2.5255254084068604,-4.878969920325331,-6.858830620101325,-7.809117154260454,-0.4078152454893723,-2.9788928863626403,-8.56930842963398,-15.904272208063066,-21.57644630812229,-20.95336466050698,-9.791102272638298,13.89719803939799
0.4169266460876842,0.7579227252298604,0.9608861246006302,0.9888532053248495,0.8367306102973117,0.5322228649880284,0.13078683682823034,-0.29446805434395634,0.9089401365227937,1.3046886871282997,0.8308313306260423,-0.5955748593588676,-2.73807361931472,-5.0796257334002135,-6.9398735840295265,-7.645290586899665,-0.4169266460876842,-3.0316909009194415,-8.647975121405672,-15.821651285197593,-20.918265257432793,-19.160023139569024,-6.408555004583286,18.845955478013206
0.4259963424542806,0.770818983251942,0.9687618883756591,0.9821069914378516,0.8083113799611346,0.48049184793947236,0.06111448307735012,-0.3699082606808404,0.904724884269011,1.2741084648623011,0.7439782474491051,-0.7532952395324607,-2.943776116764514,-5.2619951564300775,-6.98691534068871,-7.432546282097733,-0.4259963424542806,-3.083275933007768,-8.718856995380932,-15.713711863005626,-20.207784499028364,-17.297706525821006,-2.9946096707901555,23.674128683573784
0.4350234273678976,0.7834068358515682,0.9757655827144033,0.9737891669298732,0.7778712148870918,0.4270310850777356,-0.00885729488941739,-0.44298164067311174,0.9004191344263446,1.24301847056435,0.6564554427454989,-0.9098101636717278,-3.1421186047398013,-5.425421668919748,-6.999725413759803,-7.172245466079624,-0.4350234273678976,-3.133627343406273,-8.78189024442963,-15.58062667087797,-19.446780372177294,-15.37311906279848,0.43400744958145215,28.35082500307915
0.4440069978695986,0.7956812466167109,0.981890902963627,0.9639130423479875,0.7454862213735111,0.37203303238542473,-0.07878567743756026,-0.5132206405534186,0.8960233176892364,1.211431143371305,0.568341703639156,-1.064869169740185,-3.3326051886708856,-5.569316943872723,-6.978241041588097,-6.866053651336848,-0.4440069978695986,-3.1827249864668437,-8.837018126672643,-15.4226086775678,-18.637155534337776,-13.39318916587529,3.860498194440453,32.846120995418794
0.4529461553530956,0.8076373045437237,0.9871323351733693,0.9524944218992941,0.711237368165853,0.3156956800090648,-0.14832805754402423,-0.5801758420929556,0.8915378737613167,1.1793591214033974,0.4797163492070484,-1.2182241255252133,-3.5147596152671334,-5.693162965737948,-6.922567484677605,-6.5159299799883295,-0.4529461553530956,-3.230549218174895,-8.884191016560324,-15.239910750388706,-17.780934204146327,-11.365044480326333,7.268074819657187,37.13125389394916
0.4618400056546346,0.8192702260022396,0.9914851610605437,0.9395515781603361,0.6752102840191931,0.2582218395048068,-0.21714371936559404,-0.6434188381655309,0.8869632513114211,1.1468152367077082,0.390659159076974,-1.3696296257100862,-3.6881264632422806,-5.796513895239029,-6.832977509977896,-6.124114688377249,-0.4618400056546346,-3.2770809040089586,-8.923366449544893,-15.032825250565377,-16.880257100479827,-9.295986222173045,10.640042248914108,41.17880564259398
0.4706876591424366,0.8305753566491054,0.9949454622562889,0.9251052228365212,0.6374950436097774,0.1998184137273122,-0.2848955075416397,-0.7025449738738969,0.8822999079287118,1.1138125101240537,0.30125030161076427,-1.51884338458231,-3.8522722819557034,-5.878997674372565,-6.709910054490074,-5.693114773110554,-0.4706876591424366,-3.3223014265964217,-8.9545091603066,-14.801683565384339,-15.937376090244435,-7.19346289418324,13.959879869540346,44.9628783279294
0.47948823080568587,0.8415481732905901,0.997510123833243,0.9091784736183449,0.5981859423309157,0.14069565199016845,-0.3512514790526345,-0.7571759356994746,0.8775483100769059,1.0803641460753333,0.21157026173754753,-1.6656266237498314,-4.00678667512283,-5.940317365797741,-6.553968074739417,-5.225687950255737,-0.47948823080568587,-3.3661926931623602,-8.977591114499187,-14.546855577893519,-14.954648558272893,-5.065043471646065,17.21132247357909,48.459259884766375
0.48824084034305526,0.8521842856921178,0.9991768371095694,0.8917968171874489,0.5573812605362661,0.08106639317923092,-0.41588652954133626,-0.8069621721090211,0.8727089330476154,1.0464835272844288,0.12169976850205128,-1.80974445424468,-4.151283326885203,-5.980252221795396,-6.365915592650998,-4.724825010330625,-0.48824084034305526,-3.408737142768471,-8.992591533986124,-14.268749074999182,-13.934531513406654,-2.918390154452313,20.378439947525475,51.64557901497735
