q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,qd1,qd2,qd3,qd4,qd5,qd6,qd7,qd8,qd9,qd10,qdd1,qdd2,qdd3,qdd4,qdd5,qdd6,qdd7,qdd8,qdd9,qdd10
0.2740434810135378,0.5271047148231114,0.7398079682571235,0.895867532828257,0.9833346464266912,0.9955123550035598,0.9314682674989041,0.7961059447308969,0.5997894563278938,0.35754985164984193,0.9617173028047186,1.699600682055931,2.01845424296153,1.7772849568899713,0.9090238327031674,-0.5677899587607964,-2.54675803041571,-4.841258182012613,-7.201420780256425,-9.338940537262115,-0.2740434810135378,-2.1084188592924455,-6.658271714314111,-14.333880525252113,-24.583366160667282,-35.83844478012816,-45.641945107446304,-50.9507804627774,-48.5829459625594,-35.75498516498419
0.28364785729100467,0.5439960360183065,0.7596587625084328,0.91292085902874,0.9911929211711545,0.9880454489709806,0.9037369851552961,0.7451928776744285,0.5254364110254062,0.26251903493223083,0.9589285130051258,1.6781755722168874,1.9509656790670125,1.6325465023709549,0.6621290097139936,-0.9249772254701214,-2.9966170294948244,-5.334791917596362,-7.657495858011806,-9.649268139596133,-0.28364785729100467,-2.175984144073226,-6.8369288625758955,-14.60673374445984,-24.779823029278862,-35.5696361629553,-44.28311227260951,-47.69234417116343,-42.5603492930579,-26.251903493223082
0.2932238627148801,0.5606697176922331,0.7788257632146109,0.9285133820392197,0.9965731792909343,0.9770218561893468,0.8715782160866903,0.6895120603738836,0.44682925817509334,0.16486463229408713,0.9560438098406188,1.6560790653382607,1.8817209875479968,1.4851957413032935,0.4135788412733246,-1.278834833361855,-3.4317953390192124,-5.794193610014561,-8.051573308188553,-9.863162033640812,-0.2932238627148801,-2.2426788707689322,-7.0094318689314985,-14.856214112627516,-24.914329482273356,-35.172786822816484,-42.70733258824782,-44.12877186392855,-36.19316991218256,-16.486463229408713
0.3027705394797765,0.5771190891122928,0.79729171753532,0.9426201516056644,0.9994619699544361,0.96248125850366,0.8351495089222488,0.629419739162527,0.36460442737192944,0.06556259093056165,0.9530634818432218,1.6333200016925005,1.810782497802046,1.3354684558575793,0.16399471140845542,-1.6280889942050454,-3.850160982296637,-6.216524003409372,-8.380462548976864,-9.978484587704045,-0.3027705394797765,-2.3084763564491713,-7.17562545781788,-15.08192242569063,-24.986549248860904,-34.64932530613176,-40.922325937190195,-40.28286330640173,-29.532958617126283,-6.556259093056164
0.3122869327137858,0.5933375692869155,0.8150400036648241,0.9552185948908029,0.9998520710849691,0.9444759979910687,0.7946293310922409,0.5653003852125065,0.2794276381321082,-0.034394675645536416,0.9499878271094927,1.6099074866248615,1.7382140638696926,1.1836042309815578,-0.08599941091339076,-1.9714824908874773,-4.249664349360663,-6.5990810244025555,-8.641500783942615,-9.994083281058039,-0.3122869327137858,-2.373350277147662,-7.3353600329834165,-15.283497518252846,-24.996301777124227,-34.001135927678476,-38.9368372235198,-36.179224653600414,-22.633638688700763,3.4394675645536417
0.32177209057401474,0.6093186695984996,0.8320546457938637,0.9662885525939139,0.997742507416199,0.9230708885440366,0.7502161945004252,0.4975642346849169,0.19198851000692319,-0.1340082056740152,0.9468171532706978,1.5858508869105123,1.6640810069571832,1.0298460710297166,-0.33577853173021854,-2.3077792030458237,-4.6283482381899175,-6.939417069984656,-8.832574560910938,-9.909802222103279,-0.32177209057401474,-2.4372746783939983,-7.488491812144773,-15.460616841502622,-24.943562685404974,-33.230551987585315,-36.760593530520836,-31.84411101983468,-15.551069310560777,13.400820567401519
0.33122506434176174,0.625055996399303,0.8483203284899915,0.9758123112085384,0.9931385529303477,0.8983429825584952,0.7021276829969231,0.4266446640356038,0.10299497919408933,-0.23228247265913038,0.943551777462051,1.5611598270071831,1.588450056638765,0.874440010922196,-0.5847181945906725,-2.6357685567524056,-4.984357443211637,-7.23535466729839,-8.952136883176303,-9.7264837063317,-0.33122506434176174,-2.500223985597212,-7.634882956409924,-15.612996979336614,-24.82846382325869,-32.340347372105825,-34.40425646684923,-27.305258498278643,-8.342593314721235,23.228247265913037
0.34064490851743673,0.6405432535694316,0.863822410483491,0.98377463136664,0.9860517176730442,0.8703812935668103,0.6505993864156508,0.3529954172687936,0.013167566851134786,-0.32823533455066617,0.9401920262909844,1.5358441852045888,1.5113892907912314,0.717634722453494,-0.832196041717922,-2.9542698822421047,-5.315947844118051,-7.485000405129097,-8.99921973450148,-9.445959798519217,-0.34064490851743673,-2.5621730142777266,-7.774401694351418,-15.74039410186624,-24.651292941826107,-31.33372656840517,-31.879369934366892,-22.59170670520279,-1.0665729149419176,32.82353345506662
0.35003068091510386,0.6557742450357177,0.8785469378464589,0.990162772223734,0.9764997189778337,0.8392864758140084,0.5958837463993408,0.2770877028793722,-0.07676645448265575,-0.42090784916146984,0.9367382358044902,1.5099140896724348,1.4329680743148092,0.5596811163826756,-1.0775933699245241,-3.2621366639926768,-5.621494950462663,-7.686757047964642,-8.973441916497768,-9.071034023275766,-0.35003068091510386,-2.6230969801428707,-7.90692244061813,-15.842604355579743,-24.412492974445843,-30.2143131293043,-29.1983035735677,-17.73361298427982,6.218082813095116,42.09078491614699
0.35938144275674766,0.6707428772506613,0.89248065655319,0.9949665118460723,0.9645064371721979,0.8051704619307,0.5382488196655819,0.1994071790567983,-0.16607894912628574,-0.5093738577290212,0.9331907514554988,1.483379914408314,1.3532569966955583,0.40083194094003416,-1.3202966773929379,-3.5582606678593574,-5.899501860182924,-7.839333755122245,-8.875012134934002,-8.605453346932135,-0.35938144275674766,-2.682971509002645,-8.03232590897871,-15.919464189537157,-24.112660929304948,-28.9861366295052,-26.374192163613515,-12.762059459635092,13.452394879229145,50.93738577290212
0.3686962587661436,0.6854431616302669,0.9056110244105497,0.9981781635671735,0.950101855875952,0.7681560600069925,0.47797696477355883,0.12045084644017273,-0.2540468134850936,-0.5927492408422668,0.9295499280683361,1.4562522750873956,1.2723278084655194,0.24134137739443118,-1.559699197450199,-3.8415759304071044,-6.148606593053986,-7.941754339557359,-8.704727309985286,-8.053870730778565,-0.3686962587661436,-2.7417726465210674,-8.150499219694948,-15.970850617074776,-23.7525463968988,-27.65361816025173,-23.420871273904382,-7.708854172171055,20.577791892292584,59.274924084226676
0.3779741972624327,0.6998692169499714,0.9179262223476407,0.9997925882875955,0.9333219870411038,0.7283765115176886,0.4153634588246695,0.04072386830378615,-0.3399578305374144,-0.6702007542326863,0.9258161298032237,1.4285420248152785,1.1902533566175348,0.08146463332667099,-1.795202415506714,-4.111062596080922,-6.367588763149451,-7.993363513516951,-8.463966124102805,-7.421798629887086,-0.3779741972624327,-2.7994768677998856,-8.261336001128766,-15.996681412601529,-23.333049676027596,-26.22155441463679,-20.352809482408805,-2.6063275714423138,27.53658427353057,67.02007542326864
0.38721433025328633,0.7140152716975424,0.9294151650544714,0.9998072026982162,0.9142087809207796,0.6859750116904941,0.3507150508742193,-0.03926366148152639,-0.4231164361799336,-0.7409543561241295,0.9219897301198636,1.4002602497859955,1.1071075190336879,-0.07854246573852261,-2.026217565362503,-4.365750588398764,-6.555375557618678,-7.993831081075713,-8.154677859743188,-6.715553902253162,-0.38721433025328633,-2.8560610867901697,-8.364736485490242,-15.99691524317146,-22.85521952301949,-24.695100420857788,-17.185037492836745,2.512874334817689,34.27243133057462,74.09543561241296
0.3964157335277351,0.7278756663821347,0.9400675109602606,0.9982219834139014,0.8928100211921206,0.6411041940431655,0.2843484591407524,-0.11899998203330743,-0.5028493507454884,-0.8043029429200509,0.9180711117400807,1.3714182648466706,1.0229651379850742,-0.2384238856898936,-2.2521671011435025,-4.604723101956237,-6.7110469924915375,-7.943154050732533,-7.77936661733088,-5.942194678821498,-0.3964157335277351,-2.911502665528539,-8.460607598642346,-15.971551734622423,-22.320250529803015,-23.07975098555396,-13.933074497896868,7.6159988501316755,40.73079741038456,80.43029429200509
0.40557748674861965,0.7414448557985288,0.9498736715422148,0.9950394670109198,0.8691792054953928,0.5939255809455973,0.21658881937580438,-0.19797493970795485,-0.5785110300986782,-0.8596134159179852,0.9140606666095381,1.342027608970693,0.9379019527638339,-0.3979237935208096,-2.472486141186628,-4.8271199026690494,-6.833840419760207,-7.841656654550008,-7.341071041230119,-5.109449825312046,-0.40557748674861965,-2.9657794231941152,-8.548863043879933,-15.920631472174717,-21.729480137384822,-21.381320914041503,-10.612852149414415,12.67039614130911,46.859393437992935,85.96134159179853
0.41469867354462103,0.7547174112455979,0.9588248199564229,0.9902647459680662,0.843375411688107,0.5446090021847755,0.1477680919954626,-0.2756832520677896,-0.6494888921754061,-0.9063330084270675,0.9099587958585442,1.3121000406413272,0.8519945315081547,-0.5567869666980546,-2.6866238802627174,-5.032140424373599,-6.92315426365851,-7.689988273715179,-6.843339717871813,-4.22564170080168,-0.41469867354462103,-3.0188696449823915,-8.629423379607806,-15.84423593548906,-21.084385292202676,-19.605924078651917,-7.240636507777667,17.643728132338534,52.608600266207894,90.63330084270676
0.4237783816019437,0.7676880226982367,0.9669128989832501,0.9839054605179616,0.8154631501482985,0.4933319836248219,0.07822343577687818,-0.35162774068252783,-0.7152082766505533,-0.9439948100567465,0.9057659097619193,1.2816475331473496,0.7653202022802386,-0.7147592015546269,-2.8940449666090777,-5.219046650642313,-6.978550967834782,-7.489119283792992,-6.290202445220201,-3.2996029849957287,-0.4237783816019437,-3.0707520907929466,-8.70221609084925,-15.742487368287385,-20.38657875370746,-17.75995141049359,-3.8329483530670307,22.50417540368178,57.93187040869482,94.39948100567464
