t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11
-1169.06000027155,1351.3132404014966,6536.100877977135,3295.862155097948,-4587.484905064067,-6086.047547491629,-3070.747106658401,1345.2818864260107,1266.9799175988637,-127.16065632162469,86.19717339065653
-2839.3857197110606,3413.1122477432573,7152.976530148142,3838.6579968470255,-4198.918337869996,-5924.09181264673,-2848.3648396963154,1348.503203931615,1037.9579109180247,-419.06515117293094,39.94179973056106
-3214.577072152757,4779.373710652696,6898.701746393847,4347.583930757939,-3179.8191834473546,-5258.926370877917,-2044.7991309872202,1694.1502159666136,1011.161259928328,-520.902771315011,27.643288848402108
-2653.154644926058,4343.004539516544,5560.803589606013,4333.333714134797,-1947.5798965719005,-4185.770088736004,-809.4962620216338,2223.9996396283987,1155.7629454506593,-474.28657092096216,28.429713491556015
-1612.5890930787934,2509.9609321142593,3904.2448098628784,3803.910620600037,-961.0438639086666,-2977.853252787708,570.0828502316743,2758.758843338274,1399.2532267207075,-349.1402872147322,28.030264491058006
-439.38278662757335,696.1652490508174,2950.0187459406393,3181.5098780376093,-432.92873049855064,-1898.1876134730721,1823.4552050187074,3170.7969137554733,1661.0736780904845,-208.10699013845482,21.75469053079854
656.6078820430872,28.309677896504127,3154.8056319572324,2885.636557194948,-294.55336007254147,-1075.54056840972,2787.638235752979,3405.7543882859136,1877.047258690701,-88.77117183349031,11.373455781242967
1509.7185461967963,730.5327315009382,4238.229895866682,3036.6163195530316,-350.12839291956004,-508.68405353880723,3408.6003619205126,3464.2001712526444,2007.0051602591693,-5.609804025595167,-0.18027651038318027
1929.5830557842817,2300.729281797894,5525.388566174271,3448.317217864237,-440.92553729553583,-142.19846185731038,3697.003243117018,3371.4819739049926,2028.5949749313893,37.97523181849107,-12.692269951318622
1751.628192240818,3923.812149250117,6369.39332303236,3792.718060520681,-517.5870086379682,65.55148734520381,3687.074124801563,3155.03041941821,1926.094726289465,40.838018820797856,-28.9495434453832
975.1140987330782,4867.202379146607,6429.120163731389,3785.2574274043177,-622.3139914227291,119.52283257757516,3420.452853481049,2834.8866215006706,1686.268991929999,6.246686555536826,-51.72878159821664
-154.63072994366178,4819.426694559713,5761.340113784961,3316.8714116017086,-822.8681147412805,6.76581810481666,2952.1418534532713,2426.979453777819,1309.2904647671917,-50.45311645351427,-80.72831851268302
-1237.7904573248209,4016.5161530086066,4719.637601435224,2495.477192354055,-1144.204718459107,-266.9646828535714,2362.3895872871144,1955.3651088730248,827.1495221242351,-102.94868820337041,-113.10075549714888
-1941.1318674801485,2999.81867839057,3705.0287611116682,1574.5939975176111,-1538.4697734534257,-651.9203757670016,1756.7079428705138,1464.1258235700516,307.7033758770274,-129.6549902679963,-147.59389079198962
-2174.513299761853,2169.2619572325248,2926.4485482401737,802.5417954200743,-1909.9569439801062,-1059.0085841116693,1246.7934625563048,1016.7758963666577,-169.3123706654884,-131.3587826030971,-188.03466117985468
-2095.9337817379155,1540.4386617407013,2343.803330151791,292.0250368672414,-2171.5218517975522,-1390.6005966945238,920.6799717430388,677.9958648567687,-549.9454365505298,-132.61893709730356,-242.00035535844958
-1975.5379331666402,893.273691765217,1807.6912733951112,2.2773006045931368,-2288.257770328828,-1576.6407405197028,818.0205249501231,486.51097943461673,-825.9605202798332,-164.09005728993276,-315.08356449241415
-2040.6125731472198,86.91577264363164,1245.5143410147916,-168.205519846919,-2283.732925955319,-1595.5715500879685,921.7590818247794,437.3667859998912,-1020.9437402222204,-241.0337964569256,-405.1879721941058
-2389.022679726314,-770.5433804264721,745.85655899982,-274.265796746422,-2217.0877683296508,-1471.292702241757,1168.690544729886,487.94697379786686,-1157.8323245046945,-354.58666096158737,-501.03829077491156
-2981.502571743548,-1375.045029359348,506.6492681101953,-298.82038650044655,-2148.413951213311,-1248.6829510139844,1475.947777397214,586.4037441250524,-1237.7842706993965,-479.21583174574494,-585.7684795544386
-3685.1857808817836,-1409.378138155645,695.0459074085844,-208.69176409807983,-2100.7258371188705,-959.7484085167658,1775.974613995677,703.8122664264197,-1246.9891500016447,-588.034631720659,-643.4611311294907
-4338.556692332876,-746.3111998386936,1313.7453300868858,3.9300967224684484,-2036.4178546898715,-603.6520132991146,2044.0912060191113,844.4540088589808,-1182.6635304453964,-665.5381415042009,-665.3870268293982
-4806.822380161623,481.3023007692278,2207.6609031228463,347.0018207019376,-1890.3345009790487,-166.8566029713781,2295.7181592795064,1020.8912579240127,-1072.8130943235487,-711.2408523035176,-652.988846388183
-4996.965556005289,2035.2926216670953,3226.5152225210372,818.4365920408031,-1667.2590824040176,319.15736990371823,2542.528844951364,1211.172125701399,-967.0463749166564,-732.6815774411407,-616.0896882128012
-4830.459680094969,3666.5627173280504,4268.2287368550715,1272.9725052800982,-1493.8536897434171,742.6218568438694,2737.1789062510115,1343.7217626818347,-898.4195343901087,-732.0338125196648,-567.5556548788263
-4225.025443700423,4865.818810198684,5027.592924808877,1388.4117548328827,-1486.3754953023315,972.6164677657152,2770.587868952064,1342.8735319070136,-846.3219086610354,-696.7848451137355,-518.3754530117812
-3152.5026276790973,4888.641493141533,4956.974870667222,1000.3881074358915,-1533.2111332973302,988.834776278858,2551.1699315557025,1203.9902580226153,-739.9312035165847,-605.9254979903908,-476.75384639354377
-1759.0526894553516,3628.1997984123977,3887.0840514719425,448.0717817344677,-1321.8652579647821,927.0177982346278,2097.8928870498453,1015.5158280469973,-511.18339937356325,-452.4401022168621,-450.3461003786308
